frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
22,0.916667,1,-0.033559,-0.007467,3.872473,-0.053845,0.044974,3.908745,-0.073786,0.097405,3.862638,-0.071117,0.136063,3.910660,-0.067762,0.142865,3.924930,-0.053257,0.132311,3.929250,-0.032256,0.110612,3.931874,1,0.211771,0.036228,3.621970,0.254094,0.064411,3.636162,0.226645,0.108524,3.670079,0.241988,0.135876,3.675705,0.243143,0.142066,3.667530,0.250493,0.138292,3.654502,0.259156,0.129271,3.630361
23,0.958333,1,-0.056474,-0.006735,3.885290,-0.076438,0.050847,3.907911,-0.095063,0.100731,3.867792,-0.089323,0.141771,3.908072,-0.084198,0.148753,3.919620,-0.070849,0.137522,3.923097,-0.051493,0.114708,3.925485,1,0.165500,0.042333,3.658808,0.201920,0.087178,3.669743,0.169677,0.125252,3.704693,0.172187,0.157346,3.709234,0.171081,0.163903,3.700576,0.177575,0.162624,3.686743,0.189349,0.155387,3.663672
24,1.000000,1,-0.092854,-0.007502,3.894285,-0.110442,0.048617,3.913902,-0.128773,0.098279,3.879077,-0.121314,0.137408,3.916203,-0.114477,0.144255,3.924334,-0.101913,0.133492,3.926175,-0.083997,0.110653,3.927276,1,0.140523,0.038965,3.680883,0.169974,0.092916,3.694486,0.133169,0.128489,3.729492,0.129785,0.162922,3.732496,0.127684,0.170134,3.723199,0.134123,0.170206,3.708805,0.147435,0.162842,3.686591
25,1.041667,1,-0.140873,-0.010851,3.894632,-0.155883,0.038945,3.921136,-0.176338,0.089442,3.892626,-0.168544,0.125358,3.926550,-0.160578,0.131988,3.930834,-0.148847,0.122702,3.929999,-0.131552,0.100873,3.929317,1,0.136981,0.029834,3.691488,0.158164,0.088402,3.710746,0.119303,0.123594,3.746583,0.115919,0.160664,3.746944,0.114250,0.168853,3.737397,0.120918,0.168727,3.722596,0.133864,0.159550,3.700302
26,1.083333,1,-0.207064,-0.023486,3.903997,-0.208052,0.020369,3.926179,-0.234184,0.070047,3.911307,-0.224228,0.104558,3.936871,-0.215956,0.111482,3.936340,-0.205724,0.104371,3.931127,-0.189175,0.084537,3.926391,1,0.142163,0.017330,3.705114,0.162487,0.078471,3.719757,0.123881,0.113854,3.757878,0.124257,0.154927,3.754359,0.124325,0.164271,3.745252,0.131014,0.162584,3.730184,0.142465,0.150685,3.706789
27,1.125000,1,-0.278118,-0.054946,3.910425,-0.261895,-0.009472,3.928840,-0.294663,0.037037,3.936355,-0.279140,0.072662,3.948761,-0.271881,0.080658,3.942483,-0.264065,0.075963,3.931613,-0.249943,0.058611,3.920091,1,0.166248,0.000394,3.717120,0.178121,0.066188,3.721776,0.140870,0.102084,3.760413,0.147176,0.147770,3.753408,0.149801,0.158126,3.745781,0.156078,0.153876,3.731409,0.165829,0.138717,3.707566
28,1.166667,1,-0.344823,-0.101265,3.905658,-0.313413,-0.050315,3.930623,-0.349898,-0.007614,3.962858,-0.326114,0.030562,3.961833,-0.321035,0.039882,3.949559,-0.316421,0.037189,3.933056,-0.306513,0.021814,3.914356,1,0.195796,-0.014044,3.705302,0.201662,0.053022,3.718150,0.166420,0.090328,3.750627,0.178621,0.139271,3.743416,0.183435,0.149954,3.737967,0.189165,0.142996,3.726054,0.197905,0.124516,3.704749
29,1.208333,1,-0.401443,-0.153679,3.907396,-0.358665,-0.098171,3.934183,-0.393501,-0.058118,3.986036,-0.362139,-0.017480,3.974515,-0.359517,-0.007363,3.956898,-0.358144,-0.008906,3.936176,-0.352606,-0.023393,3.912500,1,0.228363,-0.025069,3.695437,0.230620,0.039011,3.712837,0.197172,0.078772,3.732097,0.212279,0.127984,3.728560,0.217619,0.137758,3.724655,0.223577,0.129067,3.716305,0.232761,0.108144,3.700605
30,1.250000,1,-0.447312,-0.204549,3.912101,-0.394468,-0.147227,3.942701,-0.423253,-0.108452,4.006765,-0.388861,-0.066388,3.987898,-0.388171,-0.056242,3.966404,-0.388957,-0.057315,3.943523,-0.386078,-0.071654,3.917660,1,0.263421,-0.040940,3.691472,0.262655,0.023732,3.709362,0.229159,0.066368,3.716960,0.242681,0.112767,3.716918,0.246767,0.120312,3.712398,0.254041,0.111499,3.706200,0.264807,0.090075,3.695370
31,1.291667,1,-0.479919,-0.250220,3.942608,-0.419062,-0.191524,3.957880,-0.441247,-0.153575,4.028397,-0.408246,-0.111085,4.004878,-0.408689,-0.101332,3.981277,-0.410235,-0.102116,3.957827,-0.407757,-0.116353,3.931600,1,0.291748,-0.059537,3.706805,0.295455,0.007528,3.706988,0.260155,0.052942,3.714009,0.269044,0.094493,3.712889,0.271130,0.099041,3.705356,0.279791,0.091647,3.698154,0.292081,0.072014,3.687745
