frame,time,u,v,radius_px,da3_depth_raw,da3_depth_smooth
41,1.666667,517.509,444.427,47.267,2.379498,2.367355
42,1.708333,515.305,430.628,47.230,2.459381,2.405771
43,1.750000,515.112,423.581,47.605,2.559464,2.412622
44,1.791667,515.357,422.416,47.556,2.564701,2.392925
45,1.833333,517.981,426.538,47.982,2.505359,2.361966
46,1.875000,523.364,442.742,49.025,2.188240,2.313940
47,1.916667,527.875,478.523,48.391,2.093829,2.282251
48,1.958333,539.487,529.516,49.885,2.162790,2.232656
49,2.000000,550.285,588.010,48.185,2.123196,2.194656
50,2.041667,557.347,626.624,44.702,2.337643,2.186547
51,2.083333,561.435,580.701,46.237,2.217534,2.194739
52,2.125000,566.368,535.406,47.868,2.239356,2.200730
53,2.166667,570.310,504.851,44.883,2.131481,2.218059
54,2.208333,575.000,474.877,46.847,2.151169,2.210090
55,2.250000,580.803,454.887,46.945,2.204732,2.213538
56,2.291667,586.331,441.264,47.220,2.244497,2.212944
57,2.333333,592.523,433.403,46.387,2.281858,2.219772
58,2.375000,599.671,433.340,47.670,2.241675,2.249830
59,2.416667,606.000,441.500,47.035,2.235197,2.283468
60,2.458333,612.000,465.868,46.761,2.179274,2.309989
61,2.500000,616.493,513.394,46.388,2.361574,2.327808
62,2.541667,621.625,574.562,46.101,2.440197,2.371496
63,2.583333,622.500,622.839,46.303,2.430149,2.377511
64,2.625000,618.183,581.122,47.080,2.406589,2.395269
65,2.666667,612.500,538.214,46.239,2.547492,2.390704
66,2.708333,606.278,501.887,47.271,2.277303,2.377294
67,2.750000,600.948,476.656,47.448,2.303577,2.368054
68,2.791667,595.564,458.268,46.503,2.329621,2.359840
69,2.833333,591.197,447.870,46.322,2.346328,2.324368
70,2.875000,587.500,443.000,47.024,2.365467,2.316429
71,2.916667,585.629,443.655,47.364,2.349095,2.308897
72,2.958333,581.148,456.715,47.866,2.299188,2.299368
73,3.000000,577.500,490.000,47.130,2.221725,2.303560
74,3.041667,566.433,536.305,47.730,2.250853,2.267112
75,3.083333,558.411,600.397,45.833,2.262924,2.247831
76,3.125000,548.312,612.849,46.876,2.375666,2.242368
77,3.166667,535.100,568.900,45.140,2.110336,2.245639
78,3.208333,526.124,531.440,47.813,2.214124,2.283249
79,3.250000,516.427,496.675,45.989,2.260947,2.318720
80,3.291667,509.963,471.324,46.626,2.244622,2.336989
81,3.333333,503.383,451.130,46.860,2.514124,2.378373
82,3.375000,500.692,441.722,47.602,2.511225,2.396071
83,3.416667,498.161,442.772,47.278,2.503545,2.412232
84,3.458333,494.585,460.724,46.704,2.400024,2.418711
85,3.500000,494.416,493.835,47.806,2.338011,2.386651
86,3.541667,494.913,546.629,46.902,2.374070,2.338537
87,3.583333,496.789,605.582,45.560,2.289979,2.296236
88,3.625000,496.123,603.262,44.967,2.289701,2.295018
89,3.666667,491.422,553.193,48.395,2.174434,2.313316
90,3.708333,489.000,516.500,47.846,2.207431,2.338945
91,3.750000,491.074,487.378,47.747,2.391502,2.372182
92,3.791667,488.198,461.827,48.546,2.466095,2.411810
93,3.833333,491.711,448.241,46.812,2.553475,2.443566
94,3.875000,494.398,439.968,47.409,2.522636,2.454904
95,3.916667,497.971,440.027,47.162,2.567098,2.442761
96,3.958333,499.943,449.068,50.747,2.396722,2.416510
97,4.000000,509.016,485.181,49.251,2.286802,2.384964
98,4.041667,522.503,547.582,45.926,2.306499,2.345395
99,4.083333,533.869,611.295,45.857,2.282337,2.293211
100,4.125000,541.417,607.489,45.464,2.332657,2.264120
101,4.166667,543.809,567.214,45.627,2.245648,2.260177
102,4.208333,544.500,532.500,51.464,2.201816,2.248416
103,4.250000,547.886,498.503,47.812,2.193079,2.247311
104,4.291667,556.954,473.590,46.684,2.259206,2.242249
105,4.333333,562.763,458.857,47.149,2.224167,2.244476
106,4.375000,568.197,448.577,47.074,2.274603,2.250679
107,4.416667,573.777,446.076,47.171,2.297224,2.256124
108,4.458333,579.144,451.892,47.265,2.261234,2.274972
109,4.500000,586.122,472.644,46.510,2.245243,2.296506
110,4.541667,589.557,511.550,48.138,2.231195,2.308903
111,4.583333,593.800,571.200,46.120,2.391140,2.323942
112,4.625000,599.097,624.000,47.087,2.374904,2.317000
113,4.666667,594.052,587.330,46.575,2.361379,2.317548
114,4.708333,592.098,547.198,44.775,2.402497,2.327576
115,4.750000,585.452,509.838,47.740,2.212643,2.319142
116,4.791667,583.612,481.712,46.952,2.249078,2.312262
117,4.833333,582.599,461.457,46.812,2.301395,2.308062
118,4.875000,580.438,449.076,46.150,2.332096,2.291588
119,4.916667,579.739,442.167,46.405,2.326744,2.294775
120,4.958333,580.244,440.936,46.422,2.331981,2.285068
121,5.000000,581.182,447.211,46.908,2.287175,2.288944
122,5.041667,580.675,468.898,49.009,2.234955,2.294797
123,5.083333,579.000,511.000,47.011,2.181127,2.314615
124,5.125000,576.139,570.328,45.296,2.328532,2.313018
125,5.166667,572.270,620.270,47.889,2.373064,2.304136
126,5.208333,566.252,590.610,44.323,2.465466,2.297411
127,5.250000,553.052,544.569,47.318,2.320809,2.318355
128,5.291667,548.335,501.674,51.457,2.224995,2.322782
129,5.333333,537.156,477.370,48.480,2.187882,2.328568
130,5.375000,533.415,457.539,47.394,2.327736,2.309933
131,5.416667,527.171,448.310,47.342,2.359523,2.306726
132,5.458333,521.543,449.775,47.188,2.413565,2.323457
133,5.500000,516.500,461.000,47.437,2.335018,2.338447
134,5.541667,509.706,488.059,48.610,2.298366,2.329485
135,5.583333,507.812,534.264,52.033,2.342110,2.317607
136,5.625000,508.746,600.662,47.420,2.292812,2.296870
137,5.666667,508.979,606.485,45.401,2.265001,2.291454
138,5.708333,508.669,561.797,44.101,2.276378,2.299423
139,5.750000,513.514,515.486,50.364,2.268408,2.303070
140,5.791667,517.150,489.148,48.392,2.297100,2.318069
141,5.833333,521.659,469.061,47.119,2.354152,2.331191
142,5.875000,527.723,455.668,47.581,2.367637,2.317530
143,5.916667,536.329,452.481,47.320,2.397808,2.305007
144,5.958333,546.128,459.602,47.917,2.356856,2.307286
145,6.000000,555.731,478.287,47.131,2.180747,2.307688
146,6.041667,566.118,524.927,45.793,2.180749,2.316067
147,6.083333,575.555,580.774,44.782,2.313050,2.300001
148,6.125000,583.032,624.407,45.121,2.356967,2.276738
149,6.166667,583.718,583.886,45.480,2.426294,2.287755
150,6.208333,584.508,545.289,45.223,2.285343,2.312441
151,6.250000,584.000,509.000,46.044,2.194017,2.322670
152,6.291667,585.500,483.071,46.183,2.257863,2.330052
153,6.333333,584.508,462.897,46.393,2.353554,2.325011
154,6.375000,585.200,453.295,46.317,2.384650,2.324534
155,6.416667,586.809,451.201,46.919,2.408640,2.332358
156,6.458333,588.014,456.185,47.114,2.391006,2.347900
157,6.500000,587.859,472.572,49.296,2.282004,2.343821
158,6.541667,584.741,514.660,48.419,2.248786,2.338329
159,6.583333,578.000,567.000,55.570,2.366659,2.317815
160,6.625000,570.604,629.000,47.167,2.325004,2.290677
161,6.666667,558.000,600.024,45.301,2.346204,2.282965
162,6.708333,543.283,553.623,46.684,2.265039,2.292304
163,6.750000,533.000,514.387,49.412,2.201043,2.300401
164,6.791667,522.886,487.270,47.419,2.228020,2.343414
165,6.833333,515.496,467.168,46.489,2.314156,2.383494
166,6.875000,509.477,451.795,46.214,2.423341,2.422968
167,6.916667,505.168,442.279,46.340,2.626094,2.452111
168,6.958333,501.643,438.071,46.305,2.626767,2.447490
169,7.000000,498.009,440.330,46.658,2.541352,2.446463
170,7.041667,495.539,460.114,47.085,2.405045,2.425616
171,7.083333,496.304,494.921,48.554,2.195674,2.379728
172,7.125000,496.732,550.273,47.785,2.306969,2.328170
173,7.166667,501.124,613.616,46.131,2.277408,2.296319
174,7.208333,503.000,603.000,45.804,2.304878,2.270665
175,7.250000,506.330,555.979,45.984,2.265864,2.288503
176,7.291667,510.359,519.020,48.559,2.318394,2.295850
177,7.333333,516.040,481.947,49.584,2.225468,2.310514
178,7.375000,521.756,461.834,47.709,2.320543,2.315962
179,7.416667,528.007,446.535,47.751,2.358394,2.329837
180,7.458333,536.559,439.568,46.803,2.380061,2.316904
181,7.500000,545.500,439.406,46.742,2.343009,2.320585
182,7.541667,556.715,446.460,48.602,2.362991,2.312764
183,7.583333,564.133,466.021,46.773,2.227862,2.323094
184,7.625000,575.471,498.418,49.509,2.251233,2.335775
185,7.666667,582.820,543.866,54.028,2.265799,2.335835
186,7.708333,588.129,614.693,46.689,2.430701,2.315217
187,7.750000,584.058,612.386,45.398,2.468830,2.306358
188,7.791667,576.929,564.432,47.308,2.343429,2.308732
189,7.833333,569.723,527.486,46.624,2.218666,2.312316
190,7.875000,560.617,501.315,45.635,2.165845,2.292585
191,7.916667,552.451,478.924,47.144,2.267853,2.257336
192,7.958333,546.731,465.269,46.508,2.290890,2.235814
