frame,time,anchor_type,ball_center_x,ball_center_y,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,proximity_score,approaching_score,object_response_score,audio_support,anchor_score,is_candidate,anchor_contact_state
11,0.416667,hand,529.0,557.0,752.2073599049338,360.7181060308476,528.4648511829205,423.12292376761195,1,1,center,center,297.2340953118404,133.87814580725663,133.87814580725663,81.22414580725663,232.282309886007,0.0,0.0,right,center,0.19612986991654563,1.0,0.04687557580585346,0.0,0.2084075826403071,0,0
12,0.458333,hand,530.0,515.5,755.7376942797665,364.68700835324285,525.729282809095,416.51121270153516,1,1,center,center,271.48124257154524,99.0808711918976,99.0808711918976,45.8678711918976,235.7745056268707,0.0,0.0,right,center,0.5948345365780483,1.0,0.21615781697840045,0.0,0.34194019754019217,0,0
13,0.5,hand,530.371,484.292,760.4590350511261,369.3876220878008,521.952108925003,404.0622529426889,1,1,center,center,257.183825185562,80.67025498789987,80.67025498789987,27.320254987899865,241.0142813923164,0.0,0.0,right,center,0.8316900939639935,1.0,0.12639127489691093,0.0,0.3832007784703806,0,0
14,0.541667,hand,529.0,458.856,765.2496231875467,373.45804473222717,519.1902786324669,387.73208966921476,1,1,center,center,251.2104600134603,71.79722316392338,71.79722316392338,18.051223163923375,246.47301962230807,0.0,0.0,right,center,0.922695533709169,0.6504583736123853,0.10047781368809398,0.0,0.34833820220676887,0,0
15,0.583333,hand,529.042,438.0,769.2104229182528,376.8589116827668,519.037862236215,374.92067640437506,1,1,center,center,247.82877970013172,63.867705749293634,63.867705749293634,10.611705749293634,250.18006889878794,0.0,0.0,right,center,0.9725784695617721,0.5220713975178766,0.12711876949210787,0.0,0.34687908091654607,0,0
16,0.625,hand,529.778,423.168,771.8163981279849,380.13515576896515,521.786307773082,368.163097378265,1,1,center,center,245.8341144979139,55.582429391637206,55.582429391637206,1.1054293916372089,250.31655211949388,0.0,0.0,right,center,0.9996983235036574,0.6671071128179947,0.10701803804502391,0.0,0.37139425540761833,0,0
17,0.666667,hand,530.03,413.418,773.3574508266015,382.4029183726597,525.3294129232181,368.0081828224061,1,1,center,center,245.29611414395208,45.65245902433853,45.65245902433853,0.0,248.44539842340393,0.0,1.0,right,center,1.0,0.07757399239559361,0.23734414714293253,0.0,0.6091049282879255,1,1
18,0.708333,hand,530.821,414.977,774.2648391778846,383.97283075928334,528.6769550387359,377.2347949246724,1,1,center,center,245.4101899758336,37.803055071568,37.803055071568,0.0,245.68030031496716,0.0,1.0,right,center,1.0,0.0,0.27635070469581363,0.0,0.6052701409391628,1,1
19,0.75,hand,531.994,429.713,773.147481355076,384.87653129832637,529.9238231890095,395.0305164814607,1,1,center,center,245.28618080786603,34.744212396347585,34.744212396347585,0.0,243.4355177593913,0.0,1.0,right,center,1.0,0.0,0.6736384437433699,0.0,0.684727688748674,1,1
20,0.791667,hand,534.182,476.567,768.6942549344244,384.28783846756414,529.8500386027176,419.72164429455626,1,1,center,center,252.01476418566799,57.01017764246986,57.01017764246986,3.985177642469864,241.45830752014336,0.0,0.0,right,center,0.9960862858200025,0.0,0.2451171253948932,0.0,0.29804499653397926,0,0
