frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
54,1.766667,-0.750470,0.495188,6.378366,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,700.809,711.024,39.901,700.809,711.024,41.445,752.469,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.796227,6.280542,6.555438,0.097824
55,1.800000,-0.725413,0.266005,6.427318,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,711.371,631.171,40.503,711.371,631.171,41.129,672.300,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.745731,6.272756,6.550377,0.154562
56,1.833333,-0.714158,0.108065,6.466823,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,716.724,576.812,40.479,716.724,576.812,40.878,617.690,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.729819,6.284856,6.545315,0.181967
57,1.866667,-0.693293,-0.047667,6.496294,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,724.903,523.836,41.269,724.903,523.836,40.692,564.528,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.742139,6.307447,6.540253,0.188847
58,1.900000,-0.673081,-0.197782,6.516225,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,732.455,473.137,40.327,732.455,473.137,40.568,513.705,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.768792,6.316226,6.535191,0.199998
59,1.933333,-0.670052,-0.202073,6.527865,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,733.883,471.808,40.116,733.883,471.808,40.495,512.303,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.799449,6.338621,6.530129,0.189244
60,1.966667,-0.661984,-0.331653,6.532848,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,736.776,428.165,40.442,736.776,428.165,40.465,468.630,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.844302,6.370371,6.525068,0.162477
61,2.000000,-0.652869,-0.441158,6.532923,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.852,391.241,41.441,739.852,391.241,40.464,431.705,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.880494,6.400135,6.520006,0.132788
62,2.033333,-0.654585,-0.541024,6.529447,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,739.156,357.469,40.316,739.156,357.469,40.486,397.955,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,right,right_foot,right_foot,0.908206,6.438030,6.514944,0.091417
63,2.066667,-0.649266,-0.617054,6.523832,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.762,331.639,40.055,740.762,331.639,40.520,372.159,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965732,6.783067,6.509882,-0.259235
64,2.100000,-0.648940,-0.617900,6.517050,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,740.644,331.136,40.055,740.644,331.136,40.563,371.699,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965012,6.784360,6.504820,-0.267310
65,2.133333,-0.653746,-0.642550,6.509588,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,738.766,322.555,40.541,738.766,322.555,40.609,363.164,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965478,6.766666,6.499759,-0.257078
66,2.166667,-0.645186,-0.706077,6.502054,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,741.410,300.780,40.449,741.410,300.780,40.656,341.436,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965444,6.758062,6.494697,-0.256008
67,2.200000,-0.640142,-0.737753,6.494781,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,742.876,289.768,40.717,742.876,289.768,40.702,330.470,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.966904,6.746090,6.489635,-0.251309
68,2.233333,-0.638357,-0.735506,6.487939,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.253,290.267,41.214,743.253,290.267,40.745,331.012,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.966239,6.736064,6.484573,-0.248125
69,2.266667,-0.636091,-0.743319,6.481509,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,743.808,287.364,40.804,743.808,287.364,40.785,328.149,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.966362,6.726187,6.479511,-0.244677
70,2.300000,-0.632619,-0.735995,6.475573,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,744.791,289.624,40.854,744.791,289.624,40.822,330.446,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965999,6.719376,6.474450,-0.243803
71,2.333333,-0.633340,-0.724923,6.470025,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,744.361,293.179,40.664,744.361,293.179,40.857,334.036,879.464,floor,ball_contact_events,0.687020,0.000000,0,0,0,0,0,0,foot,left,left_foot,left_foot,0.965139,6.711821,6.469388,-0.241796
