frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
47,1.533333,football,653.819,839.281,cotracker_tb_center,1,653.747,838.145,cotracker_tb_center,1,653.525,839.366,3645.0,618.000,807.000,690.000,870.000,72.000,63.000,663.500,869.000,656.000,671.000,36.730,71.504,67.247,1.142857,0.877199,0,,,,,,,,,,,,0.750000,0.877199,0.877199,1.000000,619.364,837.585,0.000000,688.645,839.358,1.000000,653.943,807.377,1.000000,653.551,868.913,1.000000
48,1.566667,football,653.919,839.236,cotracker_tb_center,1,653.966,838.133,cotracker_tb_center,1,653.573,839.404,3645.5,618.000,807.000,690.000,870.000,72.000,63.000,663.000,869.000,655.000,671.000,36.706,71.995,67.359,1.142857,0.872839,0,,,,,,,,,,,,0.750000,0.872839,0.872839,1.000000,619.584,837.481,0.000000,688.800,839.462,1.000000,654.156,807.414,1.000000,653.776,868.853,1.000000
49,1.600000,football,653.792,839.312,cotracker_tb_center,1,653.962,838.107,cotracker_tb_center,1,653.604,839.394,3643.5,618.000,807.000,690.000,870.000,72.000,63.000,663.000,869.000,655.000,671.000,36.612,72.073,67.164,1.142857,0.872360,0,,,,,,,,,,,,0.750000,0.872360,0.872360,1.000000,619.347,837.412,0.000000,688.727,839.387,1.000000,654.124,807.475,1.000000,653.801,868.740,1.000000
50,1.633333,football,653.587,839.092,cotracker_tb_center,1,654.115,838.037,cotracker_tb_center,1,653.596,839.385,3648.5,618.000,807.000,690.000,870.000,72.000,63.000,663.000,869.000,655.000,671.000,36.736,71.983,67.303,1.142857,0.873557,0,,,,,,,,,,,,0.750000,0.873557,0.873557,1.000000,619.367,837.029,0.000000,688.605,839.264,1.000000,654.274,807.347,1.000000,653.956,868.726,1.000000
51,1.666667,football,653.481,838.618,cotracker_tb_center,1,653.866,838.142,cotracker_tb_center,1,653.697,839.413,3622.5,619.000,807.000,690.000,870.000,71.000,63.000,664.000,869.000,660.000,668.000,36.616,72.410,66.910,1.126984,0.873639,0,,,,,,,,,,,,0.750000,0.873639,0.873639,1.000000,618.922,837.037,0.000000,688.172,839.057,1.000000,653.919,807.620,1.000000,653.812,868.663,1.000000
52,1.700000,football,682.704,787.710,cotracker_center_fallback,1,682.704,787.710,cotracker_center_fallback,1,684.000,787.514,3927.5,647.000,754.000,721.000,826.000,74.000,72.000,685.000,825.000,684.000,686.000,39.538,75.062,67.471,1.027778,0.844677,0,,,,,,,,,,,,0.250000,0.844677,0.844677,1.000000,646.747,790.404,0.000000,713.667,793.875,0.000000,681.547,756.166,0.000000,679.229,831.368,1.000000
53,1.733333,football,682.303,787.945,cotracker_center_fallback,1,682.303,787.945,cotracker_center_fallback,1,684.415,787.450,3897.5,648.000,754.000,722.000,826.000,74.000,72.000,685.500,825.000,685.000,686.000,39.386,74.722,67.087,1.027778,0.838225,0,,,,,,,,,,,,0.250000,0.838225,0.838225,1.000000,646.569,789.493,0.000000,715.030,792.020,0.000000,681.478,756.834,0.000000,679.102,827.908,1.000000
54,1.766667,football,700.809,711.024,cotracker_center_fallback,1,700.809,711.024,cotracker_center_fallback,1,700.425,710.823,4525.5,660.000,675.000,740.000,748.000,80.000,73.000,705.500,747.000,698.000,713.000,39.901,78.552,74.195,1.095890,0.894043,0,,,,,,,,,,,,0.500000,0.894043,0.894043,1.000000,663.103,714.872,0.000000,729.836,720.063,1.000000,700.119,679.468,0.000000,696.828,755.812,1.000000
55,1.800000,football,711.371,631.171,cotracker_center_fallback,1,711.371,631.171,cotracker_center_fallback,1,711.949,639.530,4233.0,673.000,599.000,751.000,675.000,78.000,76.000,723.000,674.000,723.000,723.000,40.503,75.930,73.962,1.026316,0.819370,0,,,,,,,,,,,,0.250000,0.819370,0.819370,1.000000,673.738,632.567,0.000000,741.587,639.550,0.000000,711.443,599.728,0.000000,708.071,678.308,1.000000
56,1.833333,football,716.724,576.812,cotracker_center_fallback,1,716.724,576.812,cotracker_center_fallback,1,716.847,583.706,4649.0,678.000,544.000,755.000,624.000,77.000,80.000,722.500,623.000,720.000,725.000,40.479,78.055,76.215,0.962500,0.882592,0,,,,,,,,,,,,0.500000,0.882592,0.882592,1.000000,680.661,582.523,0.000000,747.165,581.132,1.000000,715.336,548.739,0.000000,716.093,619.487,1.000000
