frame,time,tx,ty,tz,qx,qy,qz,qw,rx_delta,ry_delta,rz_delta,rear_joint_angle,seat_joint_angle,fx,fy,cx,cy,da3_mask_depth_m,da3_depth_conf,residual_norm,source
38,1.541667,0.635703661,0.694499184,5.631174236,0.635956299,0.215747983,-0.195193888,0.714780903,-0.113173189,0.590013772,0.029510741,0.021156014,-0.110545838,1468.604736328,1468.604736328,640.000000000,360.000000000,3.582268715,0.947967338,2.679896598,chair_metric_articulated_6d_sam2_cotracker_da3
39,1.583333,0.644835647,0.668220846,5.667768429,0.648570164,0.231488074,-0.215091013,0.692463624,-0.063168097,0.642682317,0.023597391,0.160917974,-0.065628030,1468.604736328,1468.604736328,640.000000000,360.000000000,3.731211901,0.955965568,3.083915935,chair_metric_articulated_6d_sam2_cotracker_da3
40,1.625000,0.645686656,0.649558595,5.782856341,0.672981970,0.259629639,-0.226513542,0.654506940,0.026675173,0.701917852,0.047814679,0.153194622,0.035990936,1468.604736328,1468.604736328,640.000000000,360.000000000,3.803722620,0.947889222,3.243643346,chair_metric_articulated_6d_sam2_cotracker_da3
41,1.666667,0.640159156,0.620837928,5.793688632,0.675184355,0.260884104,-0.218249045,0.654547878,0.029779769,0.691420083,0.061525143,-0.027734255,0.061283387,1468.604736328,1468.604736328,640.000000000,360.000000000,3.840621471,0.944236614,3.174075089,chair_metric_articulated_6d_sam2_cotracker_da3
42,1.708333,0.625609626,0.591263822,5.758723553,0.671563006,0.262651463,-0.210786234,0.659989774,0.016693554,0.682899755,0.074811855,-0.129929045,0.067160943,1468.604736328,1468.604736328,640.000000000,360.000000000,3.720622540,0.961477672,2.491535343,chair_metric_articulated_6d_sam2_cotracker_da3
43,1.750000,0.607158744,0.558854445,5.716232971,0.666788519,0.272859515,-0.208957883,0.661269505,0.007967529,0.695576016,0.092251634,-0.211379615,0.060887318,1468.604736328,1468.604736328,640.000000000,360.000000000,3.770564079,0.955768959,3.198034807,chair_metric_articulated_6d_sam2_cotracker_da3
44,1.791667,0.554573719,0.525070422,5.513725433,0.636130347,0.283638457,-0.209079511,0.686420545,-0.072698635,0.712264519,0.107781115,-0.257767749,-0.003405408,1468.604736328,1468.604736328,640.000000000,360.000000000,3.769395590,0.964222448,3.471055156,chair_metric_articulated_6d_sam2_cotracker_da3
45,1.833333,0.552439505,0.502428944,5.432869752,0.628574139,0.271584972,-0.213039773,0.696957826,-0.098782702,0.700057919,0.084570651,-0.303001406,-0.020848459,1468.604736328,1468.604736328,640.000000000,360.000000000,3.580054045,0.952322107,3.128665841,chair_metric_articulated_6d_sam2_cotracker_da3
46,1.875000,0.536295635,0.481764915,5.399505268,0.625909721,0.282995407,-0.218824538,0.693012585,-0.097088378,0.726062659,0.092846194,-0.260823427,-0.016459684,1468.604736328,1468.604736328,640.000000000,360.000000000,3.596177816,0.960767701,3.228523748,chair_metric_articulated_6d_sam2_cotracker_da3
47,1.916667,0.552322768,0.459408817,5.414098758,0.640527060,0.283220153,-0.230345824,0.675612486,-0.050798067,0.743561134,0.076553546,-0.225873380,0.004799157,1468.604736328,1468.604736328,640.000000000,360.000000000,3.618275642,0.949170881,3.282416974,chair_metric_articulated_6d_sam2_cotracker_da3
