frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
28,1.166667,1,0.223935,0.006995,4.092721,0.202712,0.070023,4.091845,0.222440,0.122918,4.043342,0.215557,0.159282,4.061936,0.228298,0.156775,4.073239,0.236639,0.145588,4.087685,0.237161,0.127347,4.104448,1,-0.307018,0.038090,3.683991,-0.318285,0.086477,3.630677,-0.215960,0.111025,3.606163,-0.300044,0.124988,3.535263,-0.337960,0.139303,3.543688,-0.357897,0.146266,3.567266,-0.363448,0.148750,3.608378
29,1.208333,1,0.226398,0.013610,4.092486,0.204236,0.075551,4.092769,0.224644,0.129626,4.047025,0.216232,0.165977,4.064850,0.228743,0.163888,4.076531,0.236565,0.152670,4.090747,0.237381,0.133671,4.107022,1,-0.305049,0.019871,3.677406,-0.313533,0.066146,3.618649,-0.210701,0.092706,3.598439,-0.288506,0.096907,3.520512,-0.330364,0.109773,3.525010,-0.352517,0.118486,3.547187,-0.359737,0.125123,3.588010
30,1.250000,1,0.232053,0.018520,4.089389,0.209960,0.081217,4.088228,0.232009,0.135301,4.043348,0.222176,0.172486,4.061527,0.234435,0.170866,4.073800,0.241485,0.159808,4.088332,0.242161,0.140058,4.104470,1,-0.299055,0.015594,3.669137,-0.307071,0.062426,3.610417,-0.205124,0.091641,3.591440,-0.279331,0.090730,3.512388,-0.322417,0.101478,3.514509,-0.345298,0.110654,3.535586,-0.353774,0.118188,3.575127
31,1.291667,1,0.241460,0.024368,4.080483,0.218820,0.086474,4.078461,0.242795,0.139710,4.033175,0.232241,0.178062,4.051739,0.244400,0.176598,4.064462,0.250831,0.165622,4.079627,0.250966,0.145433,4.095929,1,-0.288320,0.032099,3.663056,-0.299788,0.079644,3.607883,-0.199238,0.111665,3.588450,-0.275823,0.112586,3.513315,-0.315314,0.121817,3.515797,-0.337209,0.129417,3.536523,-0.346652,0.133420,3.574122
32,1.333333,1,0.253124,0.028609,4.066736,0.229219,0.090636,4.064717,0.254700,0.142730,4.019085,0.244433,0.181827,4.036535,0.256463,0.180290,4.049479,0.262548,0.169396,4.065283,0.262097,0.149305,4.081936,1,-0.274591,0.074673,3.659353,-0.291564,0.117552,3.613271,-0.193723,0.152734,3.594327,-0.275520,0.162295,3.526680,-0.308085,0.171205,3.531916,-0.327630,0.175394,3.552951,-0.337580,0.172404,3.588327
33,1.375000,1,0.264099,0.031372,4.049048,0.239839,0.093249,4.049186,0.266003,0.144346,4.003680,0.256949,0.183422,4.018677,0.268448,0.181974,4.031788,0.274215,0.171451,4.048066,0.273478,0.151905,4.065158,1,-0.261168,0.126277,3.659110,-0.282411,0.167902,3.626787,-0.189781,0.206743,3.609650,-0.273551,0.228407,3.552398,-0.299489,0.237658,3.560999,-0.316328,0.237778,3.582308,-0.325810,0.227191,3.615556
34,1.416667,1,0.273939,0.031515,4.033667,0.250352,0.094435,4.034518,0.276397,0.144642,3.988530,0.269274,0.183239,4.001836,0.279795,0.182199,4.015191,0.285041,0.172423,4.031702,0.284228,0.153679,4.049294,1,-0.252205,0.179763,3.673136,-0.273766,0.217003,3.645588,-0.187500,0.258987,3.628514,-0.269436,0.291628,3.584068,-0.290857,0.301186,3.595124,-0.305600,0.297761,3.616067,-0.313554,0.281448,3.647825
35,1.458333,1,0.284659,0.031540,4.022758,0.261122,0.094835,4.022930,0.286631,0.144047,3.974981,0.281782,0.182220,3.988951,0.291241,0.181677,4.002633,0.295841,0.172755,4.019137,0.294794,0.154936,4.037249,1,-0.242868,0.216725,3.699856,-0.268441,0.252983,3.664684,-0.186411,0.295780,3.642900,-0.268056,0.335912,3.612011,-0.286635,0.345607,3.624615,-0.299740,0.339958,3.645065,-0.305389,0.320485,3.676440
36,1.500000,1,0.297828,0.030575,4.011612,0.272347,0.095292,4.015688,0.297356,0.143522,3.965071,0.294456,0.181512,3.981299,0.303181,0.181262,3.995390,0.307290,0.172941,4.011761,0.305787,0.155961,4.030295,1,-0.240687,0.233035,3.712396,-0.268996,0.269308,3.678022,-0.187731,0.310066,3.647698,-0.273515,0.353622,3.627389,-0.290516,0.363650,3.641428,-0.301711,0.357742,3.662312,-0.304903,0.337607,3.694353
37,1.541667,1,0.309954,0.031829,4.014370,0.283866,0.096601,4.012887,0.308670,0.144068,3.960070,0.306858,0.182055,3.978451,0.315449,0.181772,3.993055,0.319408,0.173681,4.009323,0.317460,0.157243,4.028143,1,-0.246646,0.230520,3.722095,-0.276221,0.263590,3.680673,-0.193375,0.301205,3.642081,-0.285752,0.342645,3.624840,-0.302692,0.353769,3.640761,-0.311677,0.349891,3.663131,-0.313067,0.331656,3.696400
