frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
139,5.750000,-0.638364,0.250347,6.475704,-0.787235,0.327641,6.529646,17.6,1,left_foot,left_foot_heel,3659
140,5.791667,-0.634536,0.301645,6.500962,-0.771969,0.356794,6.521808,15.0,1,left_foot,left_foot_heel,3661
141,5.833333,-0.631378,0.379597,6.537996,-0.766659,0.383275,6.510019,13.8,1,left_foot,left_foot_heel,3674
142,5.875000,-0.631064,0.474163,6.588637,-0.780887,0.470820,6.538587,15.8,1,left_foot,left_foot_heel,3700
143,5.916667,-0.635748,0.481309,6.653528,-0.793846,0.497895,6.556060,18.6,1,left_foot,left_foot_heel,3713
144,5.958333,-0.635795,0.578130,6.731183,-0.775866,0.563803,6.524827,25.0,0,left_foot,left_foot_heel,3725
145,6.000000,-0.638922,0.685926,6.822053,-0.778111,0.601657,6.514140,34.8,0,left_foot,left_foot_heel,3727
146,6.041667,-0.634649,0.743637,6.824631,-0.757319,0.632256,6.483828,37.9,0,left_foot,left_foot_heel,3747
147,6.083333,-0.631077,0.643862,6.744469,-0.760266,0.591075,6.498516,28.3,0,left_foot,left_foot_heel,3727
148,6.125000,-0.625697,0.523765,6.675150,-0.750950,0.510378,6.503813,21.3,0,left_foot,left_foot_heel,3712
149,6.166667,-0.620642,0.516965,6.619654,-0.750236,0.509876,6.505001,17.3,1,left_foot,left_foot_heel,3712
150,6.208333,-0.620584,0.412675,6.575425,-0.751409,0.442526,6.488950,16.0,1,left_foot,left_foot_heel,3700
151,6.250000,-0.615650,0.331429,6.543058,-0.752209,0.355678,6.465271,15.9,1,left_foot,left_foot_heel,3674
152,6.291667,-0.606385,0.266419,6.521715,-0.775858,0.314206,6.498573,17.8,1,left_foot,left_foot_heel,3660
153,6.333333,-0.597610,0.210592,6.509811,-0.793041,0.275967,6.548542,21.0,0,left_foot,left_foot_heel,3607
154,6.375000,-0.598779,0.208312,6.505495,-0.805270,0.250712,6.541593,21.4,0,left_foot,left_foot_heel,3575
155,6.416667,-0.600896,0.173707,6.506933,-0.810863,0.235867,6.570439,22.8,0,left_foot,left_foot_heel,3578
156,6.458333,-0.605000,0.151359,6.512449,-0.814247,0.220136,6.595388,23.5,0,left_foot,left_foot_heel,3536
157,6.500000,-0.608822,0.147377,6.520550,-0.813137,0.200421,6.612160,23.0,0,left_foot,left_foot_heel,3504
158,6.541667,-0.611794,0.147979,6.529869,-0.811330,0.207210,6.615088,22.5,0,left_foot,left_foot_heel,3504
159,6.583333,-0.617930,0.165855,6.539062,-0.803661,0.213847,6.616653,20.7,0,left_foot,left_foot_heel,3504
160,6.625000,-0.625471,0.200742,6.546682,-0.795087,0.217161,6.619082,18.5,1,left_foot,left_foot_heel,3504
161,6.666667,-0.622497,0.278138,6.551043,-0.788721,0.285185,6.618965,18.0,1,left_foot,left_foot_heel,3578
162,6.708333,-0.621388,0.340943,6.550137,-0.793271,0.348899,6.616096,18.4,1,left_foot,left_foot_heel,5700
163,6.750000,-0.629106,0.414338,6.541588,-0.794033,0.435393,6.606438,17.8,1,left_foot,left_foot_heel,3662
164,6.791667,-0.624228,0.420611,6.522732,-0.814490,0.407087,6.455620,20.2,0,right_foot,right_foot_heel,6539
165,6.833333,-0.621965,0.515403,6.475809,-0.817712,0.516639,6.413612,20.5,0,right_foot,right_foot_heel,6542
166,6.875000,-0.623139,0.614797,6.412294,-0.794670,0.623196,6.379704,17.5,1,right_foot,right_foot_heel,6547
167,6.916667,-0.600567,0.553491,6.446523,-0.786745,0.545788,6.392004,19.4,1,right_foot,right_foot_heel,6480
168,6.958333,-0.586656,0.468662,6.475925,-0.781091,0.503256,6.369582,22.4,0,right_foot,right_foot_heel,6543
169,7.000000,-0.590435,0.463695,6.499107,-0.795363,0.467834,6.557258,21.3,0,left_foot,left_foot_heel,3673
170,7.041667,-0.564910,0.393296,6.516988,-0.549843,0.206977,6.617442,21.2,0,left_foot,left_foot_toe,5058
171,7.083333,-0.536540,0.330445,6.528255,-0.543914,0.199327,6.605009,15.2,1,left_foot,left_foot_toe,5058
172,7.125000,-0.520674,0.280110,6.532387,-0.533557,0.193978,6.591642,10.5,1,right_foot,right_foot_heel,5058
173,7.166667,-0.517497,0.274149,6.529491,-0.523634,0.193717,6.573977,9.2,1,right_foot,right_foot_heel,5058
174,7.208333,-0.494399,0.258374,6.520276,-0.504594,0.191033,6.552549,7.5,1,right_foot,right_foot_heel,5058
175,7.250000,-0.481222,0.247776,6.506159,-0.482860,0.188680,6.542470,6.9,1,right_foot,right_foot_heel,5059
176,7.291667,-0.464646,0.261566,6.487413,-0.455825,0.179895,6.543215,9.9,1,right_foot,right_foot_heel,5059
177,7.333333,-0.462902,0.265916,6.466019,-0.436353,0.169754,6.538929,12.4,1,right_foot,right_foot_heel,5059
178,7.375000,-0.459627,0.126697,6.497985,-0.441287,0.117657,6.510414,2.4,1,right_foot,right_foot_heel,4938
179,7.416667,-0.466451,0.120323,6.525072,-0.434317,0.107047,6.535634,3.6,1,right_foot,right_foot_heel,5012
180,7.458333,-0.471621,-0.016601,6.546881,-0.485929,-0.013383,6.548179,1.5,1,right_foot,right_foot_heel,4838
181,7.500000,-0.483636,-0.142256,6.564946,-0.507838,-0.058378,6.599261,9.4,1,right_foot,right_foot_heel,4848
182,7.541667,-0.476226,-0.238177,6.579166,-0.525966,-0.083895,6.602528,16.4,1,right_foot,right_foot_heel,4584
183,7.583333,-0.472757,-0.319140,6.589884,-0.562773,-0.115547,6.631749,22.7,0,right_foot,right_foot_heel,4532
184,7.625000,-0.475891,-0.325950,6.597668,-0.541635,-0.111237,6.614058,22.5,0,right_foot,right_foot_heel,4584
185,7.666667,-0.474446,-0.396775,6.603150,-0.551405,-0.121137,6.637419,28.8,0,right_foot,right_foot_heel,4584
186,7.708333,-0.474144,-0.446024,6.606929,-0.756676,-0.412762,6.798028,34.3,0,left_foot,left_foot_heel,3267
187,7.750000,-0.470727,-0.472599,6.609520,-0.769317,-0.428193,6.782847,34.8,0,left_foot,left_foot_heel,3264
