frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
79,3.250000,-0.308335,0.350215,3.754155,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.381,497.002,45.989,519.381,497.002,46.943,543.945,668.476,0.000096,0,0,0
80,3.291667,-0.323422,0.286744,3.749634,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.327,472.308,46.626,513.327,472.308,47.000,519.308,668.476,0.000340,0,0,0
81,3.333333,-0.344058,0.241287,3.745114,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,505.081,454.618,46.860,505.081,454.618,47.057,501.675,668.476,0.000451,0,0,0
82,3.375000,-0.346533,0.222180,3.740593,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.947,447.231,47.602,503.947,447.231,47.114,494.344,668.476,0.000205,0,0,0
83,3.416667,-0.349952,0.226618,3.736072,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.438,449.081,47.278,502.438,449.081,47.171,496.252,668.476,0.000031,0,0,0
84,3.458333,-0.357379,0.263980,3.731552,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.349,463.893,46.704,499.349,463.893,47.228,511.121,668.476,0.000446,0,0,0
85,3.500000,-0.374436,0.345378,3.727031,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,492.456,496.093,47.806,492.457,496.093,47.285,543.378,668.476,0.000870,0,0,0
86,3.541667,-0.363727,0.473148,3.722510,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,496.503,546.665,46.902,496.502,546.666,47.342,594.009,668.476,0.001636,0,0,0
87,3.583333,-0.371508,0.630922,3.717990,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.254,609.215,45.560,493.254,609.214,47.400,656.614,668.476,0.001056,0,0,0
88,3.625000,-0.369622,0.659108,3.713469,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.822,604.176,44.967,493.822,620.665,47.458,668.122,668.476,16.488507,0,1,0
89,3.666667,-0.368898,0.494870,3.708948,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,493.930,555.947,48.395,493.930,555.950,47.516,603.465,668.476,0.002976,0,0,0
90,3.708333,-0.366153,0.394658,3.704428,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.840,516.461,47.846,494.840,516.461,47.573,564.034,668.476,0.000321,0,0,0
91,3.750000,-0.360033,0.320298,3.699907,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.092,487.136,47.747,497.092,487.136,47.632,534.767,668.476,0.000193,0,0,0
92,3.791667,-0.358058,0.264187,3.695386,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,497.702,464.992,48.546,497.702,464.992,47.690,512.682,668.476,0.000195,0,0,0
93,3.833333,-0.354177,0.232295,3.690866,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.072,452.431,46.812,499.072,452.431,47.748,500.179,668.476,0.000262,0,0,0
94,3.875000,-0.345712,0.211521,3.686345,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.272,444.268,47.409,502.272,444.268,47.807,492.075,668.476,0.000243,0,0,0
95,3.916667,-0.342032,0.211877,3.681824,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.570,444.514,47.162,503.570,444.514,47.866,492.379,668.476,0.000492,0,0,0
96,3.958333,-0.330091,0.234262,3.677304,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.172,453.557,50.747,508.171,453.557,47.924,501.482,668.476,0.000665,0,0,0
97,4.000000,-0.327239,0.318118,3.672783,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.149,487.203,49.251,509.150,487.203,47.983,535.187,668.476,0.000615,0,0,0
98,4.041667,-0.296945,0.464022,3.668262,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.117,545.771,45.926,521.117,545.773,48.043,593.816,668.476,0.002226,0,0,0
99,4.083333,-0.259680,0.649464,3.663742,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.908,614.311,45.857,535.908,620.337,48.102,668.438,668.476,6.025680,1,0,0
100,4.125000,-0.231918,0.629169,3.568688,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,544.560,611.858,45.464,544.560,618.919,49.383,668.302,668.476,7.060868,0,1,0
101,4.166667,-0.214834,0.516900,3.594683,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,552.230,571.178,45.627,552.230,571.179,49.026,620.205,668.476,0.001232,0,0,0
102,4.208333,-0.209515,0.430459,3.620678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.017,534.601,51.464,555.017,534.601,48.674,583.275,668.476,0.000361,0,0,0
103,4.250000,-0.195462,0.363626,3.646673,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.283,506.441,47.812,561.283,506.441,48.327,554.768,668.476,0.000282,0,0,0
104,4.291667,-0.188321,0.316207,3.672668,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.695,486.443,46.684,564.695,486.443,47.985,534.428,668.476,0.000251,0,0,0
105,4.333333,-0.177297,0.277578,3.698662,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,569.602,470.216,47.149,569.602,470.216,47.648,517.864,668.476,0.000093,0,0,0
106,4.375000,-0.168611,0.255620,3.724657,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,573.518,460.789,47.074,573.518,460.789,47.315,508.104,668.476,0.000093,0,0,0
107,4.416667,-0.162504,0.251131,3.750652,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.370,458.333,47.171,576.370,458.333,46.987,505.320,668.476,0.000227,0,0,0
108,4.458333,-0.150327,0.267093,3.776647,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.543,463.863,47.265,581.543,463.863,46.664,510.527,668.476,0.000105,0,0,0
109,4.500000,-0.136960,0.324113,3.802642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.105,485.174,46.510,587.105,485.174,46.345,531.519,668.476,0.000338,0,0,0
110,4.541667,-0.122460,0.433843,3.828637,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,593.026,526.415,48.138,593.026,526.415,46.030,572.445,668.476,0.000360,0,0,0
111,4.583333,-0.106014,0.575280,3.854631,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.609,579.179,46.120,599.609,579.180,45.720,624.900,668.476,0.001237,0,0,0
112,4.625000,-0.099148,0.695169,3.880626,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.478,626.350,47.087,602.478,623.083,45.413,668.497,668.476,3.266722,1,0,0
113,4.666667,-0.107674,0.622533,3.539751,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.327,597.840,46.575,595.327,618.282,49.787,668.069,668.476,20.442061,0,1,0
114,4.708333,-0.115910,0.470221,3.568432,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.297,553.520,44.775,592.297,553.522,49.387,602.908,668.476,0.001768,0,0,0
115,4.750000,-0.127566,0.381158,3.597114,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,587.918,515.617,47.740,587.918,515.617,48.993,564.609,668.476,0.000317,0,0,0
116,4.791667,-0.136795,0.316598,3.625796,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,584.592,488.236,46.952,584.592,488.236,48.605,536.841,668.476,0.000144,0,0,0
117,4.833333,-0.147574,0.268650,3.654477,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.695,467.961,46.812,580.695,467.961,48.224,516.185,668.476,0.000109,0,0,0
118,4.875000,-0.154586,0.240636,3.683159,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,578.361,455.950,46.150,578.361,455.950,47.848,503.798,668.476,0.000039,0,0,0
119,4.916667,-0.158530,0.226710,3.711841,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,577.277,449.699,46.405,577.277,449.699,47.478,497.177,668.476,0.000149,0,0,0
120,4.958333,-0.156877,0.223195,3.740522,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,578.407,447.631,46.422,578.407,447.631,47.114,494.745,668.476,0.000203,0,0,0
121,5.000000,-0.154566,0.239113,3.769204,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.776,453.166,46.908,579.776,453.166,46.756,499.922,668.476,0.000276,0,0,0
122,5.041667,-0.152468,0.303026,3.797886,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,581.042,477.177,49.009,581.042,477.177,46.403,523.580,668.476,0.000149,0,0,0
123,5.083333,-0.154013,0.416766,3.826567,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.891,519.951,47.011,580.891,519.952,46.055,566.007,668.476,0.000508,0,0,0
124,5.125000,-0.160074,0.567978,3.855249,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.022,576.362,45.296,579.022,576.363,45.712,622.076,668.476,0.001408,0,0,0
125,5.166667,-0.166618,0.695847,3.883931,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.998,625.456,47.889,576.998,623.116,45.375,668.491,668.476,2.339908,1,1,0
126,5.208333,-0.185900,0.606444,3.736594,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.935,598.351,44.323,566.935,598.352,47.164,645.516,668.476,0.001505,0,0,0
127,5.250000,-0.208079,0.491827,3.739042,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,558.272,553.177,47.318,558.272,553.178,47.133,600.311,668.476,0.000767,0,0,0
128,5.291667,-0.240512,0.397115,3.741489,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,545.594,515.876,51.457,545.594,515.875,47.102,562.978,668.476,0.000833,0,0,0
129,5.333333,-0.258057,0.299523,3.743936,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.774,477.491,48.480,538.774,477.492,47.071,524.563,668.476,0.000659,0,0,0
130,5.375000,-0.273149,0.248894,3.746384,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.924,457.568,47.394,532.924,457.568,47.041,504.609,668.476,0.000028,0,0,0
131,5.416667,-0.286397,0.231573,3.748831,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.804,450.719,47.342,527.804,450.719,47.010,497.729,668.476,0.000250,0,0,0
132,5.458333,-0.299330,0.231326,3.751279,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.814,450.563,47.188,522.814,450.563,46.979,497.542,668.476,0.000217,0,0,0
133,5.500000,-0.310104,0.256207,3.753726,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,518.675,460.238,47.437,518.675,460.238,46.949,507.187,668.476,0.000389,0,0,0
134,5.541667,-0.315103,0.335472,3.756174,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,516.800,491.164,48.610,516.800,491.164,46.918,538.082,668.476,0.000262,0,0,0
135,5.583333,-0.326875,0.463956,3.758621,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.280,541.280,52.033,512.280,541.281,46.888,588.169,668.476,0.001448,0,0,0
136,5.625000,-0.334111,0.627274,3.761068,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.538,604.936,47.420,509.538,604.935,46.857,651.792,668.476,0.000888,0,0,0
