frame,time,proposal_score,anchor_score,floor_score,anchor_contact_state,human_contact_state,floor_contact_state,transition_contact_state,multi_contact_state,confidence_level,contact_part,contact_label,contact_side,anchor_type,min_object_boundary_gap_px,active_part_distance_px,contact_depth_offset_m,object_acceleration,support_surface_type,support_source,signed_support_gap_px,support_conf,active_object_point_id,active_object_u,active_object_v,state_active_part_u,state_active_part_v
54,1.766667,1.000000,0.180109,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,74.327267,74.327267,4.770869,1.000000,floor,gvhmr_floor,-58.921638,0.750000,boundary_028,693.000,746.000,680.551,819.277
55,1.800000,0.873166,0.120000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,130.346577,130.346577,30.919140,0.873166,floor,gvhmr_floor,-101.740306,0.750000,boundary_034,717.000,673.000,697.572,801.891
56,1.833333,0.339028,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,173.997975,173.997975,0.107748,0.339028,floor,gvhmr_floor,-147.013374,0.750000,boundary_030,709.000,622.000,700.894,795.809
57,1.866667,0.965298,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,228.365511,228.365511,-0.936571,0.965298,floor,gvhmr_floor,-194.004522,0.750000,boundary_030,723.000,572.000,699.916,799.196
58,1.900000,1.000000,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,291.290084,291.290084,-0.139657,1.000000,floor,gvhmr_floor,-242.798325,0.750000,boundary_028,716.000,518.000,690.044,808.131
59,1.933333,0.292851,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,303.114333,303.114333,-0.213584,0.292851,floor,gvhmr_floor,-277.253988,0.750000,boundary_027,717.000,517.000,679.925,817.838
60,1.966667,0.220070,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,361.553160,361.553160,30.348254,0.220070,floor,gvhmr_floor,-313.972951,0.750000,boundary_026,720.000,475.000,662.578,831.964
61,2.000000,0.113911,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,411.192510,411.192510,30.329569,0.113911,floor,gvhmr_floor,-350.176226,0.750000,boundary_026,722.000,440.000,640.642,843.063
62,2.033333,0.686196,0.000000,0.000000,0,0,0,0,0,none,foot,right_foot,right,foot,455.098405,455.098405,30.137806,0.686196,floor,gvhmr_floor,-385.118518,0.750000,boundary_029,728.000,409.000,618.634,850.762
63,2.066667,0.828292,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,488.400816,488.400816,0.093261,0.828292,floor,gvhmr_floor,-417.678123,0.750000,boundary_027,725.000,380.000,605.821,853.637
64,2.100000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,488.300490,488.300490,0.083061,0.000000,floor,gvhmr_floor,-440.469846,0.750000,boundary_028,726.000,380.000,606.068,853.343
65,2.133333,0.157051,0.037640,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,510.142295,510.142295,30.078560,0.157051,floor,gvhmr_floor,-462.724052,0.750000,boundary_026,727.000,359.000,604.897,854.314
66,2.166667,0.188199,0.056460,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,527.022037,527.022037,30.118991,0.071387,floor,gvhmr_floor,-483.146996,0.750000,boundary_027,731.000,343.000,604.857,854.703
67,2.200000,0.324859,0.075280,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,537.603374,537.603374,-0.094519,0.324859,floor,gvhmr_floor,-500.398057,0.750000,boundary_029,733.000,334.000,603.360,855.738
68,2.233333,0.188199,0.056460,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,537.275827,537.275827,-0.021926,0.000000,floor,gvhmr_floor,-512.473800,0.750000,boundary_029,731.000,334.000,603.757,855.991
69,2.266667,0.125466,0.037640,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,544.405149,544.405149,30.176993,0.000000,floor,gvhmr_floor,-522.471820,0.750000,boundary_027,734.000,328.000,603.348,856.495
70,2.300000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,543.370000,543.370000,30.163286,0.000000,floor,gvhmr_floor,-529.425434,0.750000,boundary_030,737.000,330.000,603.428,856.697
71,2.333333,0.093957,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,539.141720,539.141720,0.081958,0.093957,floor,gvhmr_floor,-532.837964,0.750000,boundary_030,735.000,334.000,603.151,856.771
72,2.366667,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,532.635182,532.635182,0.015348,0.000000,floor,gvhmr_floor,-532.526734,0.750000,boundary_029,745.000,344.000,602.418,857.196
73,2.400000,0.000000,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,516.722778,516.722778,30.136493,0.000000,floor,gvhmr_floor,-527.808874,0.750000,boundary_025,731.000,356.000,602.268,856.430
74,2.433333,0.134569,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,515.270716,515.270716,30.139490,0.134569,floor,gvhmr_floor,-524.761372,0.750000,boundary_028,735.000,356.000,603.020,854.082
75,2.466667,0.445306,0.000000,0.000000,0,0,0,0,0,none,foot,left_foot,left,foot,493.095455,493.095455,0.055558,0.445306,floor,gvhmr_floor,-516.973120,0.750000,boundary_028,738.000,375.000,606.197,850.154
