frame,time,ball_center_x,ball_center_y,radius,mask_area
183,7.583333,523.008,298.987,18.873,1119.0
184,7.625000,520.563,299.807,18.999,1134.0
185,7.666667,518.399,300.466,18.788,1109.0
186,7.708333,517.005,302.053,18.738,1103.0
187,7.750000,516.363,303.454,18.907,1123.0
188,7.791667,516.508,305.384,19.007,1135.0
189,7.833333,517.609,307.099,19.348,1176.0
190,7.875000,519.204,307.987,19.520,1197.0
191,7.916667,521.421,307.556,19.609,1208.0
192,7.958333,524.502,307.495,19.835,1236.0
