frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
42,1.708333,0.609059,0.179220,5.324238,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,807.999,409.435,126.593,807.999,409.435,68.958,478.393,627.159,0.000041,0,0,0
43,1.750000,0.602061,0.153379,5.321858,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,806.143,402.326,127.347,806.143,402.326,68.989,471.315,627.159,0.000027,0,0,0
44,1.791667,0.595181,0.129031,5.319478,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,804.318,395.623,127.584,804.318,395.623,69.020,464.643,627.159,0.000064,0,0,0
45,1.833333,0.588348,0.105740,5.317098,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,802.504,389.206,126.743,802.504,389.206,69.051,458.257,627.159,0.000203,0,0,0
46,1.875000,0.584172,0.079548,5.314718,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,801.423,381.981,128.403,801.423,381.981,69.082,451.063,627.159,0.000450,0,0,0
47,1.916667,0.578115,0.058582,5.312338,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,799.821,376.196,128.387,799.821,376.195,69.113,445.308,627.159,0.000843,0,0,0
48,1.958333,0.569386,0.020108,5.309958,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,797.478,365.561,128.941,797.478,365.561,69.144,434.705,627.159,0.000499,0,0,0
49,2.000000,0.567008,-0.001206,5.307578,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,796.891,359.666,132.293,796.891,359.666,69.175,428.841,627.159,0.000428,0,0,0
50,2.041667,0.566446,-0.002400,5.305197,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,796.806,359.336,132.378,796.806,359.336,69.206,428.542,627.159,0.000432,0,0,0
51,2.083333,0.561135,-0.010061,5.302817,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,795.405,357.214,129.556,795.405,357.214,69.237,426.451,627.159,0.000339,0,0,0
52,2.125000,0.558023,-0.024089,5.300437,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,794.613,353.325,130.134,794.613,353.326,69.268,422.594,627.159,0.000620,0,0,0
53,2.166667,0.552648,-0.023866,5.298057,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,793.192,353.385,129.324,793.192,353.384,69.299,422.684,627.159,0.000580,0,0,0
54,2.208333,0.550411,-0.030587,5.295677,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,792.641,351.517,128.967,792.641,351.518,69.330,420.848,627.159,0.000540,0,0,0
55,2.250000,0.546344,-0.026609,5.293297,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,791.581,352.618,128.752,791.581,352.617,69.362,421.979,627.159,0.000537,0,0,0
56,2.291667,0.544477,-0.030657,5.290917,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,791.131,351.490,128.234,791.131,351.490,69.393,420.883,627.159,0.000494,0,0,0
57,2.333333,0.540207,-0.025241,5.288537,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,790.013,352.991,128.105,790.013,352.991,69.424,422.415,627.159,0.000455,0,0,0
58,2.375000,0.537699,-0.026008,5.286157,1.000000,0.000000,0.000000,0.000000,0.250000,gvhmr_incam,789.384,352.774,127.935,789.384,352.774,69.455,422.230,627.159,0.000462,0,0,0
