frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg
89,3.666667,2.442924,139.9692,2.394884,137.2168,0,0.048040,2.7525,visible,0.061369,0.013367,39.2649
90,3.708333,2.475986,141.8636,2.461262,141.0199,0,0.014725,0.8437,visible,-0.052870,-0.067568,42.0107
91,3.750000,2.525985,144.7283,2.522474,144.5271,0,0.003511,0.2012,visible,-0.154653,-0.158121,44.3696
92,3.791667,2.584881,148.1028,2.582288,147.9542,0,0.002593,0.1486,visible,-0.246375,-0.248887,46.3089
93,3.833333,2.647609,151.6968,2.644377,151.5117,0,0.003231,0.1852,visible,-0.333401,-0.336445,47.9636
94,3.875000,2.711136,155.3366,2.710469,155.2984,0,0.000667,0.0382,visible,-0.421288,-0.421893,49.6175
95,3.916667,2.767721,158.5787,2.779801,159.2709,0,-0.012081,-0.6922,visible,-0.500512,-0.490017,50.7630
96,3.958333,2.797738,160.2986,2.851365,163.3712,0,-0.053626,-3.0726,visible,-0.578616,-0.534067,51.9821
97,4.000000,2.773663,158.9192,2.921857,167.4100,0,-0.148194,-8.4909,visible,-0.645002,-0.525100,52.7558
98,4.041667,2.681318,153.6282,2.986855,171.1342,1,-0.305537,-17.5060,hidden,-0.700071,-0.452851,53.2985
99,4.083333,2.534168,145.1972,3.045229,174.4788,1,-0.511061,-29.2816,hidden,-0.746863,-0.326191,53.8406
100,4.125000,2.358867,135.1531,3.099357,177.5801,1,-0.740490,-42.4270,hidden,-0.789547,-0.168768,54.5631
101,4.166667,2.174298,124.5781,4.051390,232.1275,1,-1.877092,-107.5494,hidden,-0.800588,0.812726,1.0588
102,4.208333,1.987774,113.8911,-2.132726,-122.1962,1,4.120500,236.0872,hidden,-0.856110,0.906530,1.0788
103,4.250000,1.800985,103.1888,-2.027791,-116.1838,1,3.828776,219.3727,hidden,-0.905671,0.969074,1.0976
104,4.291667,1.614173,92.4853,-1.910370,-109.4561,1,3.524543,201.9415,hidden,-0.949187,0.998029,1.1127
105,4.333333,1.427361,81.7818,-1.774154,-101.6515,1,3.201515,183.4333,hidden,-0.983155,0.992336,1.1201
106,4.375000,1.240549,71.0782,-1.621612,-92.9115,1,2.862162,163.9898,hidden,-0.999512,0.952123,1.1207
107,4.416667,1.053737,60.3747,-1.461730,-83.7510,1,2.515467,144.1256,hidden,-0.991714,0.878873,1.1320
108,4.458333,0.866925,49.6712,-1.302178,-74.6093,1,2.169103,124.2805,hidden,-0.958580,0.775261,1.1575
109,4.500000,0.680113,38.9676,-1.147781,-65.7630,1,1.827895,104.7306,hidden,-0.903114,0.644927,1.1926
110,4.541667,0.493323,28.2654,-1.000774,-57.3401,1,1.494097,85.6055,hidden,-0.830084,0.492394,1.2327
111,4.583333,0.306785,17.5775,-0.862908,-49.4410,1,1.169693,67.0185,hidden,-0.745112,0.323088,1.2723
112,4.625000,0.122099,6.9957,-0.736102,-42.1755,1,0.858201,49.1713,hidden,-0.654170,0.144607,1.3188
113,4.666667,-0.053887,-3.0875,-0.621662,-35.6186,1,0.567776,32.5312,hidden,-0.562853,-0.030054,1.3653
114,4.708333,-0.203802,-11.6770,-0.521982,-29.9074,1,0.318180,18.2304,hidden,-0.477136,-0.178255,1.4088
115,4.750000,-0.304237,-17.4315,-0.440758,-25.2536,0,0.136521,7.8221,visible,-0.403579,-0.275303,1.4515
116,4.791667,-0.346091,-19.8296,-0.380850,-21.8211,0,0.034759,1.9915,visible,-0.347343,-0.314545,1.4962
117,4.833333,-0.346715,-19.8653,-0.341818,-19.5847,0,-0.004897,-0.2806,visible,-0.309755,-0.314408,1.5403
118,4.875000,-0.333482,-19.1071,-0.321216,-18.4043,0,-0.012265,-0.7028,visible,-0.289405,-0.301123,1.5820
119,4.916667,-0.322338,-18.4686,-0.315029,-18.0498,0,-0.007309,-0.4188,visible,-0.282814,-0.289817,1.6216
120,4.958333,-0.314836,-18.0388,-0.316588,-18.1392,0,0.001752,0.1004,visible,-0.283684,-0.282003,1.6590
121,5.000000,-0.305860,-17.5245,-0.317996,-18.2198,0,0.012135,0.6953,visible,-0.284435,-0.272780,1.6947
122,5.041667,-0.290596,-16.6499,-0.303101,-17.3664,0,0.012505,0.7165,visible,-0.269509,-0.257447,1.7313
123,5.083333,-0.268381,-15.3771,-0.273480,-15.6692,0,0.005099,0.2922,visible,-0.240209,-0.235256,1.7704
124,5.125000,-0.243134,-13.9306,-0.238091,-13.6416,0,-0.005044,-0.2890,visible,-0.205039,-0.209973,1.8098
125,5.166667,-0.220924,-12.6580,-0.209055,-11.9780,0,-0.011868,-0.6800,visible,-0.175881,-0.187552,1.8480
126,5.208333,-0.206895,-11.8542,-0.192773,-11.0451,0,-0.014122,-0.8091,visible,-0.159228,-0.173153,1.8830
127,5.250000,-0.203610,-11.6660,-0.190366,-10.9071,0,-0.013245,-0.7589,visible,-0.156311,-0.169378,1.9143
128,5.291667,-0.211052,-12.0924,-0.200420,-11.4832,0,-0.010632,-0.6092,visible,-0.165760,-0.176235,1.9419
129,5.333333,-0.227445,-13.0316,-0.220259,-12.6199,0,-0.007186,-0.4117,visible,-0.184883,-0.191940,1.9656
130,5.375000,-0.250091,-14.3292,-0.246506,-14.1238,0,-0.003585,-0.2054,visible,-0.210281,-0.213784,1.9850
131,5.416667,-0.276005,-15.8139,-0.276031,-15.8154,0,0.000025,0.0015,visible,-0.238800,-0.238775,1.9997
132,5.458333,-0.302420,-17.3274,-0.305003,-17.4754,0,0.002584,0.1480,visible,-0.266661,-0.264170,2.0097
133,5.500000,-0.327213,-18.7479,-0.331132,-18.9725,0,0.003919,0.2246,visible,-0.291654,-0.287903,2.0155
134,5.541667,-0.349152,-20.0049,-0.353270,-20.2409,0,0.004118,0.2359,visible,-0.312730,-0.308817,2.0170
135,5.583333,-0.367873,-21.0776,-0.371410,-21.2802,0,0.003537,0.2027,visible,-0.329949,-0.326607,2.0146
136,5.625000,-0.383641,-21.9810,-0.386229,-22.1293,0,0.002588,0.1483,visible,-0.343986,-0.341555,2.0094
