frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
154,5.100000,0.970675,1.971969,0.661897,1.327570,4680,0.602196,0.6893,0.0109,mask
155,5.133333,0.974466,1.974823,0.665067,1.324216,4688,0.608446,0.6987,0.0138,mask
156,5.166667,0.971755,1.975402,0.663753,1.326297,4688,0.590653,0.6794,0.0226,mask
157,5.200000,0.969097,1.976322,0.660619,1.330941,4699,0.591232,0.6833,0.0287,mask
158,5.233333,0.968057,1.979865,0.657792,1.335427,4672,0.610928,0.6866,0.0433,mask
159,5.266667,0.966928,1.982332,0.655993,1.338416,4738,0.600736,0.6870,0.0547,mask
160,5.300000,0.969740,1.985566,0.654580,1.340376,4709,0.615511,0.6918,0.0593,mask
161,5.333333,0.969120,1.984357,0.651412,1.343908,4572,0.627418,0.6866,0.0518,mask
162,5.366667,0.968920,1.986685,0.643368,1.352844,4551,0.639035,0.6924,0.0608,mask
163,5.400000,0.963421,1.994769,0.629434,1.368458,4657,0.602263,0.6898,0.1271,mask
164,5.433333,0.957000,2.013072,0.614307,1.385449,4589,0.443192,0.5951,0.2944,mask
165,5.466667,0.953403,2.016805,0.605781,1.394991,4670,0.205518,0.3354,0.5394,mask
166,5.500000,0.957107,2.017256,0.604699,1.395875,4630,0.219812,0.3653,0.5352,mask
167,5.533333,0.979788,2.022255,0.599816,1.400241,4635,0.461469,0.6894,0.2892,mask
168,5.566667,0.997346,2.032310,0.578525,1.422062,4660,0.403201,0.6137,0.2697,mask
169,5.600000,0.993919,2.040840,0.542420,1.460209,4611,0.163378,0.3139,0.6182,mask
170,5.633333,0.996062,2.044321,0.506849,1.498655,4516,0.102982,0.1981,0.6434,mask
171,5.666667,0.992874,2.048682,0.485055,1.523365,4614,0.274739,0.4635,0.4232,mask
172,5.700000,1.005306,2.046781,0.477749,1.533453,4632,0.266713,0.4201,0.3234,mask
173,5.733333,1.012820,2.053300,0.477970,1.535956,4523,0.261251,0.4062,0.3246,mask
174,5.766667,1.009569,2.051311,0.480382,1.535981,4497,0.270582,0.4102,0.2920,mask
175,5.800000,1.013158,2.053307,0.483941,1.534181,4483,0.279539,0.4158,0.2723,mask
176,5.833333,1.012591,2.056647,0.489232,1.529879,4483,0.271932,0.4110,0.2941,mask
177,5.866667,1.016024,2.064272,0.496266,1.523364,4586,0.257383,0.4130,0.3533,mask
178,5.900000,1.011463,2.062870,0.504647,1.515302,4593,0.261552,0.4218,0.3585,mask
179,5.933333,1.010564,2.063291,0.514582,1.505358,4583,0.237546,0.3871,0.3732,mask
180,5.966667,1.012362,2.063876,0.526941,1.492214,4589,0.251149,0.4042,0.3600,mask
181,6.000000,1.014625,2.066750,0.542051,1.475151,4590,0.248292,0.4103,0.3924,mask
182,6.033333,1.011040,2.059545,0.557980,1.456125,4599,0.264743,0.4255,0.3575,mask
183,6.066667,1.011956,2.059829,0.568894,1.441757,4643,0.260246,0.4300,0.3771,mask
184,6.100000,1.015594,2.064383,0.565116,1.443375,4610,0.270989,0.4637,0.4379,mask
185,6.133333,1.016965,2.063706,0.537917,1.471486,4609,0.279563,0.4773,0.4356,mask
186,6.166667,1.025460,2.065938,0.488124,1.525674,4638,0.313836,0.5255,0.4046,mask
187,6.200000,1.021735,2.063255,0.429862,1.590066,4504,0.064658,0.1264,0.6710,mask
188,6.233333,1.017745,2.061697,0.382347,1.642681,4499,0.101990,0.2034,0.7005,mask
189,6.266667,1.020616,2.062879,0.356542,1.670856,4496,0.093581,0.1906,0.7349,mask
190,6.300000,1.016051,2.060780,0.350258,1.677030,4589,0.112204,0.2264,0.6968,mask
191,6.333333,1.014961,2.059833,0.354237,1.671812,4496,0.125789,0.2477,0.6751,mask
192,6.366667,1.012732,2.055376,0.360296,1.664559,4589,0.126742,0.2413,0.6027,mask
