frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
83,3.416667,left,handle:left:rigid_keyframe_contact_region,468.594,93.205,51.362991,51.362991,0.755145,0.230930,none,1,0
84,3.458333,left,handle:left:rigid_keyframe_contact_region,469.650,94.615,49.662717,49.662717,0.498791,0.254053,proposal,1,0
85,3.500000,left,handle:left:rigid_keyframe_contact_region,470.337,93.012,49.047544,49.047544,0.366893,0.262769,proposal,1,0
86,3.541667,left,handle:left:rigid_keyframe_contact_region,472.518,96.307,45.063750,45.063750,0.606964,0.323619,proposal,1,1
87,3.583333,left,handle:left:rigid_keyframe_contact_region,471.831,99.085,45.231996,45.231996,0.494928,0.320899,proposal,1,1
88,3.625000,left,handle:left:rigid_keyframe_contact_region,476.664,103.565,41.314409,41.314409,0.387412,0.387412,proposal,1,1
89,3.666667,left,handle:left:rigid_keyframe_contact_region,476.285,105.925,43.307764,43.307764,0.352756,0.352756,proposal,1,1
90,3.708333,left,handle:left:rigid_keyframe_contact_region,479.070,105.617,42.114703,42.114703,0.373305,0.373305,proposal,1,1
91,3.750000,left,handle:left:rigid_keyframe_contact_region,480.775,113.951,41.269247,41.269247,0.996490,0.388215,proposal,1,1
92,3.791667,left,handle:left:rigid_keyframe_contact_region,479.251,112.050,45.031107,45.031107,1.000000,0.324148,proposal,1,1
93,3.833333,left,handle:left:rigid_keyframe_contact_region,484.357,116.823,41.640108,41.640108,1.000000,0.381640,proposal,1,1
94,3.875000,left,handle:left:rigid_keyframe_contact_region,489.438,123.151,38.141673,38.141673,1.000000,0.445653,proposal,1,1
95,3.916667,left,handle:left:rigid_keyframe_contact_region,489.290,135.103,40.999158,40.999158,1.000000,0.393037,proposal,1,1
96,3.958333,left,handle:left:rigid_keyframe_contact_region,496.251,138.485,36.848061,36.848061,1.000000,0.470329,soft,1,1
97,4.000000,left,handle:left:rigid_keyframe_contact_region,502.217,139.843,34.528936,34.528936,0.714296,0.515633,soft,1,1
98,4.041667,left,handle:left:rigid_keyframe_contact_region,507.525,154.535,33.124014,33.124014,1.000000,0.543592,soft,1,1
99,4.083333,left,handle:left:rigid_keyframe_contact_region,512.869,160.157,32.895605,32.895605,1.000000,0.548165,soft,1,1
100,4.125000,left,handle:left:rigid_keyframe_contact_region,518.372,175.092,32.448437,32.448437,0.870511,0.557136,soft,1,1
101,4.166667,left,handle:left:rigid_keyframe_contact_region,525.227,177.644,31.340553,31.340553,0.985213,0.579446,soft,1,1
102,4.208333,left,handle:left:rigid_keyframe_contact_region,533.321,193.072,27.772876,27.772876,0.776067,0.651474,soft,1,1
103,4.250000,left,handle:left:rigid_keyframe_contact_region,539.408,202.947,26.616007,26.616007,0.674649,0.674649,soft,1,1
104,4.291667,left,handle:left:rigid_keyframe_contact_region,545.610,215.860,25.576142,25.576142,0.695301,0.695301,soft,1,1
105,4.333333,left,handle:left:rigid_keyframe_contact_region,556.342,231.720,18.348292,18.348292,0.829416,0.829416,strong,1,1
106,4.375000,left,handle:left:rigid_keyframe_contact_region,563.710,235.231,14.840621,14.840621,0.884832,0.884832,strong,1,1
107,4.416667,left,handle:left:rigid_keyframe_contact_region,570.492,248.250,9.994058,9.994058,0.946022,0.946022,strong,1,1
108,4.458333,left,handle:left:rigid_keyframe_contact_region,574.992,262.019,7.084383,7.084383,0.972503,0.972503,strong,1,1
109,4.500000,left,handle:left:rigid_keyframe_contact_region,586.354,262.250,9.648168,9.648168,0.949599,0.949599,strong,1,1
110,4.541667,left,handle:left:rigid_keyframe_contact_region,590.826,282.225,4.854085,4.854085,0.986995,0.986995,strong,1,1
111,4.583333,left,handle:left:rigid_keyframe_contact_region,596.413,290.883,8.001488,8.001488,1.000000,0.965056,strong,1,1
112,4.625000,left,handle:left:rigid_keyframe_contact_region,599.676,296.505,8.549488,8.549488,1.000000,0.960206,strong,1,1
113,4.666667,left,handle:left:rigid_keyframe_contact_region,605.993,310.616,14.976607,14.976607,1.000000,0.882841,strong,1,1
114,4.708333,left,handle:left:rigid_keyframe_contact_region,609.784,318.562,17.542181,17.542181,1.000000,0.842855,strong,1,1
115,4.750000,left,handle:left:rigid_keyframe_contact_region,615.122,323.876,20.749435,20.749435,1.000000,0.787267,strong,1,1
116,4.791667,left,handle:left:rigid_keyframe_contact_region,615.400,330.385,20.418734,20.418734,1.000000,0.793244,strong,1,1
117,4.833333,left,handle:left:rigid_keyframe_contact_region,619.770,336.302,23.461741,23.461741,1.000000,0.736528,strong,1,1
118,4.875000,left,handle:left:rigid_keyframe_contact_region,621.944,340.872,24.146170,24.146170,0.993233,0.723316,strong,1,1
119,4.916667,left,handle:left:rigid_keyframe_contact_region,626.687,330.144,24.133713,24.133713,0.723557,0.723557,strong,1,1
120,4.958333,left,handle:left:rigid_keyframe_contact_region,624.541,348.761,25.538872,25.538872,0.696037,0.696037,soft,1,1
