frame,window_start,window_end,time,contact_type,target,score,confidence_level,source_support,source_proximity,source_motion,source_audio,source_depth,occlusion_score
86,86,240,3.541667,anchor_contact_event,left_hand,0.323619,proposal,0.000000,0.323619,0.606964,0.000000,0.000000,0.000000
87,86,240,3.583333,anchor_contact_event,left_hand,0.320899,proposal,0.000000,0.320899,0.494928,0.000000,0.000000,0.000000
88,86,240,3.625000,anchor_contact_event,left_hand,0.387412,proposal,0.000000,0.387412,0.000000,0.000000,0.000000,0.000000
89,86,240,3.666667,anchor_contact_event,left_hand,0.352756,proposal,0.000000,0.352756,0.000000,0.000000,0.000000,0.000000
90,86,240,3.708333,anchor_contact_event,left_hand,0.373305,proposal,0.000000,0.373305,0.241909,0.000000,0.000000,0.000000
91,86,240,3.750000,anchor_contact_event,left_hand,0.388215,proposal,0.000000,0.388215,0.996490,0.000000,0.000000,0.000000
92,86,240,3.791667,anchor_contact_event,left_hand,0.324148,proposal,0.000000,0.324148,1.000000,0.000000,0.000000,0.000000
93,86,240,3.833333,anchor_contact_event,left_hand,0.381640,proposal,0.000000,0.381640,1.000000,0.000000,0.000000,0.000000
94,86,240,3.875000,anchor_contact_event,left_hand,0.445653,proposal,0.000000,0.445653,1.000000,0.000000,0.000000,0.000000
95,86,240,3.916667,anchor_contact_event,left_hand,0.393037,proposal,0.000000,0.393037,1.000000,0.000000,0.000000,0.000000
96,86,240,3.958333,anchor_contact_event,left_hand,0.470329,soft,0.000000,0.470329,1.000000,0.000000,0.000000,0.000000
97,86,240,4.000000,anchor_contact_event,left_hand,0.515633,soft,0.000000,0.515633,0.714296,0.000000,0.000000,0.000000
98,86,240,4.041667,anchor_contact_event,left_hand,0.543592,soft,0.000000,0.543592,1.000000,0.000000,0.000000,0.000000
99,86,240,4.083333,anchor_contact_event,left_hand,0.548165,soft,0.000000,0.548165,1.000000,0.000000,0.000000,0.000000
100,86,240,4.125000,anchor_contact_event,left_hand,0.557136,soft,0.000000,0.557136,0.870511,0.000000,0.000000,0.000000
101,86,240,4.166667,anchor_contact_event,left_hand,0.579446,soft,0.000000,0.579446,0.985213,0.000000,0.000000,0.000000
102,86,240,4.208333,anchor_contact_event,left_hand,0.651474,soft,0.000000,0.651474,0.776067,0.000000,0.000000,0.000000
103,86,240,4.250000,anchor_contact_event,left_hand,0.674649,soft,0.000000,0.674649,0.509118,0.000000,0.000000,0.000000
104,86,240,4.291667,anchor_contact_event,left_hand,0.695301,soft,0.000000,0.695301,0.000000,0.000000,0.000000,0.000000
105,86,240,4.333333,anchor_contact_event,left_hand,0.829416,strong,0.000000,0.829416,0.098685,0.000000,0.000000,0.000000
106,86,240,4.375000,anchor_contact_event,left_hand,0.884832,strong,0.000000,0.884832,0.308048,0.000000,0.000000,0.000000
107,86,240,4.416667,anchor_contact_event,left_hand,0.946022,strong,0.000000,0.946022,0.928252,0.000000,0.000000,0.000000
108,86,240,4.458333,anchor_contact_event,left_hand,0.972503,strong,0.000000,0.972503,0.586559,0.000000,0.000000,0.000000
109,86,240,4.500000,anchor_contact_event,left_hand,0.949599,strong,0.000000,0.949599,0.398569,0.000000,0.000000,0.000000
110,86,240,4.541667,anchor_contact_event,left_hand,0.986995,strong,0.000000,0.986995,0.777035,0.000000,0.000000,0.000000
111,86,240,4.583333,anchor_contact_event,left_hand,0.965056,strong,0.000000,0.965056,1.000000,0.000000,0.000000,0.000000
112,86,240,4.625000,anchor_contact_event,left_hand,0.960206,strong,0.000000,0.960206,1.000000,0.000000,0.000000,0.000000
113,86,240,4.666667,anchor_contact_event,left_hand,0.882841,strong,0.000000,0.882841,1.000000,0.000000,0.000000,0.000000
114,86,240,4.708333,anchor_contact_event,left_hand,0.842855,strong,0.000000,0.842855,1.000000,0.000000,0.000000,0.000000
115,86,240,4.750000,anchor_contact_event,left_hand,0.787267,strong,0.000000,0.787267,1.000000,0.000000,0.000000,0.000000
