frame,time,x,y,z,yaw,yaw_deg,pitch,pitch_deg,roll,roll_deg,scale,handle_phase_rad,handle_phase_deg,vlm_visibility,source,tx,ty,tz,qw,qx,qy,qz,se3_schema,m45_pose_source,m45_rotation_smooth_start,m45_rotation_smooth_end,m45_static_frame,m45_yaw_input,m45_pitch_input,m45_roll_input
61,2.500000,-0.401699832,-0.630239884,3.839137107,-0.295210611,-16.914322,-0.537284710,-30.784146,-0.344778050,-19.754327,1.079310979,2.687807048,154.000000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.397638,-0.631163,3.814503,0.950562,-0.209005,-0.203794,0.105915,1,rotation_slerp,60,70,160,0.239049558,-0.279803903,-0.564425579
62,2.541667,-0.402930077,-0.633940128,3.837077865,-0.268671643,-15.393751,-0.532136015,-30.489148,-0.374299924,-21.445806,1.073439578,2.652900463,152.000000,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.399207,-0.635461,3.815484,0.937298,-0.239496,-0.202828,0.151574,1,rotation_slerp,60,70,160,0.234916554,-0.287287426,-0.591922416
63,2.583333,-0.403835778,-0.637584786,3.834301732,-0.242404892,-13.888777,-0.526318491,-30.155828,-0.403558950,-23.122225,1.060494006,2.616833950,149.933541,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.400547,-0.639563,3.816230,0.930151,-0.266416,-0.202398,0.151250,1,rotation_slerp,60,70,160,0.237672140,-0.299638086,-0.609387530
64,2.625000,-0.404462718,-0.641292058,3.831123457,-0.216438321,-12.401002,-0.519843379,-29.784832,-0.432528404,-24.782052,1.089136909,2.580767437,147.867082,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.401686,-0.643484,3.816758,0.929990,-0.273703,-0.202636,0.138361,1,rotation_slerp,60,70,160,0.215569920,-0.316470500,-0.613819236
65,2.666667,-0.404851413,-0.645147709,3.827804095,-0.190797781,-10.931908,-0.512722900,-29.376858,-0.461183690,-26.423879,1.079210625,2.548180708,146.000000,visible,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.402653,-0.647232,3.817091,0.931444,-0.280666,-0.203282,0.110974,1,rotation_slerp,60,70,160,0.139874530,-0.363669845,-0.586501852
66,2.708333,-0.405041143,-0.649165587,3.824612624,-0.165506921,-9.482848,-0.504970156,-28.932659,-0.489502438,-28.046424,1.079939348,2.518855583,144.319794,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.403469,-0.650816,3.817259,0.932045,-0.287285,-0.204449,0.083431,1,rotation_slerp,60,70,160,0.052338174,-0.425601903,-0.549066883
67,2.750000,-0.405095447,-0.653276617,3.821667907,-0.140587122,-8.055049,-0.496599015,-28.453028,-0.517464562,-29.648535,1.079345036,2.490326669,142.685208,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.404156,-0.654235,3.817294,0.930516,-0.293521,-0.211813,0.055860,1,rotation_slerp,60,70,160,-0.062296575,-0.487409285,-0.568325137
68,2.791667,-0.405091601,-0.657358844,3.818980009,-0.116057479,-6.649604,-0.487624011,-27.938798,-0.545052289,-31.229196,1.059010248,2.462702929,141.102484,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.404730,-0.657490,3.817231,0.927991,-0.299520,-0.219792,0.028493,1,rotation_slerp,60,70,160,-0.087368906,-0.512871409,-0.563665793
69,2.833333,-0.405095448,-0.661300663,3.816473692,-0.091934796,-5.267476,-0.478060234,-27.390834,-0.572250163,-32.787519,1.102821621,2.436093328,139.577866,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.405207,-0.660575,3.817104,0.924094,-0.305260,-0.228020,0.029560,1,rotation_slerp,60,70,160,-0.113861572,-0.491094348,-0.577902058
70,2.875000,-0.405173559,-0.665024822,3.814233592,-0.068233623,-3.909499,-0.467923227,-26.810026,-0.599045009,-34.322751,1.099613156,2.410606829,138.117597,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.405599,-0.663486,3.816946,0.919385,-0.310808,-0.236409,0.047329,1,unchanged,60,70,160,,,
71,2.916667,-0.405362741,-0.668486124,3.812298897,-0.004637753,-0.265724,-0.454906477,-26.064221,-0.629962838,-36.094212,1.092401464,2.386352397,136.727921,hidden,m18_body_pose_plus_m17_handle_phase+generic_se3_pose_init+sequence_se3_optimizer,-0.405913,-0.666219,3.816789,0.914216,-0.316203,-0.244916,0.065122,1,unchanged,60,70,160,,,
