frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,u_ref_obs,v_ref_obs,contact_u,contact_v,contact_depth_offset_m,contact_depth_offset_used_m,z_contact_final,global_z_ref,z_ref_global_shift,z_ref_anchor_segment,contact_depth_gap,contact_surface_gap_m,audio_score,audio_anchor_type
24,0.958333,-0.036004,0.525591,5.100408,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,629.633,511.338,,629.633,511.338,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,1,0,0,0,0,hand,left,left_hand,left_hand,0.070163,3.920565,629.633,511.338,595.906,540.851,0.695013,0.695013,5.795421,3.583192,3.439146,3.583192,1.874857,1.145246,1.000000,audio_floor_soft
25,1.000000,-0.108225,0.368740,4.964373,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,607.984,469.084,,607.984,469.084,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.066679,3.924985,607.984,469.084,600.458,429.067,0.063279,0.063279,5.027652,3.589214,3.475585,3.589214,1.102666,0.962568,0.000000,
26,1.041667,-0.211367,0.216800,4.740962,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,574.525,427.158,,574.525,427.158,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.052634,3.940128,574.525,427.158,567.586,397.854,-0.025115,-0.025115,4.715847,3.595236,3.496593,3.595236,0.775719,0.697506,0.000000,
27,1.083333,-0.310027,0.106616,4.489008,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,538.573,394.880,,538.573,394.880,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,0.016482,3.953395,538.573,394.880,532.071,366.239,-0.052631,-0.052631,4.436377,3.601258,3.519940,3.601258,0.482983,0.423492,0.000000,
28,1.125000,-0.331412,0.020478,4.244804,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.339,367.085,,525.339,367.085,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.038367,3.954866,525.339,367.085,497.580,341.814,0.008443,0.008443,4.253247,3.607280,3.560688,3.607280,0.298381,0.178604,0.000000,
29,1.166667,-0.345859,-0.044064,4.030141,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.967,343.943,,513.967,343.943,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.101220,3.960560,513.967,343.943,479.185,323.921,0.051400,0.051400,4.081541,3.613302,3.636051,3.613302,0.120981,0.010635,0.000000,
30,1.208333,-0.360563,-0.085424,3.856556,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,502.695,327.470,,502.695,327.470,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.162405,3.966894,502.695,327.470,466.142,305.630,0.047749,0.047749,3.904305,3.619324,3.699951,3.619324,-0.062589,0.070640,0.000000,
31,1.250000,-0.368351,-0.116359,3.728020,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,494.893,314.162,,494.893,314.162,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.217024,3.997981,494.893,314.162,458.929,290.315,0.029273,0.029273,3.757293,3.625346,3.712012,3.625346,-0.240688,0.212411,0.000000,
32,1.291667,-0.370988,-0.135671,3.643869,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,490.479,305.320,,490.479,305.320,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.261768,4.013071,490.479,305.320,456.023,278.988,-0.026562,-0.026562,3.617307,3.631368,3.791275,3.631368,-0.395763,0.311613,0.000000,
33,1.333333,-0.369295,-0.167625,3.601366,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,489.405,291.644,,489.405,291.644,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.285540,4.046260,489.405,291.644,447.000,291.644,0.037848,0.037848,3.639214,3.637389,3.791275,3.637389,-0.407046,0.376169,0.000000,
34,1.375000,-0.363000,-0.170067,3.597776,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,491.824,290.579,,491.824,290.579,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.294292,4.077885,491.824,290.579,452.441,289.174,0.013284,0.013284,3.611060,3.643411,3.791275,3.643411,-0.466826,0.405399,0.000000,
35,1.416667,-0.346794,-0.163571,3.630854,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,499.729,293.839,,499.729,293.839,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.278320,4.110874,499.729,293.839,463.881,292.220,0.026301,0.026301,3.657155,3.649433,3.712012,3.649433,-0.453719,0.394526,0.000000,
36,1.458333,-0.324179,-0.145372,3.699290,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,511.302,302.288,,511.302,302.288,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.232818,4.141050,511.302,302.288,483.905,268.086,-0.093346,-0.093346,3.605944,3.655455,3.688747,3.655455,-0.535106,0.340213,0.000000,
37,1.500000,-0.300001,-0.119471,3.802097,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,524.121,313.853,,524.121,313.853,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.191821,4.176919,524.121,313.853,530.753,273.875,-0.039635,-0.039635,3.762462,3.661477,3.632247,3.661477,-0.414457,0.262240,0.000000,
38,1.541667,-0.260893,-0.063454,3.937642,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,542.696,336.334,,542.696,336.334,,,626.774,floor,generic_floor_candidates_from_read_only_human_sites,0.000000,0.000000,0,0,0,0,0,0,hand,left,left_hand,left_hand,-0.121478,4.188097,542.696,336.334,501.298,339.736,5.648995,0.000000,3.937642,3.667499,3.606312,3.667499,-0.250455,0.142014,0.000000,
