frame,part,kind,dist_before_m,dist_after_m,radius_m,pose_delta_deg
165,right_hand,penetration,0.0454,0.1005,0.1000,3.19
166,right_hand,penetration,0.0372,0.1006,0.1000,3.52
167,right_hand,penetration,0.0400,0.1006,0.1000,3.60
168,right_hand,penetration,0.0470,0.1006,0.1000,3.42
169,right_hand,penetration,0.0588,0.1006,0.1000,2.99
170,right_hand,penetration,0.0707,0.1006,0.1000,2.46
171,right_hand,penetration,0.0830,0.1009,0.1000,1.60
172,right_hand,penetration,0.0982,0.1092,0.1000,0.97
174,right_hand,penetration,0.0999,0.1075,0.1000,0.38
175,right_hand,penetration,0.0992,0.1044,0.1000,0.25
176,right_hand,penetration,0.0998,0.1038,0.1000,0.20
178,right_hand,penetration,0.0997,0.1027,0.1000,0.16
179,right_hand,penetration,0.0983,0.1023,0.1000,0.18
180,right_hand,penetration,0.0954,0.1021,0.1000,0.27
181,right_hand,penetration,0.0955,0.1014,0.1000,0.24
182,right_hand,penetration,0.0961,0.1012,0.1000,0.21
183,right_hand,penetration,0.0965,0.1022,0.1000,0.23
184,right_hand,penetration,0.0945,0.1019,0.1000,0.29
185,right_hand,penetration,0.0913,0.1011,0.1000,0.40
186,right_hand,penetration,0.0874,0.1009,0.1000,0.55
187,right_hand,penetration,0.0852,0.1010,0.1000,0.64
188,right_hand,penetration,0.0835,0.1009,0.1000,0.70
189,right_hand,penetration,0.0835,0.1010,0.1000,0.70
190,right_hand,penetration,0.0815,0.1009,0.1000,0.77
191,right_hand,penetration,0.0835,0.1009,0.1000,0.69
192,right_hand,penetration,0.0867,0.1010,0.1000,0.57
