frame,time,m17_phase_rad,m17_phase_deg,m14_phase_rad,m14_phase_deg,is_error_frame,phase_correction_rad,phase_correction_deg,vlm_visibility,handle_z_sin_m14,handle_z_sin_m17,mug_yaw_deg,m43_phase_rad,m43_phase_deg,m43_source
54,2.208333,2.773627841,158.917169,-2.742273,-157.1207,0,-0.115588,-6.6227,visible,-0.061213,0.054311,-19.3699,2.773627841,158.917169,smooth_entry_physical_phase_no_hide
55,2.250000,2.792526803,160.000000,-2.681372,-153.6313,0,-0.080922,-4.6365,visible,-0.116215,-0.035548,-19.6950,2.792526803,160.000000,smooth_entry_physical_phase_no_hide
56,2.291667,2.814679059,161.269231,-2.688868,-154.0608,0,-0.039088,-2.2396,visible,-0.113838,-0.074926,-19.4026,2.814679059,161.269231,smooth_entry_physical_phase_no_hide
57,2.333333,2.827433388,162.000000,-2.719714,-155.8281,0,-0.018887,-1.0821,visible,-0.083827,-0.064993,-19.3633,2.827433388,162.000000,smooth_entry_physical_phase_no_hide
58,2.375000,2.808040841,160.888889,-2.757071,-157.9685,0,-0.029145,-1.6699,visible,-0.049883,-0.020757,-19.1722,2.808040841,160.888889,smooth_entry_physical_phase_no_hide
59,2.416667,2.765377237,158.444444,-2.792650,-160.0071,0,-0.091563,-5.2462,visible,-0.026539,0.064975,-18.4722,2.765377237,158.444444,smooth_entry_physical_phase_no_hide
60,2.458333,2.722713633,156.000000,-2.825975,-161.9164,0,-0.216574,-12.4088,visible,0.006374,0.221106,-18.4488,2.722713633,156.000000,smooth_entry_physical_phase_no_hide
61,2.500000,2.687807048,154.000000,-3.475607,-199.1376,0,6.534759,374.4141,visible,0.094822,-0.155970,13.6965,2.687807048,154.000000,smooth_entry_physical_phase_no_hide
62,2.541667,2.652900463,152.000000,2.816976,161.4008,0,0.105116,6.0227,hidden,0.089580,-0.015415,13.4597,2.652900463,152.000000,smooth_entry_physical_phase_no_hide
63,2.583333,2.616833950,149.933541,2.828585,162.0660,0,0.028838,1.6523,visible,0.075265,0.046481,13.6176,2.616833950,149.933541,smooth_entry_physical_phase_no_hide
64,2.625000,2.580767437,147.867082,2.841264,162.7925,0,-0.001574,-0.0902,hidden,0.084657,0.086225,12.3512,2.580767437,147.867082,smooth_entry_physical_phase_no_hide
65,2.666667,2.548180708,146.000000,2.851509,163.3794,0,-0.016758,-0.9602,visible,0.149645,0.166193,8.0142,2.548180708,146.000000,smooth_entry_physical_phase_no_hide
66,2.708333,2.518855583,144.319794,2.851669,163.3886,0,-0.025480,-1.4599,hidden,0.235357,0.260042,2.9988,2.518855583,144.319794,smooth_entry_physical_phase_no_hide
67,2.750000,2.490326669,142.685208,2.834775,162.4207,0,-0.022983,-1.3168,hidden,0.360789,0.382127,-3.5693,2.490326669,142.685208,smooth_entry_physical_phase_no_hide
68,2.791667,2.462702929,141.102484,2.801485,160.5133,0,-0.007357,-0.4215,hidden,0.414575,0.421259,-5.0059,2.462702929,141.102484,smooth_entry_physical_phase_no_hide
69,2.833333,2.436093328,139.577866,2.755436,157.8749,0,0.019931,1.1420,hidden,0.479441,0.461856,-6.5238,2.436093328,139.577866,smooth_entry_physical_phase_no_hide
70,2.875000,2.410606829,138.117597,2.702196,154.8244,0,0.054180,3.1043,hidden,0.486108,0.438070,-3.9095,2.410606829,138.117597,smooth_entry_physical_phase_no_hide
71,2.916667,2.386352397,136.727921,2.649368,151.7976,0,0.087985,5.0411,hidden,0.476670,0.397580,-0.2657,2.386352397,136.727921,smooth_entry_physical_phase_no_hide
72,2.958333,2.363438995,135.415080,2.604862,149.2476,0,0.113465,6.5010,hidden,0.503868,0.402830,0.4961,2.363438995,135.415080,smooth_entry_physical_phase_no_hide
73,3.000000,2.341975588,134.185317,2.571940,147.3613,0,0.127360,7.2972,hidden,0.528578,0.416475,0.7292,2.341975588,134.185317,smooth_entry_physical_phase_no_hide
74,3.041667,2.322071139,133.044876,2.550776,146.1487,0,0.129498,7.4197,hidden,0.572428,0.461748,-1.0684,2.322071139,133.044876,smooth_entry_physical_phase_no_hide
