frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source,se3_schema,object_pixel_len,z_from_geometry_len_m,generic_geometry_pose_prior,geometry_pose_prior_source,u_contact_lock,v_contact_lock,contact_lock_pixel_len,contact_lock_angle_rad,blend_visible_weight,visible_len_px,contact_len_px,angle_gap_deg,center_gap_px,mean_palm_to_visible_line_px,left_local_s_source,right_local_s_source,left_local_s_used,right_local_s_used,blend_reason,depth_anchor_source,depth_anchor_z,depth_anchor_sides,depth_anchor_mean_dist_px,line_contact_se3_refined,line_contact_se3_cost,line_contact_se3_overlay_err_px,line_contact_se3_max_gap_m,line_contact_se3_anchor_count,line_contact_se3_local_s_adjustments,z_from_pixel_len_m,line_contact_pose_prior,line_contact_se3_reason
21,0.833333,0.405921,-0.272028,4.593522,0.637371,-0.283175,0.399282,0.595099,0.120000,gvhmr_incam,719.939,304.344,761.204,323.036,454.121,454.121,719.939,304.344,454.121,1.084680,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,761.204,323.036,538.695,1.442749802,1.000000,326.053321,275.166553,2.380569,21.492125,9.734000,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.158906,left+right,9.734000,1,7.961493,11.025717,0.358239,2.000000,left:0.6745->0.6463|right:0.3912->0.7412,8.377786,1,
22,0.875000,0.384358,-0.249138,4.594785,0.645839,-0.284120,0.409847,0.578095,0.120000,gvhmr_incam,720.938,305.652,750.912,324.996,448.504,448.504,720.938,305.652,448.504,1.084619,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,750.912,324.996,541.641,1.384062819,1.000000,308.930478,248.309219,0.915113,21.419468,9.831500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.149969,left+right,9.831500,1,7.756260,10.426338,0.358237,2.000000,left:0.6745->0.6461|right:0.3912->0.7412,8.842134,1,
23,0.916667,0.329775,-0.224765,4.594660,0.713478,-0.259947,0.422932,0.494474,0.120000,gvhmr_incam,720.613,307.651,737.324,326.147,440.672,440.672,720.613,307.651,440.672,1.085233,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,737.324,326.147,545.140,1.202865981,1.000000,293.537349,233.187057,2.212136,19.444766,11.415500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.145107,left+right,11.415500,1,7.859176,9.408675,0.364609,2.000000,left:0.6745->0.6480|right:0.3912->0.7412,9.305817,1,
24,0.958333,0.265301,-0.200225,4.591447,0.780977,-0.195164,0.433572,0.404971,0.120000,gvhmr_incam,715.420,312.139,720.449,326.135,430.373,430.373,715.420,312.139,430.373,1.085744,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,720.449,326.135,549.028,0.902704138,1.000000,304.539476,256.797865,5.487621,12.169503,8.778500,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.123951,left+right,8.778500,1,8.518248,8.564565,0.406143,2.000000,left:0.6745->0.6729|right:0.3912->0.7412,8.969625,1,
25,1.000000,0.198092,-0.175652,4.446179,0.851800,-0.126332,0.402499,0.310599,0.120000,gvhmr_incam,715.343,312.633,700.730,324.607,423.325,423.325,715.343,312.633,423.325,1.085918,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+line_contact_lock+line_contact_lock+generic_line_physical_smooth+isolated_se3_spike_interpolate+sequence_se3_optimizer+sequence_se3_optimizer,1,,,,,700.730,324.607,553.135,0.590072323,1.000000,378.024833,339.449044,5.037011,9.547069,4.222000,stable_pose_anchor,stable_pose_anchor,0.674535,0.391214,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.085942,left+right,4.222000,1,1.559303,0.718447,0.079869,2.000000,left:0.6745->0.6745|right:0.3912->0.3912,7.225993,1,
26,1.041667,0.128700,-0.151125,4.287202,0.961899,-0.054443,0.160875,0.214257,0.120000,gvhmr_incam,707.287,311.630,678.933,321.191,417.529,417.529,707.287,311.630,417.529,1.085711,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,478.034,5.714253,1,line_correspondence_schema,678.933,321.191,496.034,0.409225432,1.000000,478.033567,478.737202,3.099938,1.639613,3.571500,stable_pose_anchor,stable_pose_anchor,0.689379,0.413437,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.005878,left+right,3.571500,1,9.044764,11.089943,0.522631,2.000000,left:0.6894->0.7106|right:0.4134->0.5386,5.714253,1,
27,1.083333,0.057971,-0.127810,4.128500,0.981193,0.021931,-0.099235,0.164110,0.120000,gvhmr_incam,704.278,321.128,655.984,315.481,416.301,416.301,704.278,321.128,416.301,1.085754,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,570.771,4.785818,1,line_correspondence_schema,655.984,315.481,561.238,0.344067886,1.000000,570.770711,571.742492,3.341167,3.291559,4.907000,stable_pose_anchor,stable_pose_anchor,0.685400,0.390866,visible_line_primary_contact_depth_anchor,palm_3d_contact,3.970942,left+right,4.907000,1,0.130273,5.710414,0.022883,2.000000,left:0.6854->0.6364|right:0.3909->0.3273,4.785818,1,
28,1.125000,-0.013410,-0.128933,4.012835,0.970981,0.030700,-0.171766,0.163557,0.120000,gvhmr_incam,691.238,319.832,632.906,307.220,417.979,417.979,691.238,319.832,417.979,1.085987,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,637.160,4.287158,1,line_correspondence_schema,632.906,307.220,619.160,0.344054023,1.000000,637.159775,637.960135,2.873315,4.623258,5.466000,stable_pose_anchor,stable_pose_anchor,0.677630,0.375074,visible_line_primary_contact_depth_anchor,palm_3d_contact,3.966349,left+right,5.466000,1,0.082674,5.041167,0.019438,2.000000,left:0.6776->0.6391|right:0.3751->0.3322,4.287158,1,
29,1.166667,-0.085089,-0.183489,4.011803,0.981233,0.019775,-0.033726,0.188823,0.120000,gvhmr_incam,682.760,315.693,610.580,296.594,423.569,423.569,682.760,315.693,423.569,1.085890,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,658.103,4.150724,1,line_correspondence_schema,610.580,296.594,640.103,0.393623311,1.000000,658.103141,658.472771,1.909089,4.615808,4.947000,stable_pose_anchor,stable_pose_anchor,0.670822,0.359338,visible_line_primary_contact_depth_anchor,palm_3d_contact,3.979739,left+right,4.947000,1,0.162608,8.839671,0.020275,2.000000,left:0.6708->0.6401|right:0.3593->0.3375,4.150724,1,
30,1.208333,-0.156895,-0.239190,4.017636,0.961112,-0.031302,0.104844,0.253556,0.120000,gvhmr_incam,673.358,314.643,589.699,284.095,428.121,428.121,673.358,314.643,428.121,1.086195,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,623.364,4.382041,1,line_correspondence_schema,589.699,284.095,605.364,0.491284000,1.000000,623.363549,623.419719,0.765499,5.180547,5.204500,stable_pose_anchor,stable_pose_anchor,0.660157,0.345736,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.005877,left+right,5.204500,1,3.011012,1.079713,0.146245,2.000000,left:0.6602->0.6602|right:0.3457->0.3457,4.382041,1,
31,1.250000,-0.228710,-0.294890,4.048221,0.905916,-0.105293,0.238083,0.333986,0.120000,gvhmr_incam,660.138,317.250,570.803,270.259,426.691,426.691,660.138,317.250,426.691,1.086705,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,539.704,5.061299,1,line_correspondence_schema,570.803,270.259,551.087,0.654605566,1.000000,539.704275,539.747218,0.703152,4.748733,4.662000,stable_pose_anchor,stable_pose_anchor,0.645405,0.328439,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.045263,left+right,4.662000,1,3.784743,0.888005,0.133481,2.000000,left:0.6454->0.6454|right:0.3284->0.3284,5.061299,1,
32,1.291667,-0.300453,-0.349449,4.194974,0.829949,-0.175250,0.337498,0.408127,0.120000,gvhmr_incam,641.391,311.261,554.367,255.467,423.034,423.034,641.391,311.261,423.034,1.086079,,0,0,translation3_from_stage1_observation_backproject_uvz+generic_se3_pose_init+generic_geometry_pose_prior+line_contact_lock+line_contact_lock+generic_line_physical_smooth+sequence_se3_optimizer+sequence_se3_optimizer,1,424.798,6.430358,1,line_correspondence_schema,554.367,255.467,442.798,0.936570342,1.000000,424.798272,425.093045,2.127017,7.751303,7.264000,stable_pose_anchor,stable_pose_anchor,0.627793,0.310506,visible_line_primary_contact_depth_anchor,palm_3d_contact,4.102053,left+right,7.264000,1,3.889659,0.702216,0.134911,2.000000,left:0.6278->0.6278|right:0.3105->0.3105,6.430358,1,
