frame,measurement_depth_m,candidate_depth_m,depth_delta_m,contact_event_active,support_event_active,flight_active,contact_depth_gap_m,contact_surface_gap_m,audio_score,audio_anchor_type
144,2.409999,3.922269,1.512270,0,0,1,-0.101962,-0.009009,0.000000,visual_sustained_right_hand
145,2.469977,3.976970,1.506993,0,0,1,-0.023728,-0.052106,0.000000,visual_sustained_right_hand
146,2.654064,4.066939,1.412875,0,0,1,-0.050337,0.048085,0.000000,visual_sustained_left_hand
147,2.654064,4.072466,1.418402,0,0,1,-0.062154,0.044866,0.069929,visual_sustained_left_hand
148,2.655948,3.996095,1.340147,0,0,1,-0.104514,0.116721,0.000000,visual_sustained_right_hand
149,2.672581,3.955318,1.282737,0,0,1,-0.251090,0.164475,0.000000,visual_sustained_right_hand
150,2.672581,3.949957,1.277376,0,0,1,-0.234929,0.181019,0.000000,visual_sustained_right_hand
151,2.667801,3.965716,1.297915,0,0,1,-0.180738,0.183080,0.000000,visual_sustained_right_hand
152,2.661707,3.996045,1.334338,0,0,1,-0.011621,0.180154,0.000000,visual_sustained_right_hand
153,2.661707,4.036328,1.374621,0,0,1,-0.191032,0.181871,0.000000,visual_sustained_right_hand
154,2.667801,4.078401,1.410600,0,0,1,-0.160980,0.179116,0.000000,visual_sustained_right_hand
155,2.674335,4.116624,1.442289,0,0,1,-0.136779,0.176480,0.000000,visual_sustained_right_hand
156,2.674335,4.145847,1.471512,0,0,1,-0.117733,0.166430,0.000000,visual_sustained_right_hand
157,2.713438,4.165480,1.452042,0,0,1,-0.103242,0.153069,0.000000,visual_sustained_right_hand
158,2.747741,4.180256,1.432515,0,0,1,-0.092466,0.142077,0.000000,visual_sustained_right_hand
159,2.782142,4.205386,1.423244,0,0,1,-0.083782,0.134378,0.000000,visual_sustained_right_hand
160,2.784028,4.268519,1.484491,0,0,1,-0.037319,0.124341,0.000000,visual_sustained_right_hand
161,2.798691,4.408193,1.609502,1,0,0,0.056312,-0.000000,0.000000,
162,2.808580,4.283023,1.474443,1,0,0,-0.074225,-0.000000,0.000000,
163,2.810182,4.301100,1.490918,0,0,1,-0.071747,0.001599,0.000000,visual_sustained_left_hand
164,2.820519,4.311954,1.491435,0,0,1,-0.069379,0.001363,0.000000,visual_sustained_left_hand
165,2.872661,4.314803,1.442142,0,0,1,-0.051411,0.000384,0.000000,visual_sustained_left_hand
166,2.883207,4.312939,1.429732,0,0,1,-0.060136,-0.000517,0.000000,visual_sustained_left_hand
167,2.883207,4.310437,1.427230,0,0,1,-0.078206,0.001058,0.000000,visual_sustained_left_hand
168,2.885947,4.309040,1.423093,0,0,1,-0.084449,-0.001571,0.000000,visual_sustained_left_hand
169,2.892314,4.313501,1.421187,0,0,1,-0.086496,0.000750,0.000000,visual_sustained_left_hand
170,2.892314,4.323020,1.430706,0,0,1,-0.092302,0.000934,0.000000,visual_sustained_left_hand
171,2.893549,4.338654,1.445105,0,0,1,-0.082357,0.000312,0.000000,visual_sustained_left_hand
172,2.907484,4.363772,1.456288,0,0,1,-0.064397,-0.008010,0.000000,visual_sustained_left_hand
173,2.907484,4.401743,1.494259,0,0,1,-0.030056,-0.020986,0.000000,visual_sustained_right_hand
174,2.907484,4.425813,1.518329,0,0,1,-0.013831,-0.022362,0.000000,visual_sustained_right_hand
175,2.914976,4.438793,1.523817,0,0,1,-0.022677,-0.016678,0.000000,visual_sustained_right_hand
176,2.914976,4.445796,1.530820,0,0,1,-0.026731,-0.011171,0.000000,visual_sustained_right_hand
177,2.891732,4.448335,1.556603,0,0,1,-0.017516,-0.009218,0.000000,visual_sustained_right_hand
178,2.890572,4.449569,1.558997,0,0,1,-0.007865,-0.011143,0.000000,visual_sustained_right_hand
179,2.890572,4.449864,1.559292,0,0,1,-0.029595,-0.014257,0.000000,visual_sustained_right_hand
180,2.891732,4.448819,1.557087,0,0,1,-0.041782,-0.017286,0.000000,visual_sustained_right_hand
181,2.899993,4.440562,1.540569,0,0,1,-0.062223,-0.016342,0.000000,visual_sustained_right_hand
182,2.899993,4.419058,1.519065,0,0,1,-0.100372,0.031275,0.000000,visual_sustained_left_hand
183,2.902541,4.409217,1.506676,0,0,1,-0.108724,0.041750,0.000534,visual_sustained_left_hand
184,2.902541,4.409550,1.507009,0,0,1,-0.112981,0.041854,0.000000,visual_sustained_left_hand
185,2.902541,4.411964,1.509423,0,0,1,-0.108341,0.042347,0.000000,visual_sustained_left_hand
186,2.902541,4.413360,1.510819,0,0,1,-0.111343,0.041525,0.000000,visual_sustained_left_hand
187,2.900649,4.414011,1.513362,0,0,1,-0.105779,0.040648,0.000000,visual_sustained_left_hand
188,2.897460,4.415493,1.518033,0,0,1,-0.108075,0.039612,0.000000,visual_sustained_left_hand
189,2.886929,4.417660,1.530731,0,0,1,-0.088264,0.000659,0.000000,visual_sustained_left_hand
190,2.886929,4.419844,1.532915,0,0,1,-0.089588,0.000746,0.000000,visual_sustained_left_hand
191,2.886929,4.420829,1.533900,0,0,1,-0.086639,0.001806,0.000000,visual_sustained_left_hand
192,2.897460,4.419132,1.521672,0,0,1,-0.088037,0.000386,0.000000,visual_sustained_left_hand
193,2.886245,4.416304,1.530059,0,0,1,-0.073463,0.001154,0.000000,visual_sustained_left_hand
194,2.885347,4.412606,1.527259,0,0,1,-0.097921,0.032080,0.000000,visual_sustained_left_hand
195,2.883529,4.409475,1.525946,0,0,1,-0.082419,0.000638,0.000000,visual_sustained_left_hand
196,2.886713,4.406775,1.520062,0,0,1,-0.097520,0.003082,0.000000,visual_sustained_left_hand
197,2.886713,4.404127,1.517414,0,0,1,-0.084052,-0.000141,0.000000,visual_sustained_left_hand
198,2.886713,4.409897,1.523184,0,0,1,-0.055478,-0.007559,0.000000,visual_sustained_left_hand
199,2.886713,4.429700,1.542987,0,0,1,-0.013924,-0.017059,0.000000,visual_sustained_right_hand
200,2.886713,4.435661,1.548948,0,0,1,0.000318,-0.019001,0.000000,visual_sustained_right_hand
201,2.886713,4.432992,1.546279,0,0,1,-0.002156,-0.015557,0.000000,visual_sustained_right_hand
202,2.886713,4.427391,1.540678,0,0,1,0.002824,-0.010864,0.000000,visual_sustained_right_hand
203,2.872657,4.421630,1.548973,0,0,1,-0.001761,-0.009107,0.000000,visual_sustained_right_hand
204,2.863129,4.412987,1.549858,0,0,1,-0.013622,-0.003702,0.000000,visual_sustained_right_hand
205,2.841900,4.400934,1.559034,0,0,1,-0.006478,-0.000736,0.000000,visual_sustained_right_hand
206,2.818940,4.385941,1.567001,0,0,1,-0.035757,0.002376,0.000000,visual_sustained_right_hand
207,2.818940,4.367167,1.548227,0,0,1,-0.002718,0.005756,0.000000,visual_sustained_right_hand
208,2.818940,4.346171,1.527231,0,0,1,-0.019363,0.005074,0.000000,visual_sustained_right_hand
209,2.816530,4.323985,1.507455,0,0,1,-0.027392,0.005447,0.000000,visual_sustained_right_hand
210,2.818940,4.304819,1.485879,0,0,1,-0.041190,0.001071,0.000000,visual_sustained_right_hand
211,2.824902,4.290386,1.465484,0,0,1,-0.050437,0.000463,0.000000,visual_sustained_right_hand
212,2.828827,4.279597,1.450770,0,0,1,-0.069701,-0.000588,0.000000,visual_sustained_right_hand
213,2.828827,4.266102,1.437275,0,0,1,-0.061810,-0.000472,0.000000,visual_sustained_left_hand
214,2.824902,4.252082,1.427180,0,0,1,-0.068683,-0.000427,0.000000,visual_sustained_left_hand
215,2.816530,4.238484,1.421954,0,0,1,-0.049956,0.020820,0.000000,visual_sustained_left_hand
216,2.777855,4.225428,1.447573,0,0,1,-0.097859,0.029917,0.000000,visual_sustained_left_hand
217,2.776389,4.210760,1.434371,0,0,1,-0.079346,0.033392,0.000000,visual_sustained_left_hand
218,2.764488,4.192395,1.427907,0,0,1,-0.074844,0.032933,0.000000,visual_sustained_left_hand
219,2.753355,4.170903,1.417548,0,0,1,-0.072537,0.035420,0.000000,visual_sustained_left_hand
220,2.726327,4.147222,1.420895,0,0,1,-0.081673,0.037614,0.000000,visual_sustained_left_hand
221,2.702671,4.124721,1.422050,0,0,1,-0.078476,0.037580,0.000000,visual_sustained_left_hand
222,2.673961,4.103874,1.429913,0,0,1,-0.098613,0.036051,0.000000,visual_sustained_left_hand
223,2.661852,4.083573,1.421721,0,0,1,-0.096489,0.035978,0.000000,visual_sustained_left_hand
224,2.653005,4.065809,1.412804,0,0,1,-0.103998,0.033640,0.000000,visual_sustained_left_hand
225,2.647513,4.050974,1.403461,0,0,1,-0.094396,0.022711,0.000000,visual_sustained_left_hand
226,2.609715,4.043387,1.433672,0,0,1,-0.036513,-0.010694,0.000000,visual_sustained_right_hand
227,2.590610,4.022578,1.431968,0,0,1,-0.006015,-0.000363,0.000000,visual_sustained_right_hand
228,2.562964,4.003738,1.440774,0,0,1,-0.008638,0.008818,0.000000,visual_sustained_right_hand
229,2.544425,3.992016,1.447591,0,0,1,0.016070,0.018614,0.000000,visual_sustained_right_hand
230,2.542312,3.987907,1.445595,0,0,1,0.034128,0.022686,0.000000,visual_sustained_right_hand
231,2.519876,3.985753,1.465877,0,0,1,0.042584,0.023489,0.000000,visual_sustained_right_hand
232,2.450229,3.982040,1.531811,0,0,1,0.043441,0.022553,0.000000,visual_sustained_right_hand
233,2.436432,3.974214,1.537782,0,0,1,0.061961,0.020531,0.000000,visual_sustained_right_hand
234,2.436325,3.961922,1.525597,0,0,1,0.041146,0.016744,0.123588,visual_sustained_right_hand
235,2.423034,3.943784,1.520750,0,0,1,0.033335,0.008068,0.000000,visual_sustained_right_hand
236,2.410282,3.918665,1.508383,0,0,1,0.049610,0.003654,0.000000,visual_sustained_right_hand
237,2.410282,3.889773,1.479491,0,0,1,0.064648,-0.003590,0.000000,visual_sustained_right_hand
238,2.408976,3.861008,1.452032,0,0,1,0.030659,-0.011883,0.000000,visual_sustained_right_hand
239,2.410282,3.828124,1.417842,0,0,1,-0.007502,-0.020878,0.000000,visual_sustained_right_hand
240,2.423303,3.775383,1.352080,0,0,1,-0.042967,-0.008358,0.000000,visual_sustained_left_hand
