frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,depth_conf,source
95,3.133333,-0.673709,0.243681,6.780079,1.000000,0.000000,0.000000,0.000000,0.126417,shared_fullimg_cam,741.106,619.174,41.074,0.107092,L0_backproject
96,3.166667,-0.656677,0.242960,6.640829,1.000000,0.000000,0.000000,0.000000,0.127197,shared_fullimg_cam,742.166,620.595,42.194,0.115898,L0_backproject
97,3.200000,-0.660127,0.261258,6.650655,1.000000,0.000000,0.000000,0.000000,0.129154,shared_fullimg_cam,741.345,626.537,42.780,0.119243,L0_backproject
98,3.233333,-0.654147,0.262076,6.598586,1.000000,0.000000,0.000000,0.000000,0.125082,shared_fullimg_cam,741.616,627.493,41.758,0.121193,L0_backproject
99,3.266667,-0.649267,0.277005,6.579518,1.000000,0.000000,0.000000,0.000000,0.126208,shared_fullimg_cam,742.617,632.745,42.256,0.121191,L0_backproject
100,3.300000,-0.657541,0.319994,6.648410,1.000000,0.000000,0.000000,0.000000,0.122154,shared_fullimg_cam,742.128,646.028,40.475,0.128368,L0_backproject
101,3.333333,-0.659741,0.405086,6.711345,1.000000,0.000000,0.000000,0.000000,0.129264,shared_fullimg_cam,743.449,672.964,42.429,0.100028,L0_backproject
102,3.366667,-0.655541,0.490054,6.668499,1.000000,0.000000,0.000000,0.000000,0.130551,shared_fullimg_cam,743.445,701.887,43.127,0.120484,L0_backproject
103,3.400000,-0.646941,0.560263,6.551065,1.000000,0.000000,0.000000,0.000000,0.128059,shared_fullimg_cam,742.455,728.398,43.062,0.106748,L0_backproject
104,3.433333,-0.648623,0.563782,6.562812,1.000000,0.000000,0.000000,0.000000,0.128205,shared_fullimg_cam,742.280,729.242,43.034,0.111183,L0_backproject
105,3.466667,-0.664762,0.493601,6.684601,1.000000,0.000000,0.000000,0.000000,0.130178,shared_fullimg_cam,740.928,702.666,42.900,0.131783,L0_backproject
106,3.500000,-0.691348,0.424978,6.860531,1.000000,0.000000,0.000000,0.000000,0.137556,shared_fullimg_cam,738.009,676.460,44.169,0.130624,L0_backproject
107,3.533333,-0.703733,0.348935,6.903631,1.000000,0.000000,0.000000,0.000000,0.131660,shared_fullimg_cam,735.443,651.343,42.012,0.146288,L0_backproject
108,3.566667,-0.711313,0.298617,6.888510,1.000000,0.000000,0.000000,0.000000,0.131025,shared_fullimg_cam,732.526,635.496,41.901,0.134901,L0_backproject
109,3.600000,-0.718224,0.293403,6.934004,1.000000,0.000000,0.000000,0.000000,0.133621,shared_fullimg_cam,731.823,633.213,42.451,0.126574,L0_backproject
110,3.633333,-0.722094,0.261628,6.956127,1.000000,0.000000,0.000000,0.000000,0.139027,shared_fullimg_cam,731.323,622.854,44.028,0.134420,L0_backproject
111,3.666667,-0.695374,0.230961,6.746931,1.000000,0.000000,0.000000,0.000000,0.129796,shared_fullimg_cam,732.957,615.410,42.379,0.105656,L0_backproject
112,3.700000,-0.697686,0.215324,6.683472,1.000000,0.000000,0.000000,0.000000,0.126060,shared_fullimg_cam,730.039,610.972,41.550,0.122157,L0_backproject
113,3.733333,-0.700784,0.214969,6.693094,1.000000,0.000000,0.000000,0.000000,0.125145,shared_fullimg_cam,729.350,610.753,41.189,0.128122,L0_backproject
114,3.766667,-0.708726,0.222662,6.719308,1.000000,0.000000,0.000000,0.000000,0.128697,shared_fullimg_cam,727.646,612.999,42.193,0.110294,L0_backproject
115,3.800000,-0.716005,0.246295,6.769790,1.000000,0.000000,0.000000,0.000000,0.125657,shared_fullimg_cam,727.010,620.145,40.889,0.098455,L0_backproject
116,3.833333,-0.739264,0.266484,6.921318,1.000000,0.000000,0.000000,0.000000,0.128136,shared_fullimg_cam,724.708,624.816,40.783,0.089577,L0_backproject
117,3.866667,-0.735148,0.274426,6.854524,1.000000,0.000000,0.000000,0.000000,0.127320,shared_fullimg_cam,723.738,628.195,40.918,0.101585,L0_backproject
118,3.900000,-0.724851,0.308597,6.737007,1.000000,0.000000,0.000000,0.000000,0.127314,shared_fullimg_cam,722.984,640.907,41.630,0.086580,L0_backproject
119,3.933333,-0.722483,0.323640,6.697679,1.000000,0.000000,0.000000,0.000000,0.128310,shared_fullimg_cam,722.371,646.447,42.202,0.101776,L0_backproject
120,3.966667,-0.741302,0.391239,6.771719,1.000000,0.000000,0.000000,0.000000,0.123535,shared_fullimg_cam,718.847,667.274,40.187,0.094458,L0_backproject
121,4.000000,-0.739086,0.467116,6.671766,1.000000,0.000000,0.000000,0.000000,0.126805,shared_fullimg_cam,715.966,694.234,41.869,0.102888,L0_backproject
122,4.033333,-0.757907,0.567063,6.776460,1.000000,0.000000,0.000000,0.000000,0.129432,shared_fullimg_cam,713.618,724.342,42.076,0.099979,L0_backproject
123,4.066667,-0.770009,0.671370,6.693996,1.000000,0.000000,0.000000,0.000000,0.125784,shared_fullimg_cam,706.600,760.939,41.394,0.133565,L0_backproject
124,4.100000,-0.770077,0.666877,6.699691,1.000000,0.000000,0.000000,0.000000,0.128835,shared_fullimg_cam,706.793,759.274,42.362,0.121608,L0_backproject
125,4.133333,-0.757572,0.646354,6.556148,1.000000,0.000000,0.000000,0.000000,0.122736,shared_fullimg_cam,705.451,757.179,41.240,0.108603,L0_backproject
126,4.166667,-0.747824,0.536729,6.754357,1.000000,0.000000,0.000000,0.000000,0.129482,shared_fullimg_cam,716.100,715.052,42.230,0.078531,L0_backproject
