frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
55,2.250000,-0.006891,-0.033711,4.103337,0.287159,0.065963,4.067160,-0.184839,0.083729,3.653949,-0.156971,0.544824,4.014483,0.655236,0.585978
56,2.291667,-0.000262,-0.033552,4.105145,0.296940,0.067984,4.070964,-0.169414,0.052483,3.643638,-0.137221,0.585930,4.022449,0.677581,0.655057
57,2.333333,0.004198,-0.032689,4.107915,0.302110,0.069092,4.073952,-0.150920,0.033236,3.632273,-0.122922,0.603780,4.030414,0.684426,0.696291
58,2.375000,0.007388,-0.031830,4.106134,0.305953,0.070485,4.070058,-0.128851,0.038694,3.617347,-0.104474,0.607161,4.038380,0.676369,0.707826
59,2.416667,0.010005,-0.031480,4.100550,0.309391,0.070701,4.065353,-0.106168,0.067948,3.598698,-0.091724,0.583391,4.046346,0.651234,0.682846
60,2.458333,0.011350,-0.030554,4.093875,0.310184,0.070911,4.059358,-0.084034,0.120594,3.587485,-0.071412,0.517200,4.054311,0.587210,0.612685
61,2.500000,0.011809,-0.031103,4.087845,0.308609,0.068696,4.053333,-0.073509,0.185233,3.591340,-0.060634,0.393233,4.062276,0.491675,0.514985
62,2.541667,0.012598,-0.030942,4.091588,0.305880,0.066598,4.057418,-0.074076,0.233879,3.615089,-0.056770,0.226498,4.070242,0.396544,0.455542
63,2.583333,0.013647,-0.030952,4.093086,0.304761,0.066196,4.060883,-0.083963,0.252053,3.631439,-0.052846,0.120000,4.078207,0.362047,0.466913
64,2.625000,0.014033,-0.031511,4.099119,0.304785,0.066247,4.070047,-0.093839,0.250618,3.638863,-0.073999,0.204130,4.070280,0.403100,0.434368
65,2.666667,0.014363,-0.032112,4.096723,0.306963,0.068593,4.069999,-0.105729,0.227330,3.620132,-0.071478,0.333830,4.066031,0.462152,0.459719
66,2.708333,0.012853,-0.032499,4.085226,0.308327,0.071964,4.061406,-0.119409,0.181928,3.587390,-0.080695,0.422085,4.061783,0.523377,0.533126
67,2.750000,0.011932,-0.033109,4.075926,0.310613,0.075468,4.052771,-0.133066,0.131110,3.567034,-0.099823,0.492452,4.057535,0.585112,0.610135
68,2.791667,0.010874,-0.032849,4.064396,0.312439,0.079717,4.040484,-0.146608,0.086962,3.556145,-0.111605,0.544357,4.053287,0.629180,0.676451
69,2.833333,0.009168,-0.032700,4.059364,0.312342,0.082636,4.032845,-0.153884,0.056785,3.556026,-0.119993,0.574871,4.049038,0.655341,0.715977
