frame,time,source,initializer_heading_rad,tx,ty,tz,qw,qx,qy,qz,generic_solve_attempt_id
63,2.583333,generic_sequence_executor,-0.9199138709406576,-0.612386504,0.816933783,4.360872268,0.707652598,0.475979028,0.452043973,-0.261396274,generic-solve-93755e7aab23
64,2.625,generic_sequence_executor,-0.885200139961765,-0.612744527,0.815598667,4.359812405,0.712628783,0.469514602,0.453618568,-0.256800411,generic-solve-93755e7aab23
65,2.666667,generic_sequence_executor,-0.8504864089828721,-0.613662983,0.814460648,4.356476608,0.717494684,0.462962102,0.455284247,-0.252158135,generic-solve-93755e7aab23
66,2.708333,generic_sequence_executor,-0.8504864089828721,-0.615209227,0.813465993,4.351913716,0.721707718,0.456510949,0.457503188,-0.247843813,generic-solve-93755e7aab23
67,2.75,generic_sequence_executor,-0.8504864089828721,-0.616206441,0.812468038,4.348818810,0.724729675,0.450617493,0.460406838,-0.244410140,generic-solve-93755e7aab23
68,2.791667,generic_sequence_executor,-0.8504864089828721,-0.617209545,0.811563531,4.347859497,0.726309585,0.445663859,0.463840288,-0.242302083,generic-solve-93755e7aab23
69,2.833333,generic_sequence_executor,-0.8504864089828721,-0.618409039,0.810973249,4.347263088,0.726467625,0.441714826,0.467702671,-0.241634049,generic-solve-93755e7aab23
70,2.875,generic_sequence_executor,-0.8504864089828721,-0.617671688,0.810709251,4.346107903,0.725278223,0.438691961,0.472030061,-0.242298337,generic-solve-93755e7aab23
71,2.916667,generic_sequence_executor,-0.8504864089828721,-0.614198410,0.810631396,4.345972538,0.722775631,0.436729300,0.476660750,-0.244248715,generic-solve-93755e7aab23
72,2.958333,generic_sequence_executor,-0.8504864089828721,-0.608490152,0.810857636,4.346489547,0.719045964,0.436232067,0.481064907,-0.247489476,generic-solve-93755e7aab23
73,3.0,generic_sequence_executor,-0.8504864089828721,-0.599996076,0.811650207,4.345118896,0.714370625,0.437660839,0.484460935,-0.251843609,generic-solve-93755e7aab23
74,3.041667,generic_sequence_executor,-0.885200139961765,-0.588120342,0.812822980,4.343115345,0.709388169,0.441244417,0.485944689,-0.256767501,generic-solve-93755e7aab23
75,3.083333,generic_sequence_executor,-0.9199138709406576,-0.573765197,0.813950806,4.343230984,0.705302892,0.446510333,0.484752605,-0.261134571,generic-solve-93755e7aab23
76,3.125,generic_sequence_executor,-0.9199138709406576,-0.559495430,0.814737342,4.345233337,0.703795100,0.452127807,0.480532108,-0.263328303,generic-solve-93755e7aab23
77,3.166667,generic_sequence_executor,-0.9199138709406576,-0.548895846,0.815169633,4.345930277,0.706347265,0.456531525,0.473344935,-0.261910442,generic-solve-93755e7aab23
78,3.208333,generic_sequence_executor,-0.9199138709406576,-0.544098115,0.815652999,4.341010140,0.713135657,0.459112916,0.463491629,-0.256570409,generic-solve-93755e7aab23
79,3.25,generic_sequence_executor,-0.885200139961765,-0.541669686,0.816087780,4.333609610,0.722383244,0.461045144,0.451406686,-0.248660064,generic-solve-93755e7aab23
80,3.291667,generic_sequence_executor,-0.885200139961765,-0.535765070,0.815963811,4.331832065,0.731454915,0.464232222,0.437823727,-0.240359181,generic-solve-93755e7aab23
81,3.333333,generic_sequence_executor,-0.885200139961765,-0.525832831,0.815667475,4.335011440,0.738629099,0.469428364,0.423881602,-0.233213320,generic-solve-93755e7aab23
82,3.375,generic_sequence_executor,-0.8504864089828721,-0.514705787,0.815922498,4.336336242,0.743468286,0.476054269,0.410817163,-0.227720219,generic-solve-93755e7aab23
83,3.416667,generic_sequence_executor,-0.8504864089828721,-0.503343344,0.816926738,4.331884774,0.746256991,0.483186542,0.399469307,-0.223730959,generic-solve-93755e7aab23
84,3.458333,generic_sequence_executor,-0.8504864089828721,-0.491556829,0.818138179,4.325900310,0.747606441,0.490143211,0.389973657,-0.220827510,generic-solve-93755e7aab23
85,3.5,generic_sequence_executor,-0.8504864089828721,-0.482504162,0.822451005,4.329044146,0.748421371,0.496222600,0.382000044,-0.218413710,generic-solve-93755e7aab23
86,3.541667,generic_sequence_executor,-0.8157726780039791,-0.480857944,0.833710578,4.341800737,0.749820173,0.500372096,0.375335453,-0.215686745,generic-solve-93755e7aab23
87,3.583333,generic_sequence_executor,-0.8157726780039791,-0.481702606,0.840671460,4.353420214,0.752548626,0.501811717,0.370010471,-0.212009003,generic-solve-93755e7aab23
88,3.625,generic_sequence_executor,-0.8504864089828721,-0.478377889,0.831167977,4.361293414,0.757005809,0.500135630,0.365880609,-0.207214710,generic-solve-93755e7aab23
89,3.666667,generic_sequence_executor,-0.885200139961765,-0.478000937,0.817786517,4.358977778,0.763655418,0.494666848,0.362697116,-0.201459459,generic-solve-93755e7aab23
90,3.708333,generic_sequence_executor,-0.885200139961765,-0.486266877,0.814495258,4.334255263,0.771104933,0.486781502,0.360598219,-0.195984375,generic-solve-93755e7aab23
91,3.75,generic_sequence_executor,-0.885200139961765,-0.495185871,0.815271446,4.318493897,0.774744238,0.482206753,0.360065747,-0.193908924,generic-solve-93755e7aab23
92,3.791667,generic_sequence_executor,-0.9199138709406576,-0.498630747,0.813855483,4.339102128,0.771395535,0.484623756,0.362111393,-0.197393219,generic-solve-93755e7aab23
93,3.833333,generic_sequence_executor,-0.9199138709406576,-0.499752861,0.814415738,4.350841856,0.762812652,0.490501505,0.368026683,-0.205137741,generic-solve-93755e7aab23
94,3.875,generic_sequence_executor,-0.9546276019195501,-0.499967967,0.817907804,4.336739170,0.751277100,0.496652754,0.377574076,-0.215305778,generic-solve-93755e7aab23
95,3.916667,generic_sequence_executor,-0.9893413328984431,-0.495659521,0.819690942,4.338018530,0.737298809,0.503899257,0.388518017,-0.227001665,generic-solve-93755e7aab23
96,3.958333,generic_sequence_executor,-1.024055063877336,-0.487954019,0.820054573,4.351106124,0.723388695,0.511217726,0.398336342,-0.238103742,generic-solve-93755e7aab23
97,4.0,generic_sequence_executor,-0.9893413328984431,-0.482601773,0.821597072,4.347210278,0.713873723,0.515604285,0.405114856,-0.245801714,generic-solve-93755e7aab23
98,4.041667,generic_sequence_executor,-0.9893413328984431,-0.481703479,0.823358296,4.330448275,0.711182274,0.515964185,0.407699366,-0.248559770,generic-solve-93755e7aab23
99,4.083333,generic_sequence_executor,-0.9893413328984431,-0.484662934,0.824474601,4.310327150,0.715055228,0.513051135,0.406055336,-0.246157708,generic-solve-93755e7aab23
