frame,time,center_x,center_y,source
188,7.791667,709.872,427.939,cotracker_sam2_mask_points
189,7.833333,710.245,461.245,cotracker_sam2_mask_points
190,7.875000,709.707,509.329,cotracker_sam2_mask_points
191,7.916667,710.321,571.576,cotracker_sam2_mask_points
192,7.958333,706.604,637.464,cotracker_sam2_mask_points
193,8.000000,705.334,621.808,cotracker_sam2_mask_points
194,8.041667,707.304,563.973,cotracker_sam2_mask_points
195,8.083333,704.134,508.278,cotracker_sam2_mask_points
196,8.125000,703.463,463.506,cotracker_sam2_mask_points
197,8.166667,702.780,425.783,cotracker_sam2_mask_points
198,8.208333,703.073,395.202,cotracker_sam2_mask_points
199,8.250000,702.656,372.404,cotracker_sam2_mask_points
200,8.291667,717.450,340.231,cotracker_sam2_mask_points
201,8.333333,736.425,304.008,cotracker_sam2_mask_points
202,8.375000,753.390,272.443,cotracker_sam2_mask_points
203,8.416667,766.209,249.864,cotracker_sam2_mask_points
204,8.458333,777.238,235.745,cotracker_sam2_mask_points
205,8.500000,785.980,228.011,cotracker_sam2_mask_points
206,8.541667,794.942,226.225,cotracker_sam2_mask_points
207,8.583333,802.592,229.210,cotracker_sam2_mask_points
208,8.625000,804.692,233.923,cotracker_sam2_mask_points
209,8.666667,795.513,228.531,cotracker_sam2_mask_points
210,8.708333,785.258,227.773,cotracker_sam2_mask_points
211,8.750000,776.284,232.900,cotracker_sam2_mask_points
212,8.791667,767.529,244.396,cotracker_sam2_mask_points
213,8.833333,757.915,261.139,cotracker_sam2_mask_points
214,8.875000,748.960,284.710,cotracker_sam2_mask_points
215,8.916667,740.359,314.747,cotracker_sam2_mask_points
216,8.958333,732.559,351.547,cotracker_sam2_mask_points
217,9.000000,724.471,394.550,cotracker_sam2_mask_points
218,9.041667,715.515,445.740,cotracker_sam2_mask_points
219,9.083333,706.457,506.412,cotracker_sam2_mask_points
220,9.125000,698.222,561.024,cotracker_sam2_mask_points
221,9.166667,695.434,533.367,cotracker_sam2_mask_points
222,9.208333,696.726,499.066,cotracker_sam2_mask_points
223,9.250000,697.727,470.204,cotracker_sam2_mask_points
224,9.291667,697.839,449.808,cotracker_sam2_mask_points
225,9.333333,695.102,440.559,cotracker_sam2_mask_points
226,9.375000,691.212,441.632,cotracker_sam2_mask_points
227,9.416667,686.884,451.257,cotracker_sam2_mask_points
228,9.458333,683.247,468.711,cotracker_sam2_mask_points
229,9.500000,681.597,492.231,cotracker_sam2_mask_points
230,9.541667,679.732,447.376,cotracker_sam2_mask_points
231,9.583333,678.112,414.647,cotracker_sam2_mask_points
232,9.625000,676.323,390.950,cotracker_sam2_mask_points
233,9.666667,685.286,364.298,cotracker_sam2_mask_points
234,9.708333,710.906,328.167,cotracker_sam2_mask_points
235,9.750000,736.747,295.585,cotracker_sam2_mask_points
236,9.791667,758.423,272.794,cotracker_sam2_mask_points
237,9.833333,777.652,255.834,cotracker_sam2_mask_points
238,9.875000,795.254,248.583,cotracker_sam2_mask_points
239,9.916667,799.397,243.876,cotracker_sam2_mask_points
240,9.958333,789.420,234.705,cotracker_sam2_mask_points
