frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_source,contact_u,contact_v,contact_source,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
33,1.333333,531.500,474.500,527.560,478.106,ref,529.412,432.506,human_nearest_mesh_topk,530.000,521.777,519.000,47.277,43.671,bottom_percentile_95,2.252651,2.289339,0.036688,1.000000,0.000000,0.928892,0.977474,0.977474,0.911894,3.634000,3.150000,5.000000,8.000000,right_hand,0.928892,527.701,429.065,3.592409,boundary_005,2.223901,2.252651,0.977474,2.776571,0.342508,0.000000
34,1.375000,527.866,532.374,531.190,536.256,ref,533.174,488.483,human_nearest_mesh_topk,534.000,578.594,577.850,46.220,42.338,bottom_percentile_95,2.242725,2.268830,0.026105,1.000000,0.000000,0.448788,1.000000,1.000000,1.000000,0.000000,4.126000,5.000000,8.000000,right_hand,0.448788,531.055,455.952,3.618556,boundary_062,2.234603,2.242725,1.000000,0.743505,0.000000,0.343181
35,1.416667,532.221,595.727,532.817,586.312,ref,513.953,621.974,human_nearest_mesh_topk,540.000,626.356,631.000,30.629,40.044,bottom_percentile_95,2.270152,2.340372,0.070220,1.000000,0.000000,0.478145,0.538640,0.538640,0.000000,63.502509,6.077000,5.000000,8.000000,right_foot,0.478145,498.371,647.178,3.946107,boundary_025,2.292593,2.270152,0.538640,4.643990,0.986871,0.514772
36,1.458333,533.267,619.694,531.243,599.003,ref,506.351,641.281,human_nearest_mesh_topk,538.000,637.330,658.000,17.636,38.327,bottom_percentile_95,2.295433,2.364676,0.069242,1.000000,0.000000,0.810150,0.229573,0.229573,0.000000,87.486874,2.882000,5.000000,8.000000,right_foot,0.810150,498.389,647.047,3.941295,boundary_023,2.316118,2.295433,0.229573,20.669686,1.000000,0.686363
37,1.500000,526.743,573.378,527.100,571.402,ref,515.068,606.212,human_nearest_mesh_topk,538.000,609.952,610.850,36.574,38.550,bottom_percentile_95,2.241442,2.213506,-0.027936,1.000000,0.000000,0.341507,0.543633,0.543633,0.005864,41.004000,3.716000,5.000000,8.000000,right_foot,0.341507,498.931,646.779,3.945693,boundary_026,2.197268,2.241442,0.543633,0.898229,0.161149,0.514772
38,1.541667,522.439,531.462,523.272,533.506,ref,529.197,486.073,human_nearest_mesh_topk,535.000,574.058,576.850,42.596,40.552,bottom_percentile_95,2.237014,2.295678,0.058664,1.000000,0.000000,0.668167,1.000000,1.000000,1.000000,0.000000,4.200000,5.000000,8.000000,right_hand,0.668167,526.693,468.770,3.671550,boundary_000,2.233391,2.237014,1.000000,2.792486,0.000000,0.343181
39,1.583333,521.798,495.812,520.989,496.101,ref,519.552,448.919,human_nearest_mesh_topk,526.500,538.048,537.000,42.236,41.947,bottom_percentile_95,2.182564,2.183458,0.000894,1.000000,0.000000,0.918361,0.000000,0.100000,1.000000,0.000000,0.223000,5.000000,8.000000,right_hand,0.918361,518.114,446.595,3.640499,boundary_001,2.138015,2.182564,0.000000,1.048238,0.000000,0.000000
40,1.625000,517.592,468.415,517.336,468.264,ref,514.305,423.729,human_nearest_mesh_topk,520.000,510.724,511.000,42.309,42.460,bottom_percentile_95,2.209113,2.254017,0.044904,1.000000,0.198305,0.921653,0.355938,0.355938,1.000000,0.000000,0.903000,5.000000,8.000000,right_hand,0.921653,511.928,420.917,3.621206,boundary_002,2.230834,2.209113,0.355938,0.275705,0.000000,0.000000
41,1.666667,512.037,447.883,512.727,448.019,ref,513.834,401.888,human_nearest_mesh_topk,518.000,490.126,490.000,42.243,42.107,bottom_percentile_95,2.300989,2.436572,0.135583,1.000000,0.701803,0.844804,0.069417,0.100000,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.844804,508.152,395.885,3.614303,boundary_001,2.376160,2.300989,0.069417,0.126257,0.000000,0.000000
42,1.708333,510.336,434.589,510.118,434.378,ref,510.467,389.177,human_nearest_mesh_topk,517.000,476.170,476.000,41.581,41.793,bottom_percentile_95,2.387519,2.501014,0.113495,1.000000,0.955948,0.795980,0.000000,0.100000,0.958759,1.701000,0.483000,5.000000,8.000000,right_hand,0.795980,505.614,379.524,3.603596,boundary_002,2.458316,2.387519,0.000000,0.170410,0.000000,0.000000
43,1.750000,508.005,427.318,509.170,427.724,ref,509.285,380.573,human_nearest_mesh_topk,514.000,469.640,469.000,42.322,41.916,bottom_percentile_95,2.480786,2.613679,0.132893,1.000000,0.673004,0.752804,0.000000,0.100000,0.798425,8.314112,0.212000,5.000000,8.000000,right_hand,0.752804,503.434,369.600,3.605705,boundary_002,2.557096,2.480786,0.000000,0.639562,0.000000,0.000000
44,1.791667,509.638,424.541,510.607,426.010,ref,507.326,379.102,human_nearest_mesh_topk,514.000,467.729,468.000,43.188,41.719,bottom_percentile_95,2.525476,2.643286,0.117810,1.000000,0.524652,0.769379,0.000000,0.100000,0.749540,10.330416,1.777000,5.000000,8.000000,right_hand,0.769379,502.211,369.979,3.608222,boundary_001,2.562041,2.525476,0.000000,0.271000,0.000000,0.000000
45,1.833333,515.492,431.106,514.830,432.115,ref,505.532,389.240,human_nearest_mesh_topk,517.000,473.669,473.000,42.563,41.555,bottom_percentile_95,2.513274,2.577066,0.063792,1.000000,0.390039,0.805642,0.000000,0.100000,0.915555,3.483000,0.483000,5.000000,8.000000,right_hand,0.805642,502.820,381.436,3.600945,boundary_003,2.503290,2.513274,0.000000,0.669352,0.119077,0.000000
46,1.875000,521.052,450.454,521.120,450.553,ref,508.796,406.709,human_nearest_mesh_topk,523.000,491.180,490.850,40.726,40.626,bottom_percentile_95,2.333458,2.234290,-0.099169,1.000000,0.000000,0.881746,0.501168,0.501168,1.000000,0.000000,0.000000,5.000000,8.000000,right_hand,0.881746,505.223,402.290,3.601496,boundary_007,2.186337,2.333458,0.501168,0.329638,0.191596,0.000000
47,1.916667,527.895,485.366,527.868,485.753,ref,514.853,443.916,human_nearest_mesh_topk,526.000,525.581,523.850,40.215,39.828,bottom_percentile_95,2.202563,2.117675,-0.084889,1.000000,0.000000,0.709285,0.000000,0.100000,1.000000,0.000000,1.912000,5.000000,8.000000,right_hand,0.709285,509.695,432.363,3.610142,boundary_005,2.095468,2.202563,0.000000,1.731048,0.148102,0.000000
48,1.958333,536.808,534.688,537.650,539.929,ref,529.764,492.361,human_nearest_mesh_topk,531.000,579.524,575.000,44.836,39.594,bottom_percentile_95,2.178587,2.196575,0.017989,1.000000,0.000000,0.428577,0.399483,0.399483,1.000000,0.000000,0.084000,5.000000,8.000000,right_hand,0.428577,516.835,460.691,3.635264,boundary_005,2.158970,2.178587,0.399483,4.523714,0.000000,0.000000
49,2.000000,548.897,592.756,547.709,582.982,ref,520.274,620.366,human_nearest_mesh_topk,556.000,623.030,630.000,30.274,40.048,bottom_percentile_95,2.146826,2.151110,0.004284,1.000000,0.000000,0.406760,0.080102,0.100000,0.000000,52.549000,3.068000,5.000000,8.000000,right_foot,0.406760,494.942,647.717,3.970453,boundary_025,2.120840,2.146826,0.080102,6.969829,0.751965,0.469089
50,2.041667,555.445,624.880,556.144,598.516,ref,516.479,638.325,human_nearest_mesh_topk,559.000,638.964,667.000,14.084,40.448,bottom_percentile_95,2.253222,2.369534,0.116312,1.000000,0.000000,0.584193,0.000000,0.100000,0.000000,84.673000,1.808000,5.000000,8.000000,right_foot,0.584193,495.811,647.396,3.969517,boundary_015,2.340273,2.253222,0.000000,28.036200,1.000000,0.703634
