frame,time,E_total,E_2d,E_depth,E_visual,E_mask,E_contact,E_audio,E_support,E_smooth,E_temporal,E_static,E_penetration,E_prior,E_reg,vlm_contact_gate,vlm_anchor_gate,contact_active,static_active,failure_label,contact_state,visibility_state,source
39,1.583333,1.818418598,0.000000000,0.000000000,0.000000000,0.000000000,0.000566297,,0.000000000,0.007656001,0.007656001,,,1.810196300,1.810196300,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
40,1.625000,1.727430538,0.000000000,0.000000000,0.000000000,0.000000000,0.001799796,,0.000000000,0.004641775,0.004641775,,,1.720988967,1.720988967,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
41,1.666667,1.613917482,0.000000000,0.000000000,0.000000000,0.000000000,0.020419838,,0.000000000,0.002744769,0.002744769,,,1.590752875,1.590752875,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
42,1.708333,1.519978504,0.000000000,0.000000000,0.000000000,0.000000000,0.018074114,,0.000000000,0.001093416,0.001093416,,,1.500810974,1.500810974,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
43,1.750000,1.515093611,0.000000000,0.000000000,0.000000000,0.000000000,0.023911983,,0.000000000,0.000361875,0.000361875,,,1.490819753,1.490819753,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
44,1.791667,1.566055091,0.000000000,0.000000000,0.000000000,0.000000000,0.019598880,,0.000000000,0.000068273,0.000068273,,,1.546387938,1.546387938,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
45,1.833333,1.641657112,0.000000000,0.000000000,0.000000000,0.000000000,0.009260790,,0.000000000,0.000479095,0.000479095,,,1.631917227,1.631917227,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
46,1.875000,1.773362760,0.000000000,0.000000000,0.000000000,0.000000000,0.004143883,,0.000000000,0.002499776,0.002499776,,,1.766719101,1.766719101,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
47,1.916667,1.876170757,0.000000000,0.000000000,0.000000000,0.000000000,0.003125816,,0.000000000,0.007801917,0.007801917,,,1.865243024,1.865243024,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
48,1.958333,2.040027792,0.000000000,0.000000000,0.000000000,0.000000000,0.000607130,,0.000000000,0.015505230,0.015505230,,,2.023915432,2.023915432,,,0,,,0,,non_invasive_loss_audit_from_generic_outputs
