frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,u_proj,v_proj,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,support_v_obs,depth_prior_m,contact_depth_offset_m,contact_frame,audio_contact_frame,source
37,1.500000,-0.172428,0.324857,2.235876,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,526.743,573.378,605.801,605.801,526.743,573.378,605.801,2.235876,,0,0,translation3_from_stage1_observation_backproject_uvz
38,1.541667,-0.180655,0.263485,2.256797,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,522.439,531.462,569.000,569.000,522.439,531.462,569.000,2.256797,,0,0,translation3_from_stage1_observation_backproject_uvz
39,1.583333,-0.183538,0.210882,2.280371,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,521.798,495.812,535.883,535.883,521.798,495.812,535.883,2.280371,,0,0,translation3_from_stage1_observation_backproject_uvz
40,1.625000,-0.192948,0.170891,2.314917,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,517.592,468.415,507.335,507.335,517.592,468.415,507.335,2.314917,,0,0,translation3_from_stage1_observation_backproject_uvz
41,1.666667,-0.206273,0.141665,2.367355,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,512.037,447.883,512.037,447.883,486.397,486.397,512.037,447.883,486.397,2.367355,,0,0,translation3_from_stage1_observation_backproject_uvz
42,1.708333,-0.212407,0.122187,2.405771,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,510.336,434.589,510.336,434.589,471.772,471.772,510.336,434.589,471.772,2.405771,,0,0,translation3_from_stage1_observation_backproject_uvz
43,1.750000,-0.216841,0.110590,2.412622,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,508.005,427.318,508.005,427.318,463.645,463.645,508.005,427.318,463.645,2.412622,,0,0,translation3_from_stage1_observation_backproject_uvz
44,1.791667,-0.212410,0.105162,2.392925,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,509.638,424.541,509.638,424.541,460.859,460.859,509.638,424.541,460.859,2.392925,,0,0,translation3_from_stage1_observation_backproject_uvz
45,1.833333,-0.200247,0.114360,2.361966,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.492,431.106,515.492,431.106,468.636,468.636,515.492,431.106,468.636,2.361966,,0,0,translation3_from_stage1_observation_backproject_uvz
46,1.875000,-0.187415,0.142520,2.313940,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.052,450.454,521.052,450.454,488.988,488.988,521.052,450.454,488.988,2.313940,,0,0,translation3_from_stage1_observation_backproject_uvz
