frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame
43,1.750000,-0.337055,0.172005,3.966586,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.112,423.581,47.605,515.207,423.684,44.429,468.113,657.784,0.140282,0,0
44,1.791667,-0.337123,0.169034,3.968814,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,515.357,422.416,47.556,515.252,422.549,44.404,466.953,657.784,0.168975,0,0
45,1.833333,-0.330251,0.180029,3.971041,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.981,426.538,47.982,517.864,426.580,44.379,470.959,657.784,0.124462,0,0
46,1.875000,-0.315429,0.224201,3.973269,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,523.364,442.742,49.025,523.411,442.869,44.355,487.224,657.784,0.135754,0,0
47,1.916667,-0.303561,0.321013,3.975497,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.875,478.523,48.391,527.860,478.587,44.330,522.916,657.784,0.065469,0,0
48,1.958333,-0.272295,0.459279,3.977725,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,539.487,529.516,49.885,539.467,529.569,44.305,573.874,657.784,0.056828,0,0
49,2.000000,-0.243141,0.618067,3.979953,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,550.285,588.010,48.185,550.281,588.067,44.280,632.347,657.784,0.057240,0,0
50,2.041667,-0.224134,0.687661,3.982181,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,557.347,626.624,44.702,557.341,613.605,44.255,657.860,657.784,13.018795,1,1
51,2.083333,-0.213015,0.598920,3.986166,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.435,580.701,46.237,561.520,580.657,44.211,624.868,657.784,0.095537,0,0
52,2.125000,-0.200193,0.477241,3.994064,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,566.368,535.406,47.868,566.390,535.480,44.124,579.604,657.784,0.077179,0,0
53,2.166667,-0.189961,0.394606,4.001962,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,570.310,504.851,44.883,570.290,504.809,44.037,548.845,657.784,0.046686,0,0
54,2.208333,-0.177236,0.313884,4.009860,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,575.000,474.877,46.847,575.087,474.960,43.950,518.909,657.784,0.120368,0,0
55,2.250000,-0.162012,0.259586,4.017758,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,580.803,454.887,46.945,580.780,454.886,43.863,498.749,657.784,0.023098,0,0
56,2.291667,-0.147190,0.223226,4.025656,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,586.331,441.264,47.220,586.304,441.435,43.777,485.213,657.784,0.173433,0,0
