frame,time,ball_center_x,ball_center_y,radius,mask_area
181,7.500000,640.724,365.954,22.743,1625.0
182,7.541667,640.686,365.975,22.764,1628.0
183,7.583333,640.669,365.989,22.778,1630.0
184,7.625000,640.658,365.968,22.806,1634.0
185,7.666667,640.607,365.953,22.820,1636.0
186,7.708333,640.638,365.931,22.827,1637.0
187,7.750000,640.578,365.952,22.827,1637.0
188,7.791667,640.551,365.954,22.855,1641.0
189,7.833333,640.554,365.935,22.848,1640.0
190,7.875000,640.483,365.908,22.883,1645.0
191,7.916667,640.440,365.883,22.911,1649.0
192,7.958333,640.364,365.951,22.834,1638.0
193,8.000000,640.443,365.903,22.771,1629.0
194,8.041667,640.347,365.949,22.792,1632.0
195,8.083333,640.376,365.927,22.771,1629.0
196,8.125000,640.404,365.909,22.792,1632.0
197,8.166667,640.365,365.858,22.426,1580.0
198,8.208333,640.469,365.923,22.708,1620.0
199,8.250000,640.466,365.933,22.722,1622.0
200,8.291667,640.450,365.897,22.715,1621.0
201,8.333333,640.450,365.902,22.750,1626.0
202,8.375000,640.443,365.925,22.722,1622.0
203,8.416667,640.469,365.920,22.708,1620.0
204,8.458333,640.441,365.935,22.736,1624.0
205,8.500000,640.378,365.934,22.757,1627.0
206,8.541667,640.331,365.884,22.757,1627.0
207,8.583333,640.354,365.918,22.757,1627.0
208,8.625000,640.316,365.890,22.764,1628.0
209,8.666667,640.232,365.841,22.426,1580.0
210,8.708333,640.225,365.891,22.778,1630.0
211,8.750000,640.200,365.893,22.806,1634.0
212,8.791667,640.130,365.821,22.447,1583.0
213,8.833333,640.263,365.958,22.750,1626.0
214,8.875000,640.158,365.809,22.419,1579.0
215,8.916667,640.285,365.954,22.736,1624.0
216,8.958333,640.245,365.945,22.771,1629.0
217,9.000000,640.179,365.962,22.806,1634.0
218,9.041667,640.153,365.956,22.792,1632.0
219,9.083333,640.139,365.954,22.813,1635.0
220,9.125000,640.128,365.948,22.806,1634.0
221,9.166667,640.015,365.935,22.883,1645.0
222,9.208333,639.907,365.924,22.945,1654.0
223,9.250000,639.891,365.931,22.966,1657.0
224,9.291667,639.828,365.940,22.973,1658.0
225,9.333333,639.622,365.901,23.084,1674.0
226,9.375000,639.614,365.890,23.090,1675.0
227,9.416667,639.515,365.859,23.146,1683.0
228,9.458333,639.527,365.850,23.152,1684.0
229,9.500000,639.597,365.888,23.111,1678.0
230,9.541667,639.505,365.867,23.187,1689.0
231,9.583333,639.440,365.853,23.221,1694.0
232,9.625000,639.422,365.859,23.242,1697.0
233,9.666667,639.487,365.859,23.207,1692.0
234,9.708333,639.423,365.850,23.214,1693.0
235,9.750000,639.365,365.837,23.248,1698.0
236,9.791667,639.335,365.838,23.262,1700.0
237,9.833333,639.375,365.877,23.235,1696.0
238,9.875000,639.374,365.891,23.221,1694.0
239,9.916667,639.283,365.885,23.276,1702.0
240,9.958333,639.302,365.899,23.262,1700.0
