frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
105,4.333333,left,bottom,584.282,3.814,98.042344,98.042344,0.582403,0.174721,none,0,0
106,4.375000,left,bottom,585.358,4.213,106.563481,106.563481,0.436802,0.131041,none,0,0
107,4.416667,left,bottom,587.185,6.633,114.320007,114.320007,0.291202,0.087360,none,0,0
108,4.458333,left,left,547.534,7.334,119.039840,119.039840,0.000000,0.000000,none,0,0
109,4.500000,left,bottom,589.607,22.927,120.186787,120.186787,0.000000,0.000000,none,0,0
110,4.541667,left,bottom,589.557,38.827,116.355260,116.355260,0.423612,0.000000,none,0,0
111,4.583333,left,bottom,589.634,59.497,107.786457,107.786457,0.586630,0.000000,none,0,0
112,4.625000,right,bottom,590.835,83.793,93.037251,93.037251,0.295562,0.000001,none,0,0
113,4.666667,right,bottom,592.448,110.023,72.632913,72.632913,0.499123,0.149897,none,0,0
114,4.708333,right,bottom,592.797,140.805,43.877952,43.877952,1.000000,0.252791,proposal,1,1
115,4.750000,right,bottom,591.321,169.124,13.719913,13.719913,1.000000,0.710818,strong,1,1
116,4.791667,right,bottom,587.760,161.141,16.113793,16.113793,1.000000,0.597103,soft,1,1
117,4.833333,right,bottom,586.312,140.661,27.970926,27.970926,0.571714,0.335955,proposal,1,1
118,4.875000,right,bottom,585.483,118.028,42.355013,42.355013,0.600589,0.214695,none,1,1
119,4.916667,right,bottom,584.674,98.827,57.302318,57.302318,0.450442,0.138598,none,0,0
120,4.958333,left,bottom,584.534,83.029,70.171499,70.171499,0.450442,0.135408,none,0,0
121,5.000000,left,bottom,583.207,70.726,77.180930,77.180930,0.600589,0.180233,none,0,0
122,5.041667,left,bottom,582.720,62.165,84.315950,84.315950,0.450442,0.135142,none,0,0
123,5.083333,left,bottom,582.391,57.927,87.466345,87.466345,0.300295,0.090092,none,0,0
124,5.125000,left,left,551.596,41.799,101.639655,101.639655,0.000000,0.000000,none,0,0
125,5.166667,left,left,552.259,45.408,99.237563,99.237563,0.300295,0.090088,none,0,0
126,5.208333,left,left,554.308,51.039,95.088268,95.088268,0.450442,0.135133,none,0,0
127,5.250000,left,left,555.750,60.691,86.922106,86.922106,0.600589,0.180181,none,0,0
128,5.291667,left,right,607.498,82.068,80.075728,80.075728,0.450442,0.135160,none,0,0
