frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
128,4.233333,1.970824,3.698942,1.633360,0.479877,1494,0.648172,0.6616,0.0000,mask
129,4.266667,2.006191,3.756961,1.714923,0.316499,1429,0.670949,0.6792,0.0000,mask
130,4.300000,2.007370,3.760956,1.828867,0.089742,1519,0.670326,0.6787,0.0000,mask
131,4.333333,1.996775,3.745522,1.945775,-0.139753,2030,0.691072,0.7255,0.0000,mask
132,4.366667,2.007231,3.774605,2.026883,-0.293817,2022,0.671084,0.7245,0.0000,mask
133,4.400000,2.000313,3.771089,2.055612,-0.340778,2265,0.675752,0.7793,0.0000,mask
134,4.433333,2.019705,3.820328,2.049664,-0.319387,1990,0.625141,0.7848,0.0000,mask
135,4.466667,1.915619,3.612661,2.040559,-0.296272,1923,0.623186,0.8123,0.0000,mask
136,4.500000,1.837619,3.450974,2.046132,-0.309037,1967,0.589195,0.8264,0.0000,mask
137,4.533333,1.869254,3.505539,2.064802,-0.354100,2060,0.592686,0.7696,0.0000,mask
138,4.566667,1.858255,3.467598,2.090036,-0.416222,1540,0.593011,0.7707,0.0000,mask
139,4.600000,1.795936,3.367893,2.121833,-0.492429,1137,0.564288,0.8158,0.0864,mask
140,4.633333,1.903020,3.530840,2.163062,-0.585510,966,0.593528,0.7788,0.0000,mask
141,4.666667,1.888837,3.488219,2.211102,-0.688192,897,0.606894,0.7735,0.0000,mask
142,4.700000,1.866973,3.431485,2.257765,-0.783701,751,0.621178,0.7849,0.0000,mask
143,4.733333,1.844307,3.423090,2.295895,-0.858890,702,0.577011,0.7872,0.0893,mask
144,4.766667,1.850778,3.413746,2.323007,-0.910660,655,0.614438,0.7787,0.0468,mask
145,4.800000,1.818292,3.406916,2.339175,-0.940826,563,0.563350,0.7700,0.1754,mask
146,4.833333,1.820231,3.400160,2.343440,-0.948456,572,0.582285,0.7605,0.1502,mask
147,4.866667,1.835124,3.410372,2.332163,-0.926603,631,0.571081,0.7578,0.1061,mask
148,4.900000,1.844268,3.403307,2.300127,-0.864620,673,0.596866,0.7694,0.0479,mask
149,4.933333,1.842052,3.424826,2.244401,-0.755799,753,0.572903,0.7824,0.0867,mask
150,4.966667,1.845006,3.427106,2.169198,-0.607168,768,0.596874,0.7894,0.0611,mask
151,5.000000,1.969526,3.667801,2.087078,-0.442754,1017,0.560346,0.7412,0.0000,mask
152,5.033333,1.870554,3.472679,2.012338,-0.291509,1499,0.585391,0.7601,0.0000,mask
153,5.066667,1.868071,3.477438,1.949645,-0.164637,2024,0.581373,0.7669,0.0000,mask
154,5.100000,1.961827,3.661895,1.888991,-0.043979,2247,0.650734,0.7823,0.0000,mask
155,5.133333,2.021432,3.769998,1.814599,0.101909,2194,0.493961,0.6872,0.0000,mask
156,5.166667,1.997136,3.722780,1.720247,0.287213,2182,0.685251,0.6947,0.0000,mask
157,5.200000,2.039961,3.790454,1.615347,0.495209,2290,0.665333,0.6688,0.0000,mask
158,5.233333,2.012497,3.745725,1.518015,0.690725,2192,0.703412,0.7167,0.0000,mask
159,5.266667,1.923142,3.618920,1.446161,0.837748,1521,0.585845,0.6081,0.0000,mask
