frame,time,anchor_type,left_anchor_u,left_anchor_v,right_anchor_u,right_anchor_v,left_anchor_valid,right_anchor_valid,left_best_probe,right_best_probe,left_anchor_dist_px,right_anchor_dist_px,min_anchor_dist_px,min_anchor_boundary_gap_px,inter_anchor_dist_px,occlusion_penalty,object_contact_score,active_anchor_side,active_anchor_probe,anchor_score,floor_score,anchor_contact_state,floor_contact_state,transition_contact_state,multi_contact_state
63,2.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.15814826758535372,0.0,0,0,0,0
64,2.1,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.13325672917500808,0.0,0,0,0,0
65,2.133333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.020788496336311857,0.0,0,0,0,0
66,2.166667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.04814311677824971,0.0,0,0,0,0
67,2.2,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.060816871271498665,0.0,0,0,0,0
68,2.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.0277416298649919,0.0,0,0,0,0
69,2.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.0159958815924799,0.0,0,0,0,0
70,2.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.034127241261449885,0.0,0,0,0,0
71,2.333333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.07429776575336512,0.0,0,0,0,0
72,2.366667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1079844424680588,0.0,0,0,0,0
73,2.4,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.23388156446721695,0.0,0,0,0,0
74,2.433333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.13126244540193727,0.0,0,0,0,0
75,2.466667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.17768479999188036,0.0,0,0,0,0
76,2.5,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1799372977848147,0.0,0,0,0,0
77,2.533333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1799005249453322,0.0,0,0,0,0
78,2.566667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.34959701723252096,0.0,0,0,0,0
79,2.6,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.24320413080336167,0.0,0,0,0,0
80,2.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.17229265808003305,1e-323,0,0,0,0
81,2.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.206924910330185,1.4199954685666632e-259,0,0,0,0
82,2.7,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.35000032934062686,2.482347109801374e-193,0,0,0,0
83,2.733333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.28459944316008357,4.952450219009968e-193,0,0,0,0
84,2.766667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18369033011506394,6.159417443359541e-136,0,0,0,0
85,2.8,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20608355134418835,7.639454793356605e-83,0,0,0,0
86,2.833333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.6034655420735,1.3045093326057296e-45,0,0,0,0
87,2.866667,foot,,,,,,,,,,,,,,0.0,0.4140189715661453,left,center,0.7814164398023994,1.6837273959108923e-33,1,0,0,0
88,2.9,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.43039670097694643,3.4694963895110565e-47,0,0,0,0
89,2.933333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.3556358014378951,7.116794196438177e-47,0,0,0,0
90,2.966667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.15831533740393033,1.6185513951029613e-58,0,0,0,0
91,3.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.09859212756997987,2.235797573393137e-82,0,0,0,0
92,3.033333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.006696885709352585,5.535739886935784e-89,0,0,0,0
93,3.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.06358553631326799,2.0053856640659854e-98,0,0,0,0
94,3.1,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.033741313405139195,4.532109418505951e-99,0,0,0,0
95,3.133333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05624326709881991,2.1158246445674146e-105,0,0,0,0
96,3.166667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.0337896828503787,5.057930524552221e-101,0,0,0,0
97,3.2,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.047126750964740574,6.793339408547129e-98,0,0,0,0
98,3.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05037465288931857,9.974499652930913e-99,0,0,0,0
99,3.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.14678202429691783,5.170043707043035e-91,0,0,0,0
100,3.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.21924074908251734,1.0147092929073724e-77,0,0,0,0
101,3.333333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1781964033541842,1.1213624022985158e-54,0,0,0,0
102,3.366667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.2548304230897912,2.3033278160786917e-38,0,0,0,0
103,3.4,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.5893995023836831,2.999529547476486e-23,1,0,0,0
104,3.433333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.47930413971497005,4.5733543717826914e-23,0,0,0,0
105,3.466667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.18665723474691678,3.517541871750862e-38,0,0,0,0
106,3.5,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1063425823362054,1.5983038955188958e-54,0,0,0,0
107,3.533333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.07933921833930128,5.256786820965992e-75,0,0,0,0
108,3.566667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.11112883969566888,3.535170479894556e-90,0,0,0,0
109,3.6,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.08974231599233282,1.6088862211101694e-89,0,0,0,0
110,3.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.02042667284151942,7.770990971483864e-100,0,0,0,0
111,3.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.07073770685788437,2.0924769783156167e-114,0,0,0,0
112,3.7,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.015542418982259873,2.9106059079595353e-117,0,0,0,0
113,3.733333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.02140830379808207,4.730236935388174e-118,0,0,0,0
114,3.766667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.07435865909735098,1.6379918278589466e-114,0,0,0,0
115,3.8,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.08977571100111999,4.9066007200991364e-110,0,0,0,0
116,3.833333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.17149509905162827,9.377950988236797e-100,0,0,0,0
117,3.866667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.10850264382419943,7.996780965656331e-99,0,0,0,0
118,3.9,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2619205922703656,4.021638093240645e-82,0,0,0,0
119,3.933333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.12109241113447822,2.0655095006259748e-81,0,0,0,0
120,3.966667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20969695416220183,3.8889112362504313e-67,0,0,0,0
121,4.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19550854486580352,8.194884332737855e-46,0,0,0,0
122,4.033333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2284104371586466,2.722695379110634e-26,0,0,0,0
123,4.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.531341943564625,2.8708177971629365e-12,0,0,0,0
124,4.1,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.26053043021848077,5.146156425694492e-12,0,0,0,0
125,4.133333,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.4491917302565238,1.1927124832524202e-12,1,0,0,0
126,4.166667,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.1353066539363952,8.441053227743676e-27,0,0,0,0
127,4.2,foot,,,,,,,,,,,,,,0.0,0.0,right,center,0.20667916515631934,5.321328401629212e-44,0,0,0,0
128,4.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.20714015494689045,9.865852888445007e-44,0,0,0,0
129,4.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.03671888966416388,5.533585691804077e-66,0,0,0,0
130,4.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.06935882584355628,3.1207546434705195e-87,0,0,0,0
131,4.333333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.014522638262022313,6.983608040056925e-100,0,0,0,0
132,4.366667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.043291173094305455,2.4962653360014428e-110,0,0,0,0
133,4.4,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.03784235073293612,3.399239398605048e-117,0,0,0,0
134,4.433333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05576559675895017,2.1608866148398467e-116,0,0,0,0
135,4.466667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.0585632674609384,2.148563674040802e-117,0,0,0,0
136,4.5,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.10784648432783146,8.524096953301383e-113,0,0,0,0
137,4.533333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1510711569668148,6.687155871086239e-106,0,0,0,0
138,4.566667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2321407918403424,5.344356912059417e-94,0,0,0,0
139,4.6,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1114545634513998,5.344356912059417e-94,0,0,0,0
140,4.633333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.19772086679113426,1.777918031523588e-80,0,0,0,0
141,4.666667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.18330336885588383,1.0248613761163761e-62,0,0,0,0
142,4.7,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.33612425643666666,5.389365644126206e-44,0,0,0,0
143,4.733333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.2583548445091951,4.847825780414384e-44,0,0,0,0
144,4.766667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.3045240038641416,8.618621092731777e-27,0,0,0,0
145,4.8,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.5307922427475207,1.6235759350817107e-13,1,0,0,0
146,4.833333,foot,,,,,,,,,,,,,,0.0,0.9178464170155074,left,center,0.9036396864249957,1.7112827439284595e-09,1,0,0,0
147,4.866667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.29581495861538315,7.048441734929576e-19,0,0,0,0
148,4.9,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.36197205583234787,1.7180400182448856e-34,0,0,0,0
149,4.933333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.3206229362691505,9.256203124225125e-35,0,0,0,0
150,4.966667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.07884313609371704,2.2491368574046636e-53,0,0,0,0
151,5.0,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.054526620014309045,2.3102410033668014e-75,0,0,0,0
152,5.033333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.049705673119312656,4.550423786183795e-93,0,0,0,0
153,5.066667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.07676827390999676,2.514383032598377e-103,0,0,0,0
154,5.1,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05551414731824875,7.175043414071214e-106,0,0,0,0
155,5.133333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.017778508092568895,6.995131333826715e-113,0,0,0,0
156,5.166667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.05338544771631503,1.7916623181576214e-123,0,0,0,0
157,5.2,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.003794776522834421,2.964024517781812e-125,0,0,0,0
158,5.233333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.03261915965126728,2.964024517781812e-125,0,0,0,0
159,5.266667,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.09743073397103749,1.0363577951126948e-119,0,0,0,0
160,5.3,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1650055797110509,4.62981669855195e-106,0,0,0,0
161,5.333333,foot,,,,,,,,,,,,,,0.0,0.0,left,center,0.1773626801149632,1.0335312972501819e-91,0,0,0,0
