frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
32,1.291667,hammer,602.122,153.714,tracking,1,602.122,153.714,,1,607.010,129.735,1516.0,590.000,98.000,631.000,178.000,41.000,80.000,39.810,84.397,38.099,0.512500,0.367498,0,,,,,,,,,,,,0.000000,0.367498,0.367498,,,,,,,,,,,,
33,1.333333,hammer,606.113,170.586,tracking,1,606.113,170.586,,1,611.306,148.555,1582.5,594.000,113.000,634.000,200.000,40.000,87.000,43.238,88.460,33.328,0.459770,0.377764,0,,,,,,,,,,,,0.000000,0.377764,0.377764,,,,,,,,,,,,
34,1.375000,hammer,612.212,193.408,tracking,1,612.212,193.408,,1,616.753,177.681,1646.5,600.000,143.000,639.000,230.000,39.000,87.000,43.073,85.114,34.443,0.448276,0.429680,0,,,,,,,,,,,,0.000000,0.429680,0.429680,,,,,,,,,,,,
35,1.416667,hammer,617.639,227.012,tracking,1,617.639,227.012,,1,621.031,220.166,1948.5,588.000,185.000,644.000,264.000,56.000,79.000,39.623,72.353,42.905,0.708861,0.427811,0,,,,,,,,,,,,0.000000,0.427811,0.427811,,,,,,,,,,,,
36,1.458333,hammer,624.508,267.044,tracking,1,624.508,267.044,,1,624.709,266.724,1848.0,602.000,231.000,646.000,300.000,44.000,69.000,35.344,69.051,40.456,0.637681,0.528193,0,,,,,,,,,,,,0.000000,0.528193,0.528193,,,,,,,,,,,,
37,1.500000,hammer,628.511,298.511,tracking,1,628.511,298.511,,1,628.564,298.452,1456.0,601.000,266.000,648.000,334.000,47.000,68.000,34.329,57.983,44.480,0.691176,0.397629,0,,,,,,,,,,,,0.000000,0.397629,0.397629,,,,,,,,,,,,
38,1.541667,hammer,628.334,298.281,tracking,1,628.334,298.281,,1,628.397,298.263,1438.0,601.000,265.000,648.000,333.000,47.000,68.000,33.852,59.378,44.207,0.691176,0.417010,0,,,,,,,,,,,,0.000000,0.417010,0.417010,,,,,,,,,,,,
39,1.583333,hammer,628.865,296.311,tracking,1,628.865,296.311,,1,628.941,296.284,1690.5,601.000,260.000,648.000,334.000,47.000,74.000,36.791,66.440,44.642,0.635135,0.413163,0,,,,,,,,,,,,0.000000,0.413163,0.413163,,,,,,,,,,,,
40,1.625000,hammer,628.880,284.053,tracking,1,628.880,284.053,,1,628.914,283.983,1501.0,602.000,251.000,648.000,315.000,46.000,64.000,32.990,58.115,43.347,0.718750,0.437317,0,,,,,,,,,,,,0.000000,0.437317,0.437317,,,,,,,,,,,,
41,1.666667,hammer,627.183,265.386,tracking,1,627.183,265.386,,1,627.173,265.314,1301.0,603.000,236.000,647.000,293.000,44.000,57.000,30.233,57.113,42.291,0.771930,0.437373,0,,,,,,,,,,,,0.000000,0.437373,0.437373,,,,,,,,,,,,
42,1.708333,hammer,625.430,242.076,tracking,1,625.430,242.076,,1,625.443,241.978,1468.0,602.000,210.000,647.000,271.000,45.000,61.000,31.478,60.081,41.748,0.737705,0.431974,0,,,,,,,,,,,,0.000000,0.431974,0.431974,,,,,,,,,,,,
43,1.750000,hammer,625.637,215.486,tracking,1,625.637,215.486,,1,625.605,215.467,1360.0,603.000,186.000,648.000,249.000,45.000,63.000,31.894,57.468,37.565,0.714286,0.476015,0,,,,,,,,,,,,0.000000,0.476015,0.476015,,,,,,,,,,,,
44,1.791667,hammer,615.967,192.671,tracking,1,615.967,192.671,,1,622.556,179.976,1784.5,599.000,147.000,646.000,223.000,47.000,76.000,38.243,74.598,38.147,0.618421,0.524597,0,,,,,,,,,,,,0.000000,0.524597,0.524597,,,,,,,,,,,,
45,1.833333,hammer,613.872,160.352,tracking,1,613.872,160.352,,1,620.398,144.252,1879.0,600.000,109.000,645.000,195.000,45.000,86.000,42.574,83.282,38.763,0.523256,0.461615,0,,,,,,,,,,,,0.000000,0.461615,0.461615,,,,,,,,,,,,
