frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,depth_outlier_corrected
48,1.958333,-0.084237,-0.695168,3.611082,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,605.741,77.280,41.958,605.741,77.279,40.669,117.949,331.589,0.000543,0,0,0
49,2.000000,-0.089045,-0.751271,3.609858,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.774,54.358,39.226,603.774,54.359,40.683,95.042,331.589,0.001037,0,0,0
50,2.041667,-0.102091,-0.750612,3.608635,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,598.452,54.524,33.061,598.452,54.524,40.697,95.221,331.589,0.000358,0,0,0
51,2.083333,-0.111044,-0.746767,3.607412,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.793,55.986,23.072,594.793,55.986,40.711,96.696,331.589,0.000401,0,0,0
52,2.125000,-0.112718,-0.758004,3.606189,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.096,51.306,17.263,594.096,51.306,40.725,92.031,331.589,0.000251,0,0,0
53,2.166667,-0.114538,-0.763162,3.604965,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.339,49.100,17.357,593.339,49.100,40.738,89.838,331.589,0.000039,0,0,0
54,2.208333,-0.115248,-0.765095,3.603742,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.034,48.207,17.213,593.034,48.207,40.752,88.959,331.589,0.000186,0,0,0
55,2.250000,-0.113698,-0.770665,3.602519,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,593.650,45.830,16.386,593.650,45.830,40.766,86.596,331.589,0.000231,0,0,0
56,2.291667,-0.112308,-0.768112,3.601296,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.201,46.765,16.311,594.201,46.765,40.780,87.545,331.589,0.000220,0,0,0
57,2.333333,-0.110107,-0.768994,3.600072,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,595.083,46.298,16.696,595.083,46.298,40.794,87.092,331.589,0.000407,0,0,0
58,2.375000,-0.108593,-0.762624,3.598849,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,595.686,48.792,16.378,595.686,48.791,40.808,89.599,331.589,0.000724,0,0,0
59,2.416667,-0.111737,-0.779758,3.597626,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,594.387,41.691,25.402,594.387,41.691,40.821,82.512,331.589,0.000110,0,0,0
60,2.458333,-0.108930,-0.778725,3.596403,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,595.518,42.004,33.493,595.518,42.005,40.835,82.840,331.589,0.000697,0,0,0
61,2.500000,-0.100075,-0.713961,3.595180,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,599.120,68.352,39.953,599.120,68.352,40.849,109.201,331.589,0.000119,0,0,0
62,2.541667,-0.089836,-0.610880,3.593956,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.290,110.375,38.626,603.290,110.375,40.863,151.238,331.589,0.000075,0,0,0
63,2.583333,-0.071213,-0.498346,3.592733,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,610.890,156.292,39.929,610.890,156.291,40.877,197.168,331.589,0.001173,0,0,0
64,2.625000,-0.041922,-0.399213,3.591510,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,622.858,196.755,45.277,622.858,196.758,40.891,237.649,331.589,0.002844,0,0,0
65,2.666667,-0.028447,-0.219982,3.590287,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.364,270.019,40.206,628.364,270.017,40.905,310.921,331.589,0.002490,0,0,0
66,2.708333,-0.028204,-0.156438,3.589063,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.459,295.987,37.128,628.459,295.987,40.919,336.906,331.589,0.000321,0,0,0
67,2.750000,-0.026236,-0.150019,3.587840,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.261,298.593,36.138,629.261,298.593,40.933,339.526,331.589,0.000157,0,0,0
68,2.791667,-0.026044,-0.169276,3.586617,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,629.336,297.984,35.810,629.336,290.687,40.947,331.634,331.589,7.296950,1,0,0
69,2.833333,-0.027712,-0.167043,3.653296,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,628.860,292.850,36.300,628.860,292.849,40.199,333.049,331.589,0.000502,0,0,0
70,2.875000,-0.031944,-0.181837,3.651067,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,627.151,286.858,33.082,627.151,286.858,40.224,327.082,331.589,0.000026,0,0,0
71,2.916667,-0.036746,-0.201831,3.648839,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,625.210,278.766,31.178,625.210,278.766,40.249,319.015,331.589,0.000097,0,0,0
72,2.958333,-0.039783,-0.217795,3.646611,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,623.978,272.287,31.807,623.978,272.287,40.273,312.560,331.589,0.000079,0,0,0
73,3.000000,-0.045663,-0.227375,3.644382,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,621.599,268.373,30.931,621.599,268.373,40.298,308.671,331.589,0.000057,0,0,0
74,3.041667,-0.053332,-0.233776,3.642154,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,618.495,265.736,29.904,618.495,265.736,40.322,306.058,331.589,0.000078,0,0,0
75,3.083333,-0.059670,-0.234855,3.639926,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,615.925,265.243,30.425,615.925,265.243,40.347,305.590,331.589,0.000031,0,0,0
76,3.125000,-0.067034,-0.234159,3.637698,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,612.937,265.466,29.793,612.937,265.466,40.372,305.838,331.589,0.000066,0,0,0
77,3.166667,-0.075338,-0.233327,3.635469,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,609.566,265.744,29.508,609.566,265.744,40.397,306.141,331.589,0.000106,0,0,0
78,3.208333,-0.083923,-0.227363,3.633241,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,606.077,268.097,29.978,606.077,268.097,40.421,308.518,331.589,0.000081,0,0,0
79,3.250000,-0.091166,-0.221907,3.631013,1.000000,0.000000,0.000000,0.000000,0.100000,gvhmr_incam,603.127,270.247,30.551,603.127,270.247,40.446,310.693,331.589,0.000058,0,0,0
