frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
47,1.916667,-0.266725,0.298276,3.494165,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,527.895,485.366,,527.895,485.366,,525.581,525.581,527.895,485.366,527.895,485.366,525.581,525.581,0.000072,0.410996,0.410996,0.000000,2.202563,1.291602,-0.084889,0,1
48,1.958333,-0.244283,0.413535,3.476586,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,536.808,534.688,,536.808,534.689,,579.525,579.524,536.808,534.688,536.808,534.689,579.524,579.525,0.000551,0.093443,0.093443,0.221173,2.178587,1.297999,0.017989,0,0
49,2.000000,-0.214815,0.548807,3.462697,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,548.897,592.756,,548.892,592.761,,623.035,623.030,548.897,592.756,548.892,592.761,623.030,623.035,0.006850,0.751965,0.141377,1.000000,2.146826,1.315871,0.004284,0,1
50,2.041667,-0.198569,0.621961,3.448988,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,555.445,624.880,,555.448,624.836,,638.920,638.964,555.445,624.880,555.448,624.836,638.964,638.920,0.044572,1.000000,0.211090,1.000000,2.253222,1.195766,0.116312,0,1
51,2.083333,-0.183397,0.519049,3.434800,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,561.590,581.902,,561.586,581.928,,617.825,617.799,561.590,581.902,561.586,581.928,617.799,617.825,0.026055,0.938178,0.285557,0.984057,2.233528,1.201272,0.017078,0,1
52,2.125000,-0.177242,0.422024,3.439298,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,564.316,540.207,,564.316,540.207,,584.012,584.012,564.316,540.207,564.316,540.207,584.012,584.012,0.000240,0.703634,0.462601,0.298497,2.235460,1.203838,0.039678,1,1
53,2.166667,-0.159840,0.341054,3.439543,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,571.752,505.622,,571.752,505.622,,546.331,546.331,571.752,505.622,571.752,505.622,546.331,546.331,0.000003,0.480515,0.480515,0.000000,2.178247,1.261296,-0.027190,1,1
54,2.208333,-0.141438,0.276685,3.419025,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,579.247,478.847,,579.247,478.847,,519.627,519.627,579.247,478.847,579.247,478.847,519.627,519.627,0.000214,0.444467,0.444467,0.000000,2.163541,1.255484,0.056577,0,1
55,2.250000,-0.132394,0.229073,3.390628,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,582.655,459.220,,582.655,459.220,,499.713,499.713,582.655,459.220,582.655,459.220,499.713,499.713,0.000256,0.434580,0.434580,0.000000,2.185570,1.205058,0.090446,0,1
56,2.291667,-0.114685,0.193887,3.368591,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,590.001,444.529,,590.001,444.529,,486.262,486.262,590.001,444.529,590.001,444.529,486.262,486.262,0.000222,0.431443,0.431443,0.000000,2.216040,1.152551,0.091486,0,1
57,2.333333,-0.102363,0.179734,3.361770,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,595.282,438.518,,595.282,438.518,,478.886,478.886,595.282,438.518,595.282,438.518,478.886,478.886,0.000242,0.314737,0.314737,0.000000,2.252144,1.109626,0.072253,0,1
58,2.375000,-0.086929,0.177831,3.361689,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,602.024,437.688,,602.024,437.688,,478.177,478.177,602.024,437.688,602.024,437.688,478.177,478.177,0.000184,0.393142,0.393142,0.000000,2.245016,1.116673,0.055643,0,1
59,2.416667,-0.076507,0.199782,3.377707,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,606.735,446.864,,606.735,446.864,,486.659,486.659,606.735,446.864,606.735,446.864,486.659,486.659,0.000189,0.514457,0.514457,0.000000,2.240017,1.137690,0.040156,1,1
60,2.458333,-0.059715,0.257682,3.400573,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,614.211,471.285,,614.211,471.285,,511.208,511.208,614.211,471.285,614.211,471.285,511.208,511.208,0.000203,0.531071,0.531071,0.000000,2.206671,1.193902,-0.003459,1,1
61,2.500000,-0.050823,0.362408,3.405502,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,618.083,516.286,,618.083,516.286,,560.635,560.635,618.083,516.286,618.083,516.286,560.635,560.635,0.000489,0.322230,0.322230,0.000000,2.291868,1.113634,0.055012,0,1
62,2.541667,-0.047672,0.502977,3.408240,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,619.454,576.719,,619.458,576.732,,606.569,606.556,619.454,576.719,619.458,576.732,606.556,606.569,0.013479,0.559792,0.146661,0.874846,2.370794,1.037446,1.748307,0,1
63,2.583333,-0.044301,0.608786,3.410838,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,620.935,622.173,,620.926,622.125,,631.982,632.030,620.935,622.173,620.926,622.125,632.030,631.982,0.048960,1.000000,0.199599,1.000000,2.403202,1.007636,0.093592,0,1
64,2.625000,-0.062281,0.522737,3.413420,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,613.193,584.890,,613.204,584.905,,616.200,616.185,613.193,584.890,613.204,584.905,616.185,616.200,0.018545,0.887106,0.277123,0.970505,2.402913,1.010507,1.732655,0,1
65,2.666667,-0.059369,0.410926,3.419176,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,614.500,536.500,,614.500,536.501,,584.123,584.122,614.500,536.500,614.500,536.501,584.122,584.123,0.000801,0.665329,0.499041,0.266611,2.482371,0.936805,0.108294,1,1
66,2.708333,-0.067824,0.339461,3.418183,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,610.860,505.848,,610.860,505.848,,545.723,545.723,610.860,505.848,610.860,505.848,545.723,545.723,0.000297,0.628425,0.628425,0.000000,2.369837,1.048346,-0.085508,1,1
67,2.750000,-0.083267,0.276965,3.385091,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,603.875,480.160,,603.875,480.160,,521.193,521.193,603.875,480.160,603.875,480.160,521.193,521.193,0.000139,0.452078,0.452078,0.000000,2.333770,1.051321,-0.005724,1,1
68,2.791667,-0.091913,0.230773,3.349323,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,599.698,461.189,,599.698,461.189,,502.240,502.240,599.698,461.189,599.698,461.189,502.240,502.240,0.000051,0.368046,0.368046,0.000000,2.331163,1.018160,0.036603,0,1
69,2.833333,-0.098305,0.203917,3.328444,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,596.625,449.974,,596.625,449.974,,491.245,491.245,596.625,449.974,596.625,449.974,491.245,491.245,0.000112,0.290423,0.290423,0.000000,2.339295,0.989149,0.045365,0,1
70,2.875000,-0.107832,0.192458,3.324458,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,592.364,445.020,,592.364,445.020,,486.008,486.008,592.364,445.020,592.364,445.020,486.008,486.008,0.000274,0.283558,0.283558,0.000000,2.352549,0.971909,0.056698,0,1
71,2.916667,-0.114838,0.195600,3.329796,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,589.351,446.269,,589.351,446.269,,487.960,487.960,589.351,446.269,589.351,446.269,487.960,487.960,0.000262,0.415114,0.415114,0.000000,2.349679,0.980117,0.032098,0,1
72,2.958333,-0.130946,0.228507,3.335045,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,582.337,460.624,,582.337,460.624,,501.505,501.505,582.337,460.624,582.337,460.624,501.505,501.505,0.000129,0.488677,0.488677,0.000000,2.320161,1.014884,0.032413,1,1
73,3.000000,-0.145612,0.298528,3.343427,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,576.040,491.129,,576.040,491.129,,531.439,531.439,576.040,491.129,576.040,491.129,531.439,531.439,0.000077,0.502428,0.502428,0.000000,2.264420,1.079007,-0.030550,1,1
74,3.041667,-0.163509,0.403893,3.331306,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,567.917,538.055,,567.917,538.056,,584.904,584.903,567.917,538.055,567.917,538.056,584.903,584.904,0.001141,0.266811,0.266811,0.269002,2.256799,1.074507,0.062560,0,1
75,3.083333,-0.183072,0.551362,3.338039,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,559.457,602.595,,559.456,602.577,,631.442,631.460,559.457,602.595,559.456,602.577,631.460,631.442,0.017636,0.963535,0.092610,1.000000,2.259297,1.078742,0.089049,0,1
76,3.125000,-0.210279,0.590717,3.366434,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,548.267,617.725,,548.266,617.700,,643.127,643.152,548.267,617.725,548.266,617.700,643.152,643.127,0.025103,1.000000,0.137875,1.000000,2.322464,1.043970,0.079477,0,1
77,3.166667,-0.241807,0.492619,3.395653,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,535.419,573.049,,535.419,573.055,,612.685,612.679,535.419,573.049,535.419,573.055,612.679,612.685,0.006344,0.612349,0.224844,0.795129,2.203545,1.192108,0.068826,0,1
78,3.208333,-0.266389,0.398667,3.423444,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,525.723,531.022,,525.723,531.022,,573.547,573.547,525.723,531.022,525.723,531.022,573.547,573.547,0.000089,0.541496,0.541496,0.266611,2.209074,1.214370,0.065381,1,1
