frame,time,center_x,center_y,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
132,5.458333,522.814,450.563,0.000000,480.622,453.685,0.000000,571.127,463.457,0.000000,518.344,405.660,0.000000,530.170,496.415,1.000000
133,5.500000,518.675,460.238,0.000000,476.412,464.551,0.000000,567.691,468.152,1.000000,516.108,416.266,0.000000,526.312,506.598,1.000000
134,5.541667,516.800,491.164,1.000000,473.754,495.900,0.000000,563.425,490.295,0.000000,516.027,443.219,1.000000,524.143,535.417,0.000000
135,5.583333,512.280,541.280,0.000000,472.845,540.893,0.000000,554.801,534.306,0.000000,515.657,476.415,1.000000,517.754,579.291,0.000000
136,5.625000,509.538,604.936,0.000000,472.025,597.014,0.000000,549.282,602.769,0.000000,515.690,489.451,1.000000,513.001,634.704,0.000000
137,5.666667,508.614,613.016,0.000000,472.118,603.292,0.000000,547.889,608.165,0.000000,514.258,491.903,0.000000,513.253,637.984,0.000000
138,5.708333,512.004,564.000,0.000000,473.493,558.457,0.000000,550.886,556.427,0.000000,513.308,485.591,0.000000,518.055,595.920,0.000000
139,5.750000,515.885,522.839,0.000000,475.722,524.444,0.000000,558.142,513.462,0.000000,514.283,470.543,1.000000,523.876,562.407,0.000000
140,5.791667,518.398,490.272,0.000000,477.848,494.217,0.000000,565.830,487.309,0.000000,517.013,445.729,0.000000,526.263,534.416,0.000000
141,5.833333,523.141,469.296,0.000000,483.790,472.624,0.000000,570.184,473.228,0.000000,521.504,426.110,0.000000,530.906,514.807,1.000000
142,5.875000,527.441,458.546,0.000000,490.552,461.321,0.000000,573.183,468.934,0.000000,526.908,415.356,0.000000,533.904,503.933,1.000000
143,5.916667,535.452,457.535,0.000000,499.207,458.570,0.000000,578.050,468.989,0.000000,537.147,413.100,0.000000,539.243,502.289,1.000000
144,5.958333,543.944,465.231,0.000000,508.410,464.199,0.000000,583.551,473.633,0.000000,547.815,419.621,0.000000,544.254,507.113,1.000000
145,6.000000,553.616,488.594,0.000000,517.623,484.040,0.000000,591.966,493.731,0.000000,561.286,441.746,0.000000,550.302,524.018,1.000000
