frame,time,z_init,z_ref,z_final,anchor_used,anchor_kind,anchor_weight,target_center_z,hand_z,local_delta_z,contact_depth_offset_m,contact_label,frame_mode,human_contact_state,floor_contact_state,support_conf,table_static_start_frame
25,1.000000,4.120898398,3.977618547,3.950463362,1,continuous_keep,0.931928,3.977618547,3.877111006,-0.020507541,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
26,1.041667,4.160586096,3.968668838,3.941371643,1,continuous_keep,1.011660,3.968668838,3.867264986,-0.021403852,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
27,1.083333,4.188455483,3.954330636,3.929917075,1,continuous_keep,1.104760,3.954330636,3.857736254,-0.016594383,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
28,1.125000,4.200845149,3.934366736,3.916062974,1,continuous_keep,1.200979,3.934366736,3.847836924,-0.006529813,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
29,1.166667,4.194147592,3.909588336,3.900138366,1,continuous_keep,1.190970,3.909588336,3.835991001,0.006402666,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
30,1.208333,4.165830509,3.885907814,3.882681423,1,continuous_keep,1.300926,3.885907814,3.826046705,0.020138891,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
31,1.250000,4.120672934,3.866000683,3.864222914,1,continuous_keep,1.370275,3.866000683,3.819460297,0.033459613,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
32,1.291667,4.065457682,3.846691489,3.845235664,1,continuous_keep,1.337596,3.846691489,3.812481499,0.045790010,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
33,1.333333,4.009550650,3.832160374,3.826166086,1,continuous_keep,1.388579,3.832160374,3.809133053,0.056972679,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
34,1.375000,3.961602971,3.819050218,3.807473085,1,continuous_keep,1.353926,3.819050218,3.805931139,0.066880921,-0.080000000,left_hand,keep_previous_grasp_anchor,1,0,0.75,167
