frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,support_type,support_source,support_confidence,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
31,1.250000,-0.289500,0.163869,3.575966,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.106,427.299,47.877,521.106,427.299,49.283,476.582,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.052545,3.585791,3.558997,-0.009825
32,1.291667,-0.284393,0.207725,3.561777,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.738,445.650,49.416,522.738,445.650,49.479,495.129,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.104748,3.585649,3.552541,-0.023872
33,1.333333,-0.261114,0.276304,3.549062,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,531.951,474.335,50.384,531.951,474.335,49.656,523.991,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.168942,3.592409,3.546085,-0.043347
34,1.375000,-0.270157,0.415289,3.538209,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,527.866,532.374,46.859,527.866,532.374,49.808,582.182,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.236420,3.618556,3.539629,-0.080347
35,1.416667,-0.259029,0.566531,3.529551,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,532.221,595.727,46.079,532.221,595.727,49.931,645.658,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.282803,3.658267,3.533173,-0.128716
36,1.458333,-0.256072,0.623052,3.523446,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,533.267,619.694,45.488,533.267,619.694,50.017,669.711,658.417,floor,ball_contact_events,0.428931,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.302807,3.678698,3.526717,-0.155253
37,1.500000,-0.271483,0.511478,3.520323,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,526.743,573.378,44.797,526.743,573.378,50.061,623.439,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.299944,3.688451,3.515728,-0.168128
38,1.541667,-0.281828,0.411045,3.520678,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,522.439,531.462,48.341,522.439,531.462,50.056,581.518,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.271927,3.671550,3.517164,-0.150872
39,1.583333,-0.283706,0.325973,3.524914,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,521.798,495.812,47.358,521.798,495.812,49.996,545.808,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.214660,3.640499,3.518601,-0.115585
40,1.625000,-0.294506,0.260839,3.533367,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,517.592,468.415,46.615,517.592,468.415,49.877,518.292,658.417,floor,ball_contact_events,0.428931,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.150207,3.621206,3.520037,-0.087838
