frame,time,pelvis_x,pelvis_y,pelvis_z,left_wrist_x,left_wrist_y,left_wrist_z,right_wrist_x,right_wrist_y,right_wrist_z,ball_x,ball_y,ball_z,left_wrist_ball_dist,right_wrist_ball_dist
90,3.708333,-0.018422,-0.026311,4.049109,0.275394,0.057957,3.970825,-0.337717,0.194918,3.706742,-0.405701,0.379868,3.951009,0.753598,0.313839
91,3.750000,-0.020245,-0.027227,4.053445,0.273487,0.060966,3.973510,-0.342845,0.150219,3.693973,-0.400658,0.458859,3.952046,0.783103,0.406451
92,3.791667,-0.021998,-0.028658,4.052825,0.273551,0.064059,3.972174,-0.343029,0.103014,3.682670,-0.408665,0.527264,3.953082,0.824829,0.507365
93,3.833333,-0.022351,-0.030016,4.050792,0.274411,0.067027,3.968591,-0.339296,0.063325,3.675821,-0.399342,0.564265,3.954118,0.837496,0.576191
94,3.875000,-0.022997,-0.030223,4.051373,0.274512,0.069023,3.969527,-0.334748,0.046026,3.674454,-0.391942,0.586225,3.955154,0.843722,0.611456
95,3.916667,-0.022345,-0.030574,4.045707,0.274936,0.069416,3.965102,-0.324757,0.053176,3.666392,-0.382442,0.586323,3.956191,0.836312,0.609555
96,3.958333,-0.022529,-0.030246,4.046758,0.274992,0.068458,3.969554,-0.311821,0.089808,3.665036,-0.377323,0.562106,3.957227,0.818141,0.559223
97,4.000000,-0.022666,-0.028875,4.038149,0.271769,0.066817,3.962989,-0.298365,0.149215,3.658987,-0.352714,0.465111,3.958263,0.740703,0.438532
98,4.041667,-0.023584,-0.027844,4.033018,0.268514,0.064524,3.959351,-0.287128,0.201089,3.661262,-0.316673,0.297330,3.959299,0.629795,0.314581
99,4.083333,-0.023108,-0.027573,4.031492,0.265328,0.062292,3.958043,-0.271274,0.232944,3.667546,-0.286145,0.125569,3.960336,0.555096,0.312213
100,4.125000,-0.021759,-0.027781,4.033911,0.262855,0.060622,3.960037,-0.259343,0.241993,3.670690,-0.266160,0.120100,3.961372,0.532350,0.315279
101,4.166667,-0.019021,-0.028594,4.049027,0.262877,0.059836,3.976814,-0.252644,0.233569,3.678990,-0.259035,0.244267,3.959007,0.553827,0.280294
102,4.208333,-0.016842,-0.030158,4.043112,0.263958,0.060436,3.972517,-0.245384,0.208052,3.656251,-0.257841,0.338419,3.966356,0.591258,0.336624
103,4.250000,-0.014861,-0.031612,4.048187,0.264786,0.063211,3.981902,-0.238165,0.162652,3.640866,-0.249120,0.430926,3.973705,0.631965,0.427636
104,4.291667,-0.014768,-0.031790,4.054100,0.269248,0.067169,3.991139,-0.230628,0.118534,3.633279,-0.225227,0.499430,3.981054,0.656853,0.515809
105,4.333333,-0.012600,-0.032123,4.060183,0.273476,0.070698,4.000541,-0.221334,0.078986,3.631533,-0.210108,0.540468,3.988403,0.674304,0.583479
106,4.375000,-0.009488,-0.032334,4.060914,0.275489,0.073061,4.001732,-0.208806,0.052102,3.624129,-0.195545,0.569177,3.995752,0.684134,0.636903
107,4.416667,-0.007423,-0.031834,4.061058,0.277898,0.075148,4.003254,-0.193202,0.046810,3.616888,-0.180349,0.576975,4.003101,0.679574,0.656050
108,4.458333,-0.006044,-0.031520,4.051619,0.279881,0.075651,3.996259,-0.173244,0.069014,3.600231,-0.166074,0.561703,4.010449,0.659791,0.641149
109,4.500000,-0.003153,-0.030369,4.049263,0.282616,0.075648,3.996589,-0.150428,0.118145,3.591214,-0.147339,0.506007,4.017798,0.608703,0.576559
110,4.541667,-0.002793,-0.030112,4.046743,0.283758,0.073201,3.995023,-0.136394,0.178009,3.588609,-0.138404,0.400386,4.025147,0.534957,0.489920
111,4.583333,-0.000968,-0.029817,4.061021,0.287540,0.069033,4.011324,-0.130795,0.219247,3.612144,-0.126639,0.237507,4.032496,0.447633,0.420769
112,4.625000,-0.000664,-0.029589,4.065592,0.286666,0.067792,4.015492,-0.129378,0.238532,3.627957,-0.112527,0.120000,4.039845,0.403328,0.428935
113,4.666667,-0.002188,-0.030454,4.067286,0.285400,0.066903,4.018248,-0.133422,0.237869,3.634023,-0.126201,0.193473,4.033909,0.430907,0.402408
114,4.708333,-0.004519,-0.031830,4.061846,0.283140,0.067034,4.014694,-0.141858,0.218185,3.626255,-0.131403,0.303428,4.033758,0.477589,0.416455
115,4.750000,-0.007363,-0.032192,4.047776,0.281555,0.069853,3.999981,-0.152620,0.181851,3.605276,-0.149355,0.406035,4.033606,0.547570,0.483462
116,4.791667,-0.010141,-0.032790,4.048413,0.281153,0.072717,4.003165,-0.164097,0.130688,3.602514,-0.154769,0.483326,4.033455,0.599620,0.556912
117,4.833333,-0.012170,-0.033248,4.049958,0.281324,0.075175,4.006660,-0.176513,0.085139,3.606309,-0.157777,0.538984,4.033304,0.639248,0.623418
118,4.875000,-0.013494,-0.033222,4.051777,0.281734,0.077674,4.006647,-0.181356,0.054030,3.609250,-0.163527,0.573225,4.033152,0.666731,0.670502
119,4.916667,-0.014713,-0.032736,4.055964,0.280972,0.079131,4.009178,-0.179549,0.039100,3.613077,-0.165221,0.591813,4.033001,0.680072,0.694286
120,4.958333,-0.015604,-0.032420,4.055175,0.279501,0.079500,4.006686,-0.171509,0.041799,3.611208,-0.163855,0.595184,4.032850,0.680573,0.695755
121,5.000000,-0.016153,-0.031824,4.046501,0.276658,0.079260,3.996907,-0.158440,0.067505,3.601277,-0.161298,0.578289,4.032699,0.664919,0.668606
122,5.041667,-0.014367,-0.030211,4.041833,0.273393,0.078581,3.990596,-0.145841,0.115780,3.596440,-0.163075,0.518539,4.032547,0.621150,0.593887
123,5.083333,-0.010651,-0.028447,4.035563,0.273815,0.078070,3.979730,-0.136065,0.178768,3.597328,-0.167569,0.402970,4.032396,0.550594,0.490452
124,5.125000,-0.007127,-0.028377,4.045361,0.274880,0.075785,3.985199,-0.139570,0.220277,3.617079,-0.175192,0.240292,4.032245,0.481498,0.417172
125,5.166667,-0.003014,-0.027167,4.045182,0.276917,0.075090,3.981503,-0.149465,0.242512,3.630261,-0.185858,0.120000,4.032093,0.467693,0.421667
126,5.208333,0.001329,-0.027080,4.045403,0.280694,0.074427,3.978808,-0.164681,0.243337,3.636191,-0.202165,0.183731,4.024230,0.497155,0.394376
127,5.250000,0.002876,-0.028065,4.040729,0.282123,0.074195,3.971427,-0.183872,0.222811,3.630781,-0.237532,0.309844,4.019681,0.572626,0.402115
128,5.291667,0.003889,-0.027724,4.035453,0.285616,0.077716,3.963935,-0.203473,0.172451,3.618894,-0.250610,0.426649,4.015132,0.641805,0.473120
129,5.333333,0.004589,-0.028133,4.036318,0.290573,0.080854,3.961545,-0.223882,0.115063,3.622410,-0.280973,0.492705,4.010583,0.706180,0.544565
130,5.375000,0.002854,-0.028456,4.041285,0.294038,0.083685,3.962868,-0.243646,0.073110,3.635499,-0.290770,0.546104,4.006034,0.746790,0.602694
131,5.416667,0.000934,-0.027291,4.047004,0.297072,0.084918,3.966885,-0.261504,0.058572,3.649113,-0.307771,0.570761,4.001485,0.776580,0.623413
132,5.458333,-0.002626,-0.027049,4.042719,0.297845,0.084319,3.961215,-0.275617,0.068163,3.651246,-0.322218,0.565930,3.996936,0.785941,0.607820
133,5.500000,-0.005737,-0.025729,4.033930,0.297037,0.082891,3.951491,-0.288290,0.107066,3.649401,-0.335715,0.534684,3.992387,0.778566,0.550223
134,5.541667,-0.009660,-0.025608,4.023770,0.292884,0.078051,3.941736,-0.305218,0.160099,3.649838,-0.353587,0.460470,3.987838,0.752526,0.454759
135,5.583333,-0.013996,-0.024882,4.020335,0.287000,0.073777,3.937187,-0.317732,0.203350,3.660667,-0.358409,0.334814,3.983289,0.697724,0.350745
136,5.625000,-0.017853,-0.024867,4.007008,0.279972,0.070413,3.919949,-0.320082,0.226239,3.657539,-0.355442,0.154824,3.978740,0.643687,0.330939
137,5.666667,-0.020127,-0.025555,4.005507,0.274821,0.067785,3.914684,-0.321991,0.232404,3.657720,-0.354444,0.120122,3.974191,0.634235,0.337363
138,5.708333,-0.019126,-0.026621,4.014907,0.273534,0.066631,3.923497,-0.322993,0.222806,3.660981,-0.356332,0.260685,3.986702,0.662105,0.329607
139,5.750000,-0.017171,-0.027773,4.020692,0.273838,0.067085,3.929729,-0.318733,0.196021,3.652470,-0.343835,0.386516,3.993416,0.698293,0.391360
140,5.791667,-0.013902,-0.028941,4.021262,0.275450,0.070494,3.929920,-0.303829,0.151697,3.636700,-0.334499,0.459201,4.000130,0.726678,0.477054
141,5.833333,-0.011532,-0.030063,4.028229,0.277704,0.074454,3.936925,-0.283033,0.106713,3.634074,-0.322718,0.514468,4.006844,0.747668,0.553893
