frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,source,generic_solve_attempt_id
68,2.791667,0.004302229463068449,-0.024617008157463018,3.005849087267223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
69,2.833333,-0.007886669606776711,-0.05731401136144798,2.980391923514428,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
70,2.875,-0.023432083484224535,-0.0777169529666679,2.939247484034418,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
71,2.916667,-0.04008353964470704,-0.08657383434127428,2.8876070901303366,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
72,2.958333,-0.05733295477223174,-0.08507073478312244,2.8402774259850294,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
73,3.0,-0.07586009505884797,-0.07542987861097197,2.8167440600971005,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
74,3.041667,-0.08656612121177412,-0.02275612928065434,2.816091363217766,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
75,3.083333,-0.08868740619372065,-0.06498091827255857,2.7014523193266813,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
76,3.125,-0.07078226236579394,-0.09233310361963298,2.6133258645273547,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
77,3.166667,-0.04301336379852868,-0.1221749730332832,2.586120788309608,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
78,3.208333,-0.018126992350055444,-0.14007491741373723,2.598563035101695,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
79,3.25,0.005983668119601328,-0.14515419451218448,2.6182478819412625,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
80,3.291667,0.03006846336289213,-0.1381465306136239,2.63565321313223,1.0,0.0,0.0,0.0,0.02,generic_sequence_executor_with_rigid_impact_contact,generic-solve-f1ccddc6cb39
