frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,u_ref_obs,v_ref_obs,u_ref_proj,v_ref_proj,support_v_obs,support_proj_v,residual_px,proposal_score,anchor_score,floor_score,depth_prior_m,depth_prior_gap_m,contact_depth_offset_m,contact_frame,audio_contact_frame
70,2.875000,-0.395767,-0.653312,3.739248,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.561,103.409,,484.561,103.409,,126.497,126.497,484.561,103.409,484.561,103.409,126.497,126.497,0.000073,0.493492,0.493492,0.000000,3.526634,0.212614,0.034342,1,1
71,2.916667,-0.396417,-0.656635,3.736957,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,484.210,101.946,,484.210,101.946,,124.743,124.743,484.210,101.946,484.210,101.946,124.743,124.743,0.000021,0.490928,0.490928,0.000000,3.521974,0.214983,0.060138,1,1
72,2.958333,-0.396668,-0.659066,3.733475,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,483.966,100.749,,483.966,100.749,,122.932,122.932,483.966,100.749,483.966,100.749,122.932,122.932,0.000029,0.489505,0.489505,0.000000,3.531482,0.201993,0.071533,1,1
73,3.000000,-0.397552,-0.662225,3.733158,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,483.605,99.484,,483.605,99.484,,121.267,121.267,483.605,99.484,483.605,99.484,121.267,121.267,0.000025,0.482835,0.482835,0.000000,3.536122,0.197036,0.056470,1,1
74,3.041667,-0.398032,-0.664879,3.734585,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,483.476,98.540,,483.476,98.540,,119.910,119.910,483.476,98.540,483.476,98.540,119.910,119.910,0.000044,0.469811,0.469811,0.000000,3.535794,0.198791,0.045792,1,1
75,3.083333,-0.399923,-0.666920,3.736956,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.832,97.904,,482.832,97.904,,118.958,118.958,482.832,97.904,482.832,97.904,118.958,118.958,0.000119,0.465821,0.465821,0.000000,3.551716,0.185240,0.049495,1,1
76,3.125000,-0.399753,-0.669283,3.737667,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.929,97.025,,482.929,97.025,,118.063,118.063,482.929,97.025,482.929,97.025,118.063,118.063,0.000086,0.459147,0.459147,0.000000,3.562977,0.174690,0.053146,1,1
77,3.166667,-0.400966,-0.671074,3.736982,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.423,96.273,,482.423,96.273,,117.165,117.165,482.423,96.273,482.423,96.273,117.165,117.165,0.000433,0.447973,0.447973,0.000000,3.563349,0.173633,0.053077,0,1
78,3.208333,-0.400955,-0.671935,3.735243,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.354,95.812,,482.354,95.812,,116.569,116.569,482.354,95.812,482.354,95.812,116.569,116.569,0.000447,0.457984,0.457984,0.000000,3.555241,0.180002,0.050979,1,1
79,3.250000,-0.399577,-0.672514,3.734080,1.000000,0.000000,0.000000,0.000000,,gvhmr_incam,482.848,95.502,,482.847,95.502,,116.162,116.162,482.848,95.502,482.847,95.502,116.162,116.162,0.000662,0.453789,0.453789,0.000000,3.551117,0.182963,0.048948,1,1
