contact_type,target,start_frame,end_frame,start_time,end_time,peak_frame,peak_time,mean_score,max_score,num_frames
hand_contact_state,right_hand,78,85,3.208333,3.5,82,3.375,0.5126398199561306,0.5664814481542492,8
transition_contact_state,hand_floor_transition,86,86,3.541667,3.541667,86,3.541667,0.20750733973162175,0.20750733973162175,1
floor_contact_state,floor,87,88,3.583333,3.625,87,3.583333,0.7177780397705167,0.8020528143336548,2
transition_contact_state,hand_floor_transition,89,89,3.666667,3.666667,89,3.666667,0.22207218079230773,0.22207218079230773,1
hand_contact_state,right_hand,90,97,3.708333,4.0,94,3.875,0.5606087596193192,0.6766208509896108,8
transition_contact_state,hand_floor_transition,98,98,4.041667,4.041667,98,4.041667,0.19379179152025952,0.19379179152025952,1
floor_contact_state,floor,99,100,4.083333,4.125,99,4.083333,0.94393169209144,0.9980048729172277,2
transition_contact_state,hand_floor_transition,101,102,4.166667,4.208333,102,4.208333,0.26316434283131623,0.3682721462073356,2
hand_contact_state,right_hand,103,110,4.25,4.541667,107,4.416667,0.46420791479592105,0.5419914495764546,8
transition_contact_state,hand_floor_transition,111,111,4.583333,4.583333,111,4.583333,0.10577983941802958,0.10577983941802958,1
floor_contact_state,floor,112,112,4.625,4.625,112,4.625,0.4127764792496577,0.4127764792496577,1
transition_contact_state,hand_floor_transition,113,114,4.666667,4.708333,114,4.708333,0.17358834359946984,0.2739262857170951,2
hand_contact_state,right_hand,115,123,4.75,5.083333,120,4.958333,0.48013786796170305,0.5742622805547561,9
transition_contact_state,hand_floor_transition,124,124,5.125,5.125,124,5.125,0.10958206139660182,0.10958206139660182,1
floor_contact_state,floor,125,125,5.166667,5.166667,125,5.166667,0.5837963194807689,0.5837963194807689,1
transition_contact_state,hand_floor_transition,126,127,5.208333,5.25,127,5.25,0.19713334635864252,0.32079396587539194,2
hand_contact_state,right_hand,128,134,5.291667,5.541667,131,5.416667,0.5301786109807498,0.6372586381192695,7
transition_contact_state,hand_floor_transition,135,135,5.583333,5.583333,135,5.583333,0.328457659297832,0.328457659297832,1
floor_contact_state,floor,136,137,5.625,5.666667,137,5.666667,0.7324769534453914,0.8403540229832008,2
transition_contact_state,hand_floor_transition,138,138,5.708333,5.708333,138,5.708333,0.16586512342836301,0.16586512342836301,1
hand_contact_state,right_hand,139,145,5.75,6.0,143,5.916667,0.5414808187019607,0.6260345598998412,7
transition_contact_state,hand_floor_transition,146,147,6.041667,6.083333,146,6.041667,0.2215595906960447,0.3705893138594679,2
floor_contact_state,floor,148,148,6.125,6.125,148,6.125,0.5017728859945542,0.5017728859945542,1
transition_contact_state,hand_floor_transition,149,150,6.166667,6.208333,150,6.208333,0.1792347402194635,0.2775866438573987,2
hand_contact_state,right_hand,151,158,6.25,6.541667,155,6.416667,0.5072883581051975,0.6211369355834856,8
transition_contact_state,hand_floor_transition,159,160,6.583333,6.625,160,6.625,0.17190097777928703,0.1845797896056285,2
floor_contact_state,floor,161,161,6.666667,6.666667,161,6.666667,0.4601819128299281,0.4601819128299281,1
transition_contact_state,hand_floor_transition,162,162,6.708333,6.708333,162,6.708333,0.2918158851919795,0.2918158851919795,1
hand_contact_state,right_hand,163,171,6.75,7.083333,168,6.958333,0.4996346425625979,0.6068788047528932,9
transition_contact_state,hand_floor_transition,172,172,7.125,7.125,172,7.125,0.22020464557866187,0.22020464557866187,1
floor_contact_state,floor,173,174,7.166667,7.208333,173,7.166667,0.8245473441396584,0.9809175743658354,2
transition_contact_state,hand_floor_transition,175,175,7.25,7.25,175,7.25,0.24767040242314298,0.24767040242314298,1
hand_contact_state,right_hand,176,184,7.291667,7.625,181,7.5,0.5067451903230383,0.5988086978931937,9
transition_contact_state,hand_floor_transition,185,185,7.666667,7.666667,185,7.666667,0.29850900272829506,0.29850900272829506,1
floor_contact_state,floor,186,187,7.708333,7.75,187,7.75,0.9686611808240695,1.0,2
