frame,time,object_z_raw,object_z_aligned_m,affine_a,affine_b,sample_count,depth_conf,fit_corr,extrapolation,source
111,4.583333,2.365662,3.859709,1.016201,1.455721,6077,0.648433,0.8739,0.0000,mask
112,4.625000,2.361628,3.858889,1.004829,1.485856,6150,0.776040,0.8732,0.0000,mask
113,4.666667,2.359509,3.857358,0.997534,1.503667,6177,0.626970,0.8247,0.0000,mask
114,4.708333,2.348889,3.844267,0.997053,1.502299,5670,0.683119,0.8236,0.0000,mask
115,4.750000,2.203513,3.716016,1.001726,1.486166,5837,0.635669,0.8137,0.0559,mask
116,4.791667,2.238338,3.739142,1.007566,1.466069,5887,0.595200,0.7748,0.0441,mask
117,4.833333,2.291630,3.769124,1.011776,1.450509,6072,0.624073,0.7842,0.0000,mask
118,4.875000,2.302197,3.776393,1.013372,1.443412,6117,0.601218,0.7336,0.0000,mask
119,4.916667,2.298926,3.772863,1.011982,1.446393,6112,0.563401,0.7278,0.0000,mask
120,4.958333,2.304148,3.781015,1.007448,1.459705,6193,0.593095,0.7431,0.0000,mask
121,5.000000,2.266246,3.748137,1.000122,1.481614,6297,0.562210,0.7824,0.0000,mask
122,5.041667,2.219760,3.707923,0.990432,1.509398,6601,0.599858,0.7896,0.0000,mask
123,5.083333,2.203752,3.697262,0.977638,1.542792,6000,0.763217,0.8341,0.0000,mask
124,5.125000,2.331163,3.822407,0.959636,1.585340,6083,0.702086,0.8379,0.0000,mask
125,5.166667,2.383586,3.868563,0.934358,1.641440,6290,0.705973,0.8128,0.0000,mask
126,5.208333,2.452155,3.922548,0.901962,1.710798,5415,0.716926,0.8027,0.0000,mask
127,5.250000,2.330900,3.804028,0.867449,1.782090,6147,0.581597,0.7074,0.0000,mask
128,5.291667,2.237055,3.713862,0.841086,1.832306,6481,0.635807,0.7034,0.0000,mask
129,5.333333,2.193889,3.667242,0.832033,1.841853,6320,0.515996,0.6407,0.0000,mask
130,5.375000,2.325646,3.767130,0.840075,1.813414,6296,0.550146,0.7050,0.0000,mask
131,5.416667,2.348527,3.780232,0.857503,1.766363,6282,0.491927,0.6354,0.0000,mask
132,5.458333,2.369578,3.795716,0.878803,1.713324,6506,0.478094,0.6199,0.0000,mask
133,5.500000,2.326073,3.757425,0.901928,1.657894,6468,0.479296,0.6258,0.0040,mask
134,5.541667,2.279801,3.745933,0.920857,1.613430,6310,0.568620,0.7354,0.1057,mask
135,5.583333,2.341740,3.770547,0.926832,1.600147,6661,0.675293,0.7595,0.0000,mask
136,5.625000,2.309648,3.741682,0.919612,1.617703,5901,0.596656,0.6768,0.0000,mask
137,5.666667,2.279285,3.713648,0.908249,1.643489,5714,0.543720,0.6147,0.0000,mask
138,5.708333,2.276831,3.709681,0.896654,1.668151,5375,0.626187,0.7661,0.0000,mask
139,5.750000,2.291281,3.746067,0.876940,1.711968,6375,0.610947,0.7425,0.0858,mask
140,5.791667,2.270713,3.737393,0.843275,1.790927,6303,0.529667,0.6570,0.1042,mask
141,5.833333,2.366064,3.805199,0.805715,1.882429,6088,0.504413,0.6137,0.0407,mask
142,5.875000,2.366701,3.807706,0.783215,1.941569,6321,0.430335,0.5586,0.0305,mask
143,5.916667,2.370645,3.806836,0.785624,1.944399,6442,0.474285,0.6332,0.0000,mask
144,5.958333,2.338502,3.791070,0.807690,1.902285,6440,0.520044,0.6956,0.0000,mask
145,6.000000,2.152690,3.644330,0.837880,1.840636,5985,0.434702,0.5825,0.0000,mask
146,6.041667,2.192906,3.707213,0.867057,1.778737,5958,0.542662,0.7008,0.0830,mask
147,6.083333,2.293490,3.768685,0.889361,1.728945,5863,0.596086,0.7362,0.0000,mask
148,6.125000,2.345389,3.813432,0.900580,1.701221,6050,0.659319,0.7567,0.0000,mask
149,6.166667,2.396105,3.854558,0.898475,1.701718,5946,0.637159,0.7634,0.0000,mask
