frame,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,raw_velocity_score,raw_accel_score,final_velocity_score,final_accel_score,se3_smoothed,delta_translation_m,delta_rotation_rad,trust_weight,anchor_residual_enabled,anchor_residual_count,anchor_residual_m
116,0,0,0,0,0.016498,0.005109,0.010908,0.011499,1,0.040355,0.000000,0.444276,0,0,0.000000
117,0,0,0,0,0.012350,0.025905,0.022365,0.001280,1,0.036744,0.000000,0.444276,0,0,0.000000
118,0,0,0,0,0.036282,0.019834,0.023529,0.007333,1,0.035614,0.000000,0.444276,0,0,0.000000
119,0,0,0,0,0.017299,0.043267,0.030851,0.027636,1,0.033945,0.000000,0.444276,0,0,0.000000
120,0,0,0,0,0.059509,0.017275,0.058430,0.020464,1,0.040509,0.000000,0.444276,0,0,0.000000
121,0,0,0,0,0.076168,0.009045,0.078879,0.000475,1,0.047661,0.000000,0.444276,0,0,0.000000
122,0,0,0,0,0.084871,0.022423,0.079009,0.000720,1,0.052883,0.000000,0.200000,0,0,0.000000
123,0,0,0,1,0.104746,0.108333,0.078426,0.078589,1,0.074751,0.000000,0.444276,0,0,0.000000
124,0,0,0,0,0.008379,0.004448,0.005024,0.021653,1,0.073871,0.000000,0.507744,0,0,0.000000
125,0,0,0,1,0.010016,0.116954,0.022551,0.034359,1,0.083283,0.000000,0.558518,0,0,0.000000
126,0,0,0,0,0.120905,0.062542,0.056567,0.000281,1,0.055265,0.000000,0.495050,0,0,0.000000
127,0,0,0,0,0.061888,0.060518,0.056605,0.005214,1,0.057832,0.000000,0.444276,0,0,0.000000
128,0,0,0,0,0.007874,0.066713,0.051423,0.000228,1,0.054760,0.000000,0.507744,0,0,0.000000
129,0,0,0,0,0.068196,0.041453,0.051222,0.000100,1,0.054332,0.000000,0.444276,0,0,0.000000
130,0,0,0,0,0.027263,0.087988,0.051239,0.022639,1,0.061433,0.000000,0.444276,0,0,0.000000
