frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,visible_fraction,occlusion_state,vlm_visibility,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
21,0.833333,559.888,-37.010,559.888,-37.010,559.888,-37.010,vlm_out_of_frame_projected_ballistic,center,559.888,93.911,93.911,130.921,130.921,cotracker_bottom,,,stage2_contact_policy,4.124972,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.124972,4.124972,4.124972,4.124972,1.000000,0.000000,,,0.000
22,0.875000,561.792,-37.615,561.792,-37.615,561.792,-37.615,vlm_out_of_frame_projected_ballistic,center,561.792,67.945,67.945,105.560,105.560,cotracker_bottom,,,stage2_contact_policy,4.126371,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.126371,4.126371,4.126371,4.126371,1.000000,0.000000,,,0.000
23,0.916667,563.731,-35.265,563.731,-35.265,563.731,-35.265,vlm_out_of_frame_projected_ballistic,center,563.731,42.791,42.791,78.056,78.056,cotracker_bottom,,,stage2_contact_policy,4.127770,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.127770,4.127770,4.127770,4.127770,1.000000,0.000000,,,0.000
24,0.958333,565.702,-29.961,565.702,-29.961,565.702,-29.961,vlm_out_of_frame_projected_ballistic,center,565.702,32.267,32.267,62.228,62.228,cotracker_bottom,,,stage2_contact_policy,4.129170,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.129170,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
25,1.000000,567.708,-21.701,567.708,-21.701,567.708,-21.701,vlm_out_of_frame_projected_ballistic,center,567.708,36.279,36.279,57.980,57.980,cotracker_bottom,,,stage2_contact_policy,4.129170,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.130569,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
26,1.041667,569.747,-10.487,569.747,-10.487,569.747,-10.487,vlm_out_of_frame_projected_ballistic,center,569.747,68.524,68.524,79.011,79.011,cotracker_bottom,,,stage2_contact_policy,4.129170,,,0.650000,0.000000,0.000000,1.000000,0.650000,0.000000,absent,out_of_frame,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.131968,4.129170,4.129170,4.129170,1.000000,0.000000,,,0.000
27,1.083333,573.377,7.176,573.377,7.176,573.377,7.176,vlm_single_identity_visible_mask,center,573.377,10.941,10.941,3.765,3.765,cotracker_bottom,,,stage2_contact_policy,4.129170,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,4.133367,4.129170,4.129170,4.129170,1.000000,0.000000,,,16.136
28,1.125000,574.972,17.093,574.972,17.093,574.972,17.093,vlm_single_identity_visible_mask,center,574.972,32.008,32.008,14.915,14.915,cotracker_bottom,,,stage2_contact_policy,3.859413,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.686960,3.859413,3.859413,3.859413,1.000000,0.000000,,,26.786
29,1.166667,576.431,33.403,576.431,33.403,576.431,33.403,vlm_single_identity_visible_mask,center,576.431,58.460,58.460,25.057,25.057,cotracker_bottom,,,stage2_contact_policy,3.813940,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.859413,3.813940,3.813940,3.813940,1.000000,0.000000,,,34.258
30,1.208333,577.701,62.927,577.701,62.927,577.701,62.927,vlm_single_identity_visible_mask,center,577.701,89.601,89.601,26.674,26.674,cotracker_bottom,,,stage2_contact_policy,3.686960,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,visible,visible,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.813940,3.686960,3.686960,3.686960,1.000000,0.000000,,,35.324
