frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
23,0.916667,mug,614.483,407.300,mug_body_mask,1,614.483,407.300,cotracker_center_fallback,1,611.341,414.139,4540.5,578.000,375.000,645.000,457.000,67.000,82.000,44.777,86.185,72.812,0.817073,0.800650,1,611.386,414.090,580.000,375.000,643.000,456.000,64.000,82.000,unknown,2.000,1.000,0.500000,0.800650,0.800650,1.000000,582.695,412.227,1.000000,636.134,413.268,0.000000,611.748,377.351,0.000000,611.113,448.879,1.000000
24,0.958333,mug,622.941,391.695,mug_body_mask,1,622.941,391.695,cotracker_center_fallback,1,620.425,397.020,4383.0,589.000,359.000,653.000,438.000,64.000,79.000,43.886,86.752,70.321,0.810127,0.813358,1,620.376,397.064,590.000,359.000,651.000,437.000,62.000,79.000,unknown,1.000,1.000,0.500000,0.813358,0.813358,1.000000,591.644,397.306,1.000000,644.330,397.982,0.000000,620.434,361.834,0.000000,620.244,433.170,1.000000
25,1.000000,mug,631.063,375.841,mug_body_mask,1,631.063,375.841,cotracker_center_fallback,1,629.087,381.414,4431.5,598.000,343.000,662.000,423.000,64.000,80.000,43.578,87.607,70.108,0.800000,0.833579,1,629.030,381.423,599.000,343.000,660.000,422.000,62.000,80.000,unknown,1.000,1.000,0.500000,0.833579,0.833579,1.000000,599.566,381.594,1.000000,652.570,382.354,0.000000,627.430,346.857,0.000000,627.938,418.090,1.000000
26,1.041667,mug,638.881,359.644,mug_body_mask,1,638.881,359.644,cotracker_center_fallback,1,636.628,366.089,4476.5,606.000,328.000,669.000,408.000,63.000,80.000,43.960,83.685,79.401,0.787500,0.852944,1,636.620,366.066,606.000,328.000,668.000,407.000,63.000,80.000,unknown,0.000,0.000,0.500000,0.852944,0.852944,1.000000,607.780,365.994,1.000000,660.294,366.891,0.000000,635.680,331.859,0.000000,635.141,402.601,1.000000
27,1.083333,mug,647.479,343.784,mug_body_mask,1,647.479,343.784,cotracker_center_fallback,1,646.016,350.568,4404.0,614.000,313.000,679.000,391.000,65.000,78.000,43.634,86.845,72.923,0.833333,0.822484,1,646.150,350.707,616.000,313.000,677.000,390.000,62.000,78.000,unknown,2.000,1.000,0.500000,0.822484,0.822484,1.000000,616.404,350.350,1.000000,667.949,351.653,0.000000,643.239,316.879,0.000000,643.040,388.050,1.000000
28,1.125000,mug,655.628,329.626,mug_body_mask,1,655.628,329.626,cotracker_center_fallback,1,654.627,336.131,4447.5,623.000,298.000,688.000,377.000,65.000,79.000,43.766,86.451,71.298,0.822785,0.823791,1,654.513,336.186,624.000,298.000,686.000,376.000,63.000,79.000,unknown,1.000,1.000,0.500000,0.823791,0.823791,1.000000,625.238,335.808,1.000000,675.464,337.772,0.000000,651.849,302.266,0.000000,651.263,374.751,1.000000
29,1.166667,mug,663.933,316.238,mug_body_mask,1,663.933,316.238,cotracker_center_fallback,1,662.044,323.260,4523.5,631.000,285.000,695.000,364.000,64.000,79.000,44.222,85.227,76.349,0.810127,0.835665,1,662.039,323.228,631.000,285.000,694.000,363.000,64.000,79.000,unknown,0.000,0.000,0.500000,0.835665,0.835665,1.000000,633.264,322.074,1.000000,682.667,324.611,0.000000,659.972,288.566,0.000000,658.349,361.758,1.000000
30,1.208333,mug,672.673,303.196,mug_body_mask,1,672.673,303.196,cotracker_center_fallback,1,668.549,310.449,4598.5,636.000,272.000,702.000,351.000,66.000,79.000,44.131,94.459,69.406,0.835443,0.836640,1,668.423,310.513,637.000,272.000,700.000,350.000,64.000,79.000,unknown,1.000,1.000,0.500000,0.836640,0.836640,1.000000,641.354,308.788,1.000000,690.207,311.459,0.000000,668.244,274.972,0.000000,665.928,348.586,1.000000
31,1.250000,mug,679.367,291.552,mug_body_mask,1,679.367,291.552,cotracker_center_fallback,1,675.460,298.923,4618.5,642.000,260.000,710.000,340.000,68.000,80.000,44.291,92.045,69.673,0.850000,0.824609,1,675.594,298.927,645.000,260.000,707.000,339.000,63.000,80.000,unknown,3.000,2.000,0.500000,0.824609,0.824609,1.000000,648.736,296.890,1.000000,694.964,300.038,0.000000,674.507,262.927,0.000000,672.155,337.194,1.000000
32,1.291667,mug,685.491,280.669,mug_body_mask,1,685.491,280.669,cotracker_center_fallback,1,682.575,287.865,4474.0,650.000,249.000,717.000,328.000,67.000,79.000,43.668,89.761,70.132,0.848101,0.824984,1,682.452,287.951,652.000,249.000,713.000,327.000,62.000,79.000,unknown,2.000,3.000,0.500000,0.824984,0.824984,1.000000,654.965,286.053,1.000000,700.034,286.506,0.000000,679.894,251.713,0.000000,678.216,325.267,1.000000
33,1.333333,mug,688.723,277.589,mug_body_mask,1,688.000,277.500,cotracker_box_center,1,688.722,277.618,4437.0,655.000,239.000,722.000,317.000,67.000,78.000,43.536,90.458,67.530,0.858974,0.809989,1,688.920,277.560,658.000,239.000,720.000,316.000,63.000,78.000,unknown,3.000,1.000,1.000000,0.809989,1.000000,1.000000,655.000,277.589,1.000000,721.000,277.589,1.000000,688.723,239.000,1.000000,688.723,316.000,1.000000
