frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score
24,0.766667,654.224,837.632,654.233,837.670,654.233,837.670,center,center,663.500,869.001,869.000,31.369,31.331,bottom_percentile_95,618.350,844.002,human_nearest_mesh_topk,5.037257,5.167245,0.129988,1.000000,0.994571,0.382994,0.947131,0.947131,0.994717,0.054000,0.054000,5.000000,8.000000,left_foot,0.382994,578.822,846.024,6.695570,boundary_015,5.030617,5.002802,5.051892,5.037257,0.947131,0.000838,0.000000,0.000000
25,0.800000,654.207,837.668,654.199,837.666,654.199,837.666,center,center,663.000,868.996,869.000,31.328,31.330,bottom_percentile_95,618.229,842.020,human_nearest_mesh_topk,5.042750,5.342538,0.299789,1.000000,1.000000,0.382039,0.946453,0.946453,1.000000,0.003000,0.003000,5.000000,8.000000,left_foot,0.382039,578.615,845.838,6.694598,boundary_015,5.027071,4.996577,5.047243,5.042750,0.946453,0.003790,0.000000,0.000000
26,0.833333,654.131,837.686,654.119,837.672,654.119,837.672,center,center,663.500,869.010,869.000,31.324,31.338,bottom_percentile_95,618.350,843.990,human_nearest_mesh_topk,5.029273,5.122519,0.093246,1.000000,1.000000,0.374043,1.000000,1.000000,1.000000,0.018000,0.018000,5.000000,8.000000,left_foot,0.374043,577.839,845.697,6.692117,boundary_015,4.999119,4.996014,5.018247,5.029273,1.000000,0.010210,0.000000,0.000000
27,0.866667,654.010,837.632,654.038,837.657,654.038,837.657,center,center,662.000,868.998,869.000,31.366,31.341,bottom_percentile_95,618.351,844.001,human_nearest_mesh_topk,4.999033,5.066892,0.067860,1.000000,1.000000,0.368954,0.922191,0.922191,0.999001,0.036000,0.036000,5.000000,8.000000,left_foot,0.368954,577.327,846.091,6.683447,boundary_015,4.953236,4.998157,4.974290,4.999033,0.922191,0.001600,0.000000,0.000000
28,0.900000,653.935,837.671,653.978,837.652,653.978,837.652,center,center,662.000,869.000,869.000,31.329,31.348,bottom_percentile_95,618.351,844.011,human_nearest_mesh_topk,5.006395,5.113727,0.107331,1.000000,1.000000,0.363184,1.000000,1.000000,0.991845,0.066068,0.003000,5.000000,8.000000,left_foot,0.363184,576.730,846.439,6.676996,boundary_015,4.990242,4.990281,5.012420,5.006395,1.000000,0.000362,0.000000,0.000000
29,0.933333,654.001,837.606,653.947,837.651,653.947,837.651,center,center,662.000,868.992,869.000,31.386,31.341,bottom_percentile_95,618.351,844.013,human_nearest_mesh_topk,5.007072,5.106047,0.098975,1.000000,0.989466,0.367059,1.000000,1.000000,0.991983,0.065490,0.065000,5.000000,8.000000,left_foot,0.367059,577.164,846.497,6.678268,boundary_015,4.985319,4.981416,5.007626,5.007072,1.000000,0.007962,0.000000,0.000000
30,0.966667,653.894,837.668,653.916,837.683,653.916,837.683,center,center,662.000,869.027,869.000,31.359,31.344,bottom_percentile_95,618.354,844.057,human_nearest_mesh_topk,5.015908,5.124487,0.108579,1.000000,0.995971,0.359749,0.997464,0.997464,0.997785,0.041110,0.003000,5.000000,8.000000,left_foot,0.359749,576.546,847.983,6.666778,boundary_015,5.001494,4.980618,5.023138,5.015908,0.997464,0.027105,0.000000,0.000000
31,1.000000,653.917,837.720,653.994,837.689,653.994,837.689,center,center,663.500,869.024,869.000,31.304,31.335,bottom_percentile_95,618.357,844.113,human_nearest_mesh_topk,5.005106,5.134320,0.129213,1.000000,0.997274,0.354004,0.982301,0.982301,1.000000,0.000000,0.000000,5.000000,8.000000,left_foot,0.354004,576.224,849.919,6.658965,boundary_015,4.975488,4.986083,4.996268,5.005106,0.982301,0.023752,0.000000,0.000000
32,1.033333,653.993,837.738,653.693,837.752,653.693,837.752,center,center,663.000,868.905,869.000,31.167,31.153,bottom_percentile_95,618.604,845.089,human_nearest_mesh_topk,4.993821,5.125547,0.131726,1.000000,0.969585,0.338791,0.949704,0.949704,0.984008,0.099000,0.000000,5.000000,8.000000,left_foot,0.338791,574.722,851.217,6.666178,boundary_017,4.965015,4.987385,4.984588,4.993821,0.949704,0.094990,0.000000,0.000000
33,1.066667,653.000,838.000,653.201,838.095,653.201,838.095,center,center,661.500,868.953,869.000,30.953,30.858,bottom_percentile_95,618.358,845.129,human_nearest_mesh_topk,5.003809,5.152370,0.148562,1.000000,0.988101,0.340049,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,left_foot,0.340049,574.738,851.690,6.674597,boundary_015,4.993539,4.991817,5.011981,5.003809,1.000000,0.047352,0.000000,0.000000
