frame,time,object_name,center_x,center_y,center_source,tracking_available,track_center_x,track_center_y,track_center_source,mask_available,mask_center_x,mask_center_y,mask_area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,bbox_w_px,bbox_h_px,lowest_visible_x,lowest_visible_y,lowest_visible_x1,lowest_visible_x2,enclosing_radius_px,major_axis_px,minor_axis_px,aspect_ratio,circularity,body_available,body_center_x,body_center_y,body_bbox_x1,body_bbox_y1,body_bbox_x2,body_bbox_y2,body_bbox_w_px,body_bbox_h_px,handle_side,handle_observed_side,handle_visible,handle_conf,handle_center_x,handle_center_y,handle_bbox_x1,handle_bbox_y1,handle_bbox_x2,handle_bbox_y2,handle_area_px,handle_extra_left_px,handle_extra_right_px,track_geometry_conf,mask_conf,observation_conf,center_visible,left_x,left_y,left_visible,right_x,right_y,right_visible,top_x,top_y,top_visible,bottom_x,bottom_y,bottom_visible
22,0.875000,basketball,539.066,604.311,cotracker_center_fallback,1,539.066,604.311,cotracker_center_fallback,1,541.447,601.544,5244.5,497.000,563.000,585.000,641.000,88.000,78.000,538.500,640.000,532.000,545.000,44.511,88.047,76.837,1.128205,0.888502,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.888502,0.888502,0.000000,503.073,593.741,0.000000,575.909,598.988,0.000000,543.093,460.583,0.000000,540.915,634.052,0.000000
23,0.916667,basketball,538.213,600.868,cotracker_center_fallback,1,538.213,600.868,cotracker_center_fallback,1,540.451,599.107,5149.0,497.000,560.000,584.000,638.000,87.000,78.000,539.500,637.000,532.000,547.000,43.369,86.040,76.749,1.115385,0.866402,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.866402,0.866402,0.000000,502.928,591.594,0.000000,574.523,588.997,0.000000,541.697,461.600,0.000000,541.453,630.027,0.000000
24,0.958333,basketball,533.800,545.411,cotracker_center_fallback,1,533.800,545.411,cotracker_center_fallback,1,535.459,546.309,5856.0,492.000,502.000,580.000,590.000,88.000,88.000,538.000,589.000,537.000,539.000,45.441,88.620,84.392,1.000000,0.885672,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.000000,0.885672,0.885672,0.000000,498.293,536.123,0.000000,572.468,535.333,0.000000,538.111,456.652,0.000000,535.547,576.576,0.000000
25,1.000000,basketball,528.938,505.726,cotracker_center_fallback,1,528.938,505.726,cotracker_center_fallback,1,530.597,503.886,6279.5,487.000,457.000,575.000,548.000,88.000,91.000,530.500,547.000,522.000,539.000,48.130,91.855,88.825,0.967033,0.825497,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.825497,0.825497,0.000000,492.237,496.259,0.000000,567.783,498.766,0.000000,532.064,445.988,1.000000,530.789,541.533,0.000000
26,1.041667,basketball,524.993,474.955,cotracker_center_fallback,1,524.993,474.955,cotracker_center_fallback,1,528.456,473.085,5744.0,484.000,427.000,573.000,516.000,89.000,89.000,523.500,515.000,520.000,527.000,46.376,89.795,81.898,1.000000,0.840344,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.840344,0.840344,0.000000,487.447,471.317,0.000000,565.365,472.001,0.000000,525.837,426.805,1.000000,527.398,509.174,0.000000
27,1.083333,basketball,520.833,452.553,cotracker_center_fallback,1,520.833,452.553,cotracker_center_fallback,1,525.362,449.895,5767.0,481.000,405.000,570.000,493.000,89.000,88.000,524.000,492.000,517.000,531.000,46.099,90.778,81.980,1.011364,0.830378,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.830378,0.830378,0.000000,483.578,448.672,0.000000,563.143,446.911,0.000000,520.562,407.658,1.000000,524.611,486.923,0.000000
28,1.125000,basketball,519.796,436.642,cotracker_center_fallback,1,519.796,436.642,cotracker_center_fallback,1,524.418,434.504,5971.5,480.000,390.000,569.000,479.000,89.000,89.000,523.000,478.000,517.000,529.000,46.719,91.938,82.113,1.000000,0.868116,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.868116,0.868116,0.000000,482.197,433.166,0.000000,561.970,431.573,0.000000,517.416,392.837,1.000000,523.163,471.854,0.000000
29,1.166667,basketball,520.589,428.366,cotracker_center_fallback,1,520.589,428.366,cotracker_center_fallback,1,524.325,424.720,6176.0,479.000,380.000,569.000,469.000,90.000,89.000,522.500,468.000,514.000,531.000,46.909,91.014,86.895,1.011236,0.868481,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.868481,0.868481,0.000000,481.777,424.748,0.000000,561.997,423.678,0.000000,515.153,384.449,1.000000,525.169,464.524,0.000000
30,1.208333,basketball,520.286,424.626,cotracker_center_fallback,1,520.286,424.626,cotracker_center_fallback,1,524.301,420.884,6470.5,479.000,374.000,570.000,467.000,91.000,93.000,524.500,466.000,521.000,528.000,48.050,91.867,90.022,0.978495,0.857089,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.857089,0.857089,0.000000,481.372,420.539,0.000000,562.007,419.314,0.000000,514.979,381.176,1.000000,525.753,461.222,0.000000
31,1.250000,basketball,521.106,427.299,cotracker_center_fallback,1,521.106,427.299,cotracker_center_fallback,1,525.905,424.474,6436.5,481.000,377.000,571.000,471.000,90.000,94.000,529.500,470.000,522.000,537.000,47.877,91.406,89.602,0.957447,0.870419,0,,,,,,,,,,,0,0.000000,,,,,,,0.0,,,0.250000,0.870419,0.870419,0.000000,482.969,422.477,0.000000,562.194,423.419,0.000000,517.637,384.308,1.000000,526.089,465.489,0.000000
