frame,time,tx,ty,tz,radius_m,yaw,pitch,roll,scale,grasp_correction_m,grasp_audio_weight,grasp_active
113,4.666667,-0.012832727,-0.133237537,3.877903967,0.08,0.023828426,-0.024446609,-0.000446342,1.169953181,0.083174770,0.000000,1
114,4.708333,-0.008906363,-0.116340107,3.890481276,0.08,0.024588760,-0.021192054,-0.000295919,1.176705950,0.082378096,0.000000,1
115,4.750000,-0.004607514,-0.100489249,3.902106627,0.08,0.025332765,-0.018463576,-0.000329601,1.180283278,0.082502844,0.000000,1
116,4.791667,-0.000112388,-0.085762124,3.911944950,0.08,0.026114090,-0.013575575,-0.000271625,1.184464967,0.082830907,0.000000,1
117,4.833333,0.004378202,-0.072193749,3.919714893,0.08,0.026882582,-0.006224304,-0.000062949,1.188928120,0.082849327,0.000000,1
118,4.875000,0.008596225,-0.059808329,3.925861985,0.08,0.027611220,-0.000507862,0.000073975,1.190178014,0.082239594,0.000000,1
119,4.916667,0.012355807,-0.048684333,3.930781600,0.08,0.028301979,0.002986658,-0.000038502,1.190091027,0.080927992,0.000000,1
120,4.958333,0.015631427,-0.038881181,3.934555300,0.08,0.028954158,0.003802488,0.000014772,1.192613156,0.079077480,0.000000,1
121,5.000000,0.018505329,-0.030431631,3.937186162,0.08,0.029578671,0.000677247,0.000109354,1.191537193,0.076946527,0.000000,1
122,5.041667,0.021105183,-0.023306197,3.938730650,0.08,0.030217392,-0.004240343,0.000145730,1.192846550,0.074821751,0.000000,1
123,5.083333,0.023524330,-0.017419694,3.939476527,0.08,0.030898532,-0.008052673,0.000231751,1.193973464,0.072905885,0.000000,1
124,5.125000,0.025831748,-0.012594262,3.939225789,0.08,0.031586959,-0.010203182,-0.000430203,1.193244375,0.071431829,0.000000,1
125,5.166667,0.028066195,-0.008587031,3.938004330,0.08,0.032254213,-0.010747803,-0.000219317,1.192843578,0.070682009,0.000000,1
126,5.208333,0.030271017,-0.005140454,3.935716589,0.08,0.032865113,-0.010148251,-0.000146293,1.190320899,0.070955021,0.000000,1
127,5.250000,0.032489642,-0.002014759,3.932293894,0.08,0.033411427,-0.009907740,-0.000167771,1.190703573,0.072503419,0.000000,1
128,5.291667,0.034729178,0.000962738,3.928041246,0.08,0.033891841,-0.006987641,-0.000279881,1.188947014,0.075443830,0.135335,1
129,5.333333,0.036863700,0.003848204,3.923233152,0.08,0.034306499,-0.004574376,-0.000268396,1.185194331,0.079461427,0.249352,1
130,5.375000,0.038792492,0.006601851,3.918447878,0.08,0.034644544,-0.002424280,-0.000383481,1.178107418,0.084106437,0.411112,1
