frame,time,active_side,active_object_point_id,active_object_u,active_object_v,min_object_boundary_gap_px,active_part_distance_px,proposal_score,anchor_score,confidence_level,is_candidate,anchor_contact_state
205,8.500000,right,left,549.355,299.838,141.170768,141.170768,0.000000,0.000000,none,0,0
206,8.541667,right,left,545.971,293.930,141.521174,141.521174,0.000000,0.000000,none,0,0
207,8.583333,right,left,542.771,287.702,146.096445,146.096445,0.000000,0.000000,none,0,0
208,8.625000,right,left,540.057,283.762,157.845306,157.845306,0.000000,0.000000,none,0,0
209,8.666667,right,right,585.848,282.225,166.909129,166.909129,0.000000,0.000000,none,0,0
210,8.708333,right,top,547.301,270.986,175.417343,175.417343,0.000000,0.000000,none,0,0
211,8.750000,right,top,543.232,275.000,191.417777,191.417777,0.000000,0.000000,none,0,0
212,8.791667,right,top,538.969,282.952,206.405110,206.405110,0.000000,0.000000,none,0,0
213,8.833333,right,top,534.314,293.156,218.990571,218.990571,0.000000,0.000000,none,0,0
214,8.875000,right,bottom,564.905,319.923,235.517554,235.517554,0.000000,0.000000,none,0,0
215,8.916667,right,bottom,565.714,325.403,233.130859,233.130859,0.000000,0.000000,none,0,0
216,8.958333,right,top,533.489,315.862,220.899180,220.899180,0.000000,0.000000,none,0,0
217,9.000000,left,top,532.672,322.414,216.970028,216.970028,0.000000,0.000000,none,0,0
218,9.041667,left,top,535.050,329.832,211.813269,211.813269,0.000000,0.000000,none,0,0
219,9.083333,left,top,537.617,336.457,202.814350,202.814350,0.000000,0.000000,none,0,0
220,9.125000,left,top,539.983,341.786,186.344099,186.344099,0.000000,0.000000,none,0,0
221,9.166667,left,top,539.672,346.073,164.156060,164.156060,0.000000,0.000000,none,0,0
222,9.208333,left,top,536.734,347.458,135.864750,135.864750,0.021281,0.000000,none,0,0
223,9.250000,left,top,529.711,346.165,102.650448,102.650448,0.074474,0.000000,none,0,0
224,9.291667,left,top,520.406,340.706,60.453273,60.453273,0.106133,0.001954,none,0,0
225,9.333333,left,top,507.766,329.527,34.883286,34.883286,0.137369,0.084106,none,0,0
226,9.375000,left,bottom,528.919,345.840,23.890231,23.890231,0.227954,0.227954,none,1,0
227,9.416667,left,bottom,511.769,327.207,65.518984,65.518984,0.231760,0.000730,none,0,0
228,9.458333,left,bottom,496.115,300.484,115.472030,115.472030,0.310805,0.000000,none,0,0
229,9.500000,left,bottom,484.622,271.043,158.253668,158.253668,0.253538,0.000000,none,0,0
230,9.541667,left,bottom,480.059,234.259,198.167650,198.167650,0.043874,0.000000,none,0,0
231,9.583333,left,bottom,478.742,202.142,228.406499,228.406499,0.098899,0.000000,none,0,0
232,9.625000,left,bottom,478.061,175.021,252.515256,252.515256,0.088600,0.000000,none,0,0
233,9.666667,left,bottom,480.798,150.468,270.236118,270.236118,0.141852,0.000000,none,0,0
234,9.708333,left,left,453.732,95.408,327.776105,327.776105,0.122988,0.000000,none,0,0
235,9.750000,left,left,458.012,78.630,336.109336,336.109336,0.027552,0.000000,none,0,0
236,9.791667,left,left,461.877,67.871,337.356513,337.356513,0.005756,0.000000,none,0,0
237,9.833333,left,left,465.244,61.245,335.177359,335.177359,0.047124,0.000000,none,0,0
238,9.875000,left,left,469.615,60.003,325.080035,325.080035,0.054100,0.000000,none,0,0
239,9.916667,left,left,474.293,62.815,310.270687,310.270687,0.000000,0.000000,none,0,0
240,9.958333,left,left,480.512,71.263,287.866340,287.866340,0.000000,0.000000,none,0,0
