frame,observed_mask,rendered_mask,iou,coverage,render_false_coverage,observed_area_px,rendered_area_px
91,samples_known_object/13_volleyball/results/segmentation/masks/00091_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00091_mask.pgm,0.8846441947565543,0.8846441947565543,0.0,4005.0,3543.0
92,samples_known_object/13_volleyball/results/segmentation/masks/00092_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00092_mask.pgm,0.9331564986737401,0.9383835689517205,0.00593387962701328,3749.0,3539.0
93,samples_known_object/13_volleyball/results/segmentation/masks/00093_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00093_mask.pgm,0.8722774939499865,0.9432974701948241,0.07945516458569807,3439.0,3524.0
94,samples_known_object/13_volleyball/results/segmentation/masks/00094_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00094_mask.pgm,0.8967020986644862,0.9583454704340227,0.06693136698808849,3433.0,3526.0
95,samples_known_object/13_volleyball/results/segmentation/masks/00095_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00095_mask.pgm,0.9003789929615593,0.9568469505178366,0.061512415349887134,3476.0,3544.0
96,samples_known_object/13_volleyball/results/segmentation/masks/00096_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00096_mask.pgm,0.8913857677902621,0.9541809851088202,0.06875349357182783,3492.0,3578.0
97,samples_known_object/13_volleyball/results/segmentation/masks/00097_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00097_mask.pgm,0.8436842105263158,0.9387994143484627,0.10721247563352826,3415.0,3591.0
98,samples_known_object/13_volleyball/results/segmentation/masks/00098_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00098_mask.pgm,0.8880989994734071,0.9445533464015682,0.06305555555555556,3571.0,3600.0
99,samples_known_object/13_volleyball/results/segmentation/masks/00099_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00099_mask.pgm,0.932392866648922,0.9555373704309874,0.02531997774067891,3666.0,3594.0
100,samples_known_object/13_volleyball/results/segmentation/masks/00100_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00100_mask.pgm,0.9301103520756699,0.9417398244213887,0.013102871480345692,3759.0,3587.0
101,samples_known_object/13_volleyball/results/segmentation/masks/00101_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00101_mask.pgm,0.8793774319066148,0.9680395387149917,0.09432799013563502,3035.0,3244.0
102,samples_known_object/13_volleyball/results/segmentation/masks/00102_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00102_mask.pgm,0.6954545454545454,0.9702439024390244,0.28938906752411575,2050.0,2799.0
103,samples_known_object/13_volleyball/results/segmentation/masks/00103_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00103_mask.pgm,0.47905652704351365,1.0,0.5209434729564864,1178.0,2459.0
104,samples_known_object/13_volleyball/results/segmentation/masks/00104_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00104_mask.pgm,0.2920035938903863,1.0,0.7079964061096137,650.0,2226.0
105,samples_known_object/13_volleyball/results/segmentation/masks/00105_mask.png,samples_known_object/13_volleyball/results/final_full_4d_hoi/evaluation/render_masks/00105_mask.pgm,0.2213383247543285,1.0,0.7786616752456715,473.0,2137.0
