frame,time,left_detected,left_wrist_x,left_wrist_y,left_wrist_z,left_palm_x,left_palm_y,left_palm_z,left_thumb_tip_x,left_thumb_tip_y,left_thumb_tip_z,left_index_tip_x,left_index_tip_y,left_index_tip_z,left_middle_tip_x,left_middle_tip_y,left_middle_tip_z,left_ring_tip_x,left_ring_tip_y,left_ring_tip_z,left_pinky_tip_x,left_pinky_tip_y,left_pinky_tip_z,right_detected,right_wrist_x,right_wrist_y,right_wrist_z,right_palm_x,right_palm_y,right_palm_z,right_thumb_tip_x,right_thumb_tip_y,right_thumb_tip_z,right_index_tip_x,right_index_tip_y,right_index_tip_z,right_middle_tip_x,right_middle_tip_y,right_middle_tip_z,right_ring_tip_x,right_ring_tip_y,right_ring_tip_z,right_pinky_tip_x,right_pinky_tip_y,right_pinky_tip_z
22,0.916667,1,-0.146436,-0.123163,3.959131,-0.210263,-0.102441,3.950011,-0.247659,-0.127433,3.884726,-0.265866,-0.098310,3.888274,-0.244892,-0.092091,3.884387,-0.229900,-0.079155,3.888097,-0.218770,-0.067217,3.901344,1,-0.684125,-0.015680,3.743853,-0.685606,0.051959,3.734915,-0.631714,0.095613,3.743624,-0.632962,0.120012,3.757318,-0.642371,0.121597,3.770172,-0.658342,0.115803,3.780349,-0.678695,0.102770,3.781529
23,0.958333,1,-0.152324,-0.136611,3.952866,-0.215909,-0.117651,3.942946,-0.250921,-0.145568,3.876794,-0.273478,-0.117569,3.880104,-0.255856,-0.108403,3.875119,-0.242234,-0.092223,3.878857,-0.228870,-0.080792,3.893572,1,-0.682606,-0.014311,3.744750,-0.683119,0.053445,3.734951,-0.628345,0.096625,3.744239,-0.630047,0.121196,3.757445,-0.639484,0.123140,3.770138,-0.655589,0.117943,3.780021,-0.676124,0.104910,3.781318
24,1.000000,1,-0.158342,-0.151486,3.946550,-0.222028,-0.135517,3.935865,-0.252580,-0.159872,3.867159,-0.279054,-0.137576,3.871123,-0.263520,-0.126293,3.866937,-0.252290,-0.107664,3.871969,-0.238152,-0.095961,3.888935,1,-0.680814,-0.012576,3.744921,-0.680776,0.055095,3.734966,-0.624914,0.097822,3.744830,-0.627213,0.122734,3.757737,-0.636867,0.124883,3.770287,-0.653131,0.119804,3.780005,-0.673760,0.106573,3.781424
25,1.041667,1,-0.163166,-0.166966,3.938879,-0.228223,-0.155796,3.928831,-0.253433,-0.169203,3.857360,-0.284400,-0.158675,3.862911,-0.268989,-0.145647,3.860909,-0.259891,-0.125833,3.867691,-0.246790,-0.113250,3.887015,1,-0.677401,-0.010583,3.744046,-0.678601,0.056865,3.734865,-0.621558,0.099129,3.745079,-0.624497,0.124445,3.757965,-0.634543,0.126710,3.770442,-0.650869,0.121356,3.780185,-0.671441,0.107773,3.781824
26,1.083333,1,-0.169042,-0.181250,3.932022,-0.233976,-0.177642,3.921463,-0.254270,-0.176044,3.847976,-0.290991,-0.183155,3.855401,-0.275885,-0.167836,3.856046,-0.267872,-0.147037,3.864343,-0.256585,-0.133163,3.885682,1,-0.676300,-0.008777,3.743032,-0.676718,0.058663,3.734407,-0.618413,0.100425,3.744582,-0.622081,0.126000,3.757599,-0.632527,0.128402,3.770109,-0.648665,0.122624,3.780081,-0.668982,0.108736,3.782143
27,1.125000,1,-0.173976,-0.196016,3.924955,-0.238956,-0.200341,3.913255,-0.256050,-0.183805,3.838711,-0.298732,-0.212541,3.847444,-0.287177,-0.193785,3.850753,-0.279418,-0.171128,3.860602,-0.269303,-0.155829,3.883928,1,-0.675693,-0.007390,3.741835,-0.675112,0.060442,3.733378,-0.615628,0.101664,3.743132,-0.620035,0.127219,3.756265,-0.630663,0.129800,3.768928,-0.646287,0.123709,3.779228,-0.666194,0.109818,3.781806
28,1.166667,1,-0.179226,-0.211972,3.917704,-0.243418,-0.223244,3.904991,-0.260612,-0.194320,3.830387,-0.307829,-0.244191,3.840874,-0.302710,-0.221439,3.846536,-0.294916,-0.197205,3.858447,-0.284389,-0.180909,3.883864,1,-0.673720,-0.005431,3.740832,-0.673653,0.062177,3.731695,-0.613305,0.102850,3.740837,-0.618285,0.128163,3.753942,-0.628789,0.130851,3.766882,-0.643653,0.124632,3.777459,-0.663147,0.111174,3.780375
29,1.208333,1,-0.185170,-0.228738,3.908029,-0.247956,-0.245047,3.898513,-0.268827,-0.209847,3.824859,-0.318815,-0.273193,3.840047,-0.319681,-0.247995,3.846983,-0.311796,-0.224491,3.860861,-0.299137,-0.207927,3.887509,1,-0.673061,-0.003268,3.737851,-0.672321,0.063765,3.729538,-0.611373,0.103887,3.738034,-0.616723,0.129012,3.750928,-0.626984,0.131610,3.764242,-0.641083,0.125396,3.774966,-0.660376,0.112720,3.777894
30,1.250000,1,-0.189523,-0.244216,3.899665,-0.252806,-0.264487,3.894299,-0.277944,-0.234176,3.824048,-0.330461,-0.297286,3.845996,-0.334835,-0.273288,3.852584,-0.326612,-0.252705,3.866948,-0.310710,-0.235961,3.892526,1,-0.671634,-0.001814,3.734260,-0.671244,0.065069,3.727485,-0.609618,0.104602,3.735296,-0.615307,0.129924,3.747931,-0.625539,0.132274,3.761625,-0.639169,0.126206,3.772384,-0.658631,0.114322,3.775087
31,1.291667,1,-0.194588,-0.262784,3.894501,-0.257501,-0.281527,3.889772,-0.280928,-0.270621,3.828646,-0.338986,-0.317965,3.852398,-0.344447,-0.298449,3.856879,-0.335421,-0.280501,3.869140,-0.316420,-0.262404,3.890587,1,-0.672354,-0.000782,3.734825,-0.670587,0.066041,3.726152,-0.607967,0.104960,3.733338,-0.614181,0.130947,3.745777,-0.624747,0.133059,3.759751,-0.638323,0.127237,3.770503,-0.658270,0.115740,3.772951
