frame,time,contact_active,human_part,human_side,object_part,object_local_id,contact_u,contact_v,contact_depth_offset_m,contact_conf,anchor_score,source
182,7.541667,0,none,left,none,grid_05_08,456.145,95.073,-0.057315,0.162210,0.000000,hand_floor_from_anchor_floor_candidates
183,7.583333,0,none,left,none,grid_05_09,494.264,106.364,-0.252589,0.442016,0.000000,hand_floor_from_anchor_floor_candidates
184,7.625000,1,hand,left,ball_boundary,bottom,521.294,152.513,-0.259482,0.871318,0.224573,hand_floor_from_anchor_floor_candidates
185,7.666667,1,hand,left,ball_boundary,bottom,538.050,165.684,-0.089348,0.799889,0.475940,hand_floor_from_anchor_floor_candidates
186,7.708333,1,hand,left,ball_boundary,bottom,545.486,172.720,-0.024807,0.866087,0.702548,hand_floor_from_anchor_floor_candidates
187,7.750000,1,hand,left,ball_boundary,bottom,551.624,182.656,-0.025593,0.827610,0.665083,hand_floor_from_anchor_floor_candidates
188,7.791667,1,hand,left,ball_boundary,bottom,555.559,195.227,0.024868,0.825931,0.498450,hand_floor_from_anchor_floor_candidates
189,7.833333,1,hand,left,ball_boundary,bottom,557.674,212.131,0.041692,0.856057,0.210111,hand_floor_from_anchor_floor_candidates
190,7.875000,0,none,left,none,bottom,558.262,230.737,-0.019462,0.859345,0.487904,hand_floor_from_anchor_floor_candidates
191,7.916667,0,none,left,none,bottom,559.188,251.288,0.021311,0.818690,0.614785,hand_floor_from_anchor_floor_candidates
192,7.958333,0,none,left,none,bottom,562.335,271.409,0.000641,0.838517,0.739012,hand_floor_from_anchor_floor_candidates
193,8.000000,0,none,left,none,left,535.185,265.100,-0.007335,0.820191,0.843673,hand_floor_from_anchor_floor_candidates
194,8.041667,0,none,left,none,top,556.644,267.383,-0.000238,0.790035,0.925039,hand_floor_from_anchor_floor_candidates
195,8.083333,0,none,left,none,top,565.238,281.113,-0.036919,0.723481,0.996318,hand_floor_from_anchor_floor_candidates
196,8.125000,0,none,left,none,left,559.275,308.128,-0.023184,0.677014,1.000000,hand_floor_from_anchor_floor_candidates
197,8.166667,0,none,left,none,left,565.902,316.299,-0.058804,0.657296,1.000000,hand_floor_from_anchor_floor_candidates
198,8.208333,0,none,right,none,bottom,603.541,333.520,-0.074845,0.619817,1.000000,hand_floor_from_anchor_floor_candidates
199,8.250000,1,floor,,floor_support,bottom,605.680,334.671,-0.106565,0.618228,1.000000,hand_floor_from_anchor_floor_candidates
200,8.291667,0,none,right,none,bottom,605.041,334.332,-0.142322,0.627391,1.000000,hand_floor_from_anchor_floor_candidates
201,8.333333,0,none,right,none,left,565.584,319.754,-0.138590,0.625528,1.000000,hand_floor_from_anchor_floor_candidates
202,8.375000,0,none,right,none,left,563.202,316.664,-0.137830,0.643842,1.000000,hand_floor_from_anchor_floor_candidates
203,8.416667,0,none,right,none,top,574.377,297.335,-0.113831,0.650403,1.000000,hand_floor_from_anchor_floor_candidates
204,8.458333,0,none,right,none,left,553.342,307.161,-0.111652,0.641673,1.000000,hand_floor_from_anchor_floor_candidates
205,8.500000,0,none,right,none,left,549.355,299.838,-0.084271,0.522217,1.000000,hand_floor_from_anchor_floor_candidates
206,8.541667,0,none,right,none,left,545.971,293.930,-0.102089,0.524517,0.990341,hand_floor_from_anchor_floor_candidates
207,8.583333,0,none,right,none,left,542.771,287.702,-0.075979,0.508295,0.963485,hand_floor_from_anchor_floor_candidates
208,8.625000,0,none,right,none,left,540.057,283.762,-0.142095,0.496796,0.942950,hand_floor_from_anchor_floor_candidates
209,8.666667,0,none,right,none,right,585.848,282.225,-0.098949,0.470507,0.920032,hand_floor_from_anchor_floor_candidates
210,8.708333,0,none,right,none,top,547.301,270.986,-0.061312,0.598133,0.921070,hand_floor_from_anchor_floor_candidates
211,8.750000,0,none,right,none,top,543.232,275.000,-0.020146,0.615997,0.933084,hand_floor_from_anchor_floor_candidates
212,8.791667,0,none,right,none,top,538.969,282.952,-0.016419,0.666926,0.960972,hand_floor_from_anchor_floor_candidates
213,8.833333,0,none,right,none,top,534.314,293.156,-0.016282,0.743596,1.000000,hand_floor_from_anchor_floor_candidates
214,8.875000,0,none,right,none,bottom,564.905,319.923,-0.067737,0.778340,1.000000,hand_floor_from_anchor_floor_candidates
215,8.916667,0,none,right,none,bottom,565.714,325.403,-0.043678,0.808619,1.000000,hand_floor_from_anchor_floor_candidates
216,8.958333,0,none,right,none,top,533.489,315.862,-0.055803,0.791764,1.000000,hand_floor_from_anchor_floor_candidates
217,9.000000,0,none,left,none,top,532.672,322.414,-0.081916,0.793463,1.000000,hand_floor_from_anchor_floor_candidates
218,9.041667,0,none,left,none,top,535.050,329.832,-0.115583,0.812272,1.000000,hand_floor_from_anchor_floor_candidates
219,9.083333,0,none,left,none,top,537.617,336.457,-0.113623,0.807803,1.000000,hand_floor_from_anchor_floor_candidates
