frame,visual_spike,raw_visual_spike,contact_spike,smoothness_spike,freeze_or_propagate,motion_regime,pre_smooth_translation_jump_m,final_translation_jump_m,visual_spike_threshold_m,velocity_spike_threshold,accel_spike_threshold,se3_velocity_spike,se3_accel_spike,raw_se3_velocity_spike,raw_se3_accel_spike,delta_translation_m,delta_rotation_rad
81,0,0,0,0,optimize,uniform_motion,0.036298,0.022883,0.180000,0.220000,0.220000,0,0,0,0,0.025822,0.000000
82,0,0,0,0,optimize,uniform_motion,0.031924,0.020489,0.180000,0.220000,0.220000,0,0,0,0,0.042019,0.000000
83,0,0,0,0,optimize,uniform_motion,0.033842,0.016257,0.180000,0.220000,0.220000,0,0,0,0,0.064292,0.000000
84,0,0,0,0,optimize,uniform_motion,0.037065,0.008045,0.180000,0.220000,0.220000,0,0,0,0,0.095657,0.000000
85,0,0,0,0,optimize,uniform_motion,0.037517,0.004585,0.180000,0.220000,0.220000,0,0,0,0,0.129356,0.000000
86,0,0,0,0,optimize,free_motion,0.094890,0.013233,0.180000,0.220000,0.220000,0,0,0,0,0.230981,0.000000
87,0,0,0,0,optimize,low_speed,0.020409,0.014756,0.100000,0.120000,0.120000,0,0,0,0,0.232187,0.000000
88,0,0,0,0,optimize,uniform_motion,0.031618,0.017303,0.180000,0.220000,0.220000,0,0,0,0,0.219166,0.000000
89,0,0,0,0,optimize,free_motion,0.101792,0.019719,0.180000,0.220000,0.220000,0,1,0,0,0.147226,0.000000
90,1,0,0,0,optimize,free_motion,0.128212,0.191651,0.180000,0.220000,0.220000,1,0,0,0,0.140837,0.000000
91,1,1,0,0,optimize,free_motion,0.182782,0.192743,0.180000,0.220000,0.220000,1,0,0,0,0.156947,0.000000
92,0,1,0,0,optimize,high_speed,0.454253,0.192683,0.300000,0.420000,0.340000,1,0,1,0,0.160810,0.000000
93,1,0,0,0,optimize,sustained_grasp,0.174973,0.191203,0.180000,0.220000,0.220000,1,1,0,0,0.211821,0.000000
94,0,0,0,0,optimize,sustained_grasp,0.069688,0.021314,0.180000,0.220000,0.220000,0,0,0,0,0.251172,0.000000
95,0,0,0,0,optimize,sustained_grasp,0.039516,0.019587,0.180000,0.220000,0.220000,0,0,0,0,0.245621,0.000000
96,0,0,0,0,optimize,sustained_grasp,0.030299,0.012312,0.180000,0.220000,0.220000,0,0,0,0,0.212788,0.000000
97,0,0,0,0,optimize,sustained_grasp,0.041984,0.009540,0.180000,0.220000,0.220000,0,0,0,0,0.171396,0.000000
98,0,0,0,0,optimize,free_motion,0.063108,0.004001,0.180000,0.220000,0.220000,0,0,0,0,0.109561,0.000000
99,0,0,0,0,optimize,uniform_motion,0.049449,0.004171,0.180000,0.220000,0.220000,0,1,0,0,0.068459,0.000000
100,0,1,0,0,optimize,free_motion,0.203753,0.145157,0.180000,0.220000,0.220000,0,1,0,0,0.025057,0.000000
101,0,1,0,0,optimize,high_speed,0.271401,0.275478,0.300000,0.420000,0.340000,1,0,0,0,0.024864,0.000000
102,1,1,0,1,optimize,free_motion,0.235906,0.277230,0.180000,0.220000,0.220000,1,0,0,0,0.077033,0.000000
103,0,1,0,0,optimize,high_speed,0.365847,0.277921,0.300000,0.420000,0.340000,1,0,1,0,0.094010,0.000000
104,0,1,0,0,optimize,high_speed,0.325525,0.276535,0.300000,0.420000,0.340000,1,1,1,0,0.144608,0.000000
105,0,0,0,0,optimize,free_motion,0.065916,0.008430,0.180000,0.220000,0.220000,0,0,0,0,0.202516,0.000000
106,0,0,0,0,optimize,static_hold,0.003276,0.009484,0.100000,0.120000,0.120000,0,0,0,0,0.213742,0.000000
107,0,0,0,0,optimize,static_hold,0.003994,0.010039,0.100000,0.120000,0.120000,0,0,0,0,0.220453,0.000000
108,0,0,0,0,optimize,static_hold,0.011986,0.010458,0.100000,0.120000,0.120000,0,0,0,0,0.220781,0.000000
109,0,0,0,0,optimize,uniform_motion,0.051631,0.011374,0.180000,0.220000,0.220000,0,0,0,0,0.181263,0.000000
110,0,1,0,0,optimize,free_motion,0.218530,0.014498,0.180000,0.220000,0.220000,0,1,0,0,0.117806,0.000000
111,0,0,0,0,optimize,free_motion,0.110533,0.152821,0.180000,0.220000,0.220000,0,0,0,0,0.036060,0.000000
112,0,0,0,0,optimize,free_motion,0.084664,0.153613,0.180000,0.220000,0.220000,0,0,0,0,0.090010,0.000000
113,0,1,0,0,optimize,sustained_grasp,0.205034,0.153472,0.180000,0.220000,0.220000,0,0,0,0,0.111737,0.000000
114,0,1,0,0,optimize,sustained_grasp_high_speed,0.417434,0.152431,0.300000,0.420000,0.340000,0,0,1,0,0.276126,0.000000
115,0,1,0,0,optimize,sustained_grasp,0.228862,0.150639,0.180000,0.220000,0.220000,0,1,0,0,0.368409,0.000000
116,0,0,0,0,optimize,sustained_grasp,0.018606,0.016842,0.180000,0.220000,0.220000,0,0,0,0,0.357284,0.000000
117,0,0,0,0,optimize,sustained_grasp,0.046499,0.018522,0.180000,0.220000,0.220000,0,0,0,0,0.333535,0.000000
118,0,0,0,0,optimize,sustained_grasp,0.046192,0.020029,0.180000,0.220000,0.220000,0,0,0,1,0.320612,0.000000
119,0,1,0,0,optimize,high_speed,0.441047,0.035541,0.300000,0.420000,0.340000,0,0,1,0,0.103921,0.000000
120,0,0,0,0,optimize,free_motion,0.081940,0.035935,0.180000,0.220000,0.220000,0,0,0,0,0.137619,0.000000
121,0,0,0,0,optimize,low_speed,0.028114,0.035500,0.100000,0.120000,0.120000,0,0,0,0,0.118751,0.000000
122,0,0,0,0,optimize,uniform_motion,0.060980,0.034468,0.180000,0.220000,0.220000,0,0,0,0,0.153123,0.000000
123,0,0,0,0,optimize,low_speed,0.014036,0.033135,0.100000,0.120000,0.120000,0,0,0,0,0.145341,0.000000
124,0,0,0,0,optimize,low_speed,0.026678,0.003108,0.100000,0.120000,0.120000,0,0,0,0,0.166620,0.000000
125,0,0,0,0,optimize,low_speed,0.012989,0.002322,0.100000,0.120000,0.120000,0,0,0,0,0.158688,0.000000
126,0,0,0,0,optimize,low_speed,0.020106,0.002426,0.100000,0.120000,0.120000,0,0,0,0,0.147828,0.000000
127,0,0,0,0,optimize,uniform_motion,0.043633,0.004441,0.180000,0.220000,0.220000,0,0,0,0,0.110891,0.000000
128,0,0,0,0,optimize,free_motion,0.077426,0.012279,0.180000,0.220000,0.220000,0,1,0,0,0.051036,0.000000
129,0,1,0,0,optimize,high_speed,0.256664,0.221824,0.300000,0.420000,0.340000,1,0,0,0,0.089241,0.000000
130,0,1,0,0,optimize,high_speed,0.418946,0.221981,0.300000,0.420000,0.340000,1,1,1,0,0.253966,0.000000
131,0,0,0,0,optimize,sustained_grasp,0.076962,0.066280,0.180000,0.220000,0.220000,0,0,0,0,0.294865,0.000000
132,0,0,0,0,optimize,sustained_grasp,0.021976,0.006186,0.180000,0.220000,0.220000,0,0,0,0,0.280611,0.000000
133,0,0,0,0,optimize,sustained_grasp,0.057950,0.006310,0.180000,0.220000,0.220000,0,0,0,0,0.237594,0.000000
134,0,0,0,0,optimize,sustained_grasp,0.069794,0.006799,0.180000,0.220000,0.220000,0,0,0,0,0.195664,0.000000
135,0,1,0,0,optimize,sustained_grasp_high_speed,0.240053,0.085406,0.300000,0.420000,0.340000,0,0,0,0,0.110072,0.000000
136,0,0,0,1,optimize,sustained_grasp,0.111005,0.087071,0.180000,0.220000,0.220000,0,1,0,1,0.135627,0.000000
137,1,1,0,1,optimize,high_speed,0.586014,1.039399,0.300000,0.420000,0.340000,1,0,1,1,0.532971,0.000000
138,1,1,0,1,optimize,high_speed,2.148425,1.052886,0.300000,0.420000,0.340000,1,1,1,1,0.899984,0.000000
139,1,1,0,1,optimize,high_speed,0.252029,0.387034,0.300000,0.420000,0.340000,1,1,0,0,0.493394,0.000000
140,0,0,0,1,optimize,uniform_motion,0.061072,0.032541,0.180000,0.220000,0.220000,0,1,0,1,0.459551,0.000000
141,0,1,0,0,optimize,high_speed,0.435203,0.224369,0.300000,0.420000,0.340000,1,0,1,1,0.357584,0.000000
142,1,0,0,1,optimize,uniform_motion,0.055154,0.226511,0.180000,0.220000,0.220000,1,0,0,1,0.406897,0.000000
