frame,time,ref_u,ref_v,ref_u_smooth,ref_v_smooth,ref_u_fit,ref_v_fit,ref_source,ref_type,support_u,support_v,support_v_raw,support_dv,support_dv_smooth,support_source,contact_u,contact_v,contact_source,object_ref_depth_m,contact_proxy_depth_m,contact_depth_offset_m,ref_conf,support_conf,contact_conf,depth_conf,observation_conf,proxy_conf,proxy_jitter_px,support_jitter_px,proxy_sigma_px,support_sigma_px,active_label,active_label_conf,active_part_u,active_part_v,active_part_z,contact_proxy_name,da3_depth_raw,da3_depth_smooth,object_depth_raw,object_depth_smooth,object_depth_confidence,support_gap_px,object_motion_score,audio_score,radius_px
52,2.125000,537.138,74.677,537.138,74.677,537.138,74.677,cotracker_sam2_mask_points,center,537.138,95.006,95.006,20.329,20.329,cotracker_bottom,,,stage2_contact_policy,3.484004,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.484004,3.484004,3.484004,3.484004,1.000000,0.000000,,,35.522
53,2.166667,539.527,56.318,539.527,56.318,539.527,56.318,cotracker_sam2_mask_points,center,539.527,76.139,76.139,19.821,19.821,cotracker_bottom,,,stage2_contact_policy,3.517668,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.517668,3.517668,3.517668,3.517668,1.000000,0.000000,,,35.427
54,2.208333,541.468,40.540,541.468,40.540,541.468,40.540,cotracker_sam2_mask_points,center,541.468,59.750,59.750,19.210,19.210,cotracker_bottom,,,stage2_contact_policy,3.861777,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.861777,3.861777,3.861777,3.861777,1.000000,0.000000,,,34.697
55,2.250000,542.892,29.250,542.892,29.250,542.892,29.250,cotracker_sam2_mask_points,center,542.892,47.461,47.461,18.211,18.211,cotracker_bottom,,,stage2_contact_policy,3.865659,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.973237,3.865659,3.865659,3.865659,1.000000,0.000000,,,33.715
56,2.291667,544.309,22.382,544.309,22.382,544.309,22.382,cotracker_sam2_mask_points,center,544.309,39.935,39.935,17.553,17.553,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.877968,3.877968,3.877968,3.877968,1.000000,0.000000,,,32.425
57,2.333333,544.843,19.937,544.843,19.937,544.843,19.937,cotracker_sam2_mask_points,center,544.843,37.238,37.238,17.301,17.301,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.894228,3.877968,3.877968,3.877968,1.000000,0.000000,,,31.880
58,2.375000,547.014,22.667,547.014,22.667,547.014,22.667,cotracker_sam2_mask_points,center,547.014,40.073,40.073,17.406,17.406,cotracker_bottom,,,stage2_contact_policy,3.877968,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.865659,3.877968,3.877968,3.877968,1.000000,0.000000,,,32.733
59,2.416667,549.152,28.471,549.152,28.471,549.152,28.471,cotracker_sam2_mask_points,center,549.152,45.994,45.994,17.523,17.523,cotracker_bottom,,,stage2_contact_policy,3.865659,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.939209,3.865659,3.865659,3.865659,1.000000,0.000000,,,34.095
60,2.458333,550.465,38.323,550.465,38.323,550.465,38.323,cotracker_sam2_mask_points,center,550.465,56.568,56.568,18.245,18.245,cotracker_bottom,,,stage2_contact_policy,3.861124,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.861124,3.861124,3.861124,3.861124,1.000000,0.000000,,,35.238
61,2.500000,552.287,54.328,552.287,54.328,552.287,54.328,cotracker_sam2_mask_points,center,552.287,72.179,72.179,17.851,17.851,cotracker_bottom,,,stage2_contact_policy,3.805759,,,1.000000,0.000000,0.000000,1.000000,1.000000,1.000000,0.000000,0.000000,5.000000,8.000000,,,,,,,3.805759,3.805759,3.805759,3.805759,1.000000,0.000000,,,35.052
