frame,motion_regime,sequence_se3_optimizer_enabled,visual_residual_enabled,contact_anchor_residual_enabled,depth_residual_enabled,geometry_residual_enabled,velocity_residual_enabled,acceleration_residual_enabled,static_freeze_residual_enabled,boundary_freeze_interpolation_enabled,static_tail_freeze_enabled,trust_weight,smooth_weight,accel_weight,feedback_reoptimized,feedback_reweight_reason,visual_prior_reason,overlay_prior_reason,pose_lock_reason,decision_source
18,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.865000,1.096667,1,,,,,generic_sequence_se3_mainline
19,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.616667,1,,,,,generic_sequence_se3_mainline
20,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.616667,1,,,,,generic_sequence_se3_mainline
21,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.800000,1,,,,,generic_sequence_se3_mainline
22,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.800000,1,,,,,generic_sequence_se3_mainline
23,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.616667,1,,,,,generic_sequence_se3_mainline
24,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.300000,1.433333,1,,,,,generic_sequence_se3_mainline
25,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.040000,1,,,,,generic_sequence_se3_mainline
26,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
27,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
28,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.520000,1,,,,,generic_sequence_se3_mainline
29,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.686667,1,,,,,generic_sequence_se3_mainline
30,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.885000,1.006667,1,,,,,generic_sequence_se3_mainline
31,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.913333,1,,,,,generic_sequence_se3_mainline
32,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
33,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.942394,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
34,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.893828,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
35,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
36,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.033333,1,,,,,generic_sequence_se3_mainline
37,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.840000,1,,,,,generic_sequence_se3_mainline
38,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
39,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
40,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.703333,1,,,,,generic_sequence_se3_mainline
41,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.715000,0.730000,1,,,,,generic_sequence_se3_mainline
42,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.250000,1,,,,,generic_sequence_se3_mainline
43,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.135000,1.066667,1,,,,,generic_sequence_se3_mainline
44,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.040000,1,,,,,generic_sequence_se3_mainline
45,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
46,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
47,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
48,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.813333,1,,,,,generic_sequence_se3_mainline
49,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.885000,1.006667,1,,,,,generic_sequence_se3_mainline
50,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
51,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
52,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
53,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.880000,1,,,,,generic_sequence_se3_mainline
54,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.665000,0.713333,1,,,,,generic_sequence_se3_mainline
55,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.730000,1,,,,,generic_sequence_se3_mainline
56,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.250000,1,,,,,generic_sequence_se3_mainline
57,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.416667,1,,,,,generic_sequence_se3_mainline
58,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.250000,1.400000,1,,,,,generic_sequence_se3_mainline
59,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
60,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
61,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
62,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.913333,1,,,,,generic_sequence_se3_mainline
63,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.715000,0.626667,1,,,,,generic_sequence_se3_mainline
64,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.380000,0.626667,1,,,,,generic_sequence_se3_mainline
65,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
66,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
67,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.033333,1,,,,,generic_sequence_se3_mainline
68,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.840000,1,,,,,generic_sequence_se3_mainline
69,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
70,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
71,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.393333,1,,,,,generic_sequence_se3_mainline
72,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.520000,1,,,,,generic_sequence_se3_mainline
73,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.856667,1,,,,,generic_sequence_se3_mainline
74,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,1.040000,1,,,,,generic_sequence_se3_mainline
75,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
76,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
77,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
78,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
79,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
80,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
81,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
82,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
83,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
84,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
85,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
86,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.856667,1,,,,,generic_sequence_se3_mainline
87,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
88,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.856667,1,,,,,generic_sequence_se3_mainline
89,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
90,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
91,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
92,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.686667,1,,,,,generic_sequence_se3_mainline
93,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.665000,0.880000,1,,,,,generic_sequence_se3_mainline
94,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.887605,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
95,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
96,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
97,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.006667,1,,,,,generic_sequence_se3_mainline
98,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.885000,0.840000,1,,,,,generic_sequence_se3_mainline
99,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
100,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
101,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.493333,1,,,,,generic_sequence_se3_mainline
102,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
103,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
104,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.366667,1,,,,,generic_sequence_se3_mainline
105,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.886667,1,,,,,generic_sequence_se3_mainline
106,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.085000,1.406667,1,,,,,generic_sequence_se3_mainline
107,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.800000,1,,,,,generic_sequence_se3_mainline
108,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.433333,1,,,,,generic_sequence_se3_mainline
109,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.040000,1,,,,,generic_sequence_se3_mainline
110,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
111,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
112,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.813333,1,,,,,generic_sequence_se3_mainline
113,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.885000,0.720000,1,,,,,generic_sequence_se3_mainline
114,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
115,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
116,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
117,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
118,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.880000,1,,,,,generic_sequence_se3_mainline
119,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.665000,0.686667,1,,,,,generic_sequence_se3_mainline
120,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.703333,1,,,,,generic_sequence_se3_mainline
121,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
122,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
123,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
124,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
125,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
126,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
127,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.856667,1,,,,,generic_sequence_se3_mainline
128,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.520000,1,,,,,generic_sequence_se3_mainline
129,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
130,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.560000,1,,,,,generic_sequence_se3_mainline
131,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.984919,0.665000,0.880000,1,,,,,generic_sequence_se3_mainline
132,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.964809,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
133,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
134,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,0.913333,1,,,,,generic_sequence_se3_mainline
135,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.860000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
136,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.715000,0.593333,1,,,,,generic_sequence_se3_mainline
137,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.665000,0.560000,1,,,,,generic_sequence_se3_mainline
138,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.240000,1,,,,,generic_sequence_se3_mainline
139,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.393333,1,,,,,generic_sequence_se3_mainline
140,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
141,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.546667,1,,,,,generic_sequence_se3_mainline
142,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
143,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.550000,0.393333,1,,,,,generic_sequence_se3_mainline
144,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.240000,1,,,,,generic_sequence_se3_mainline
145,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.393333,1,,,,,generic_sequence_se3_mainline
146,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.730000,1,,,,,generic_sequence_se3_mainline
147,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
148,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
149,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
150,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
151,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
152,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,1.066667,1,,,,,generic_sequence_se3_mainline
153,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.135000,1.066667,1,,,,,generic_sequence_se3_mainline
154,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.433333,1,,,,,generic_sequence_se3_mainline
155,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.135000,1.040000,1,,,,,generic_sequence_se3_mainline
156,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.085000,1.406667,1,,,,,generic_sequence_se3_mainline
157,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.085000,1.406667,1,,,,,generic_sequence_se3_mainline
158,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.800000,1,,,,,generic_sequence_se3_mainline
159,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.280000,1,,,,,generic_sequence_se3_mainline
160,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.865000,0.760000,1,,,,,generic_sequence_se3_mainline
161,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.760000,1,,,,,generic_sequence_se3_mainline
162,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,0.865000,1.280000,1,,,,,generic_sequence_se3_mainline
163,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.800000,1,,,,,generic_sequence_se3_mainline
164,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.406667,1,,,,,generic_sequence_se3_mainline
165,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.085000,1.013333,1,,,,,generic_sequence_se3_mainline
166,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
167,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
168,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.520000,1,,,,,generic_sequence_se3_mainline
169,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.550000,0.520000,1,,,,,generic_sequence_se3_mainline
170,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.856667,1,,,,,generic_sequence_se3_mainline
171,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.856667,1,,,,,generic_sequence_se3_mainline
172,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.856667,1,,,,,generic_sequence_se3_mainline
173,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
174,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
175,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
176,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.240000,1,,,,,generic_sequence_se3_mainline
177,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.366667,1,,,,,generic_sequence_se3_mainline
178,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.500000,0.493333,1,,,,,generic_sequence_se3_mainline
179,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.620000,1,,,,,generic_sequence_se3_mainline
180,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.720000,0.493333,1,,,,,generic_sequence_se3_mainline
181,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.500000,0.366667,1,,,,,generic_sequence_se3_mainline
182,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.240000,1,,,,,generic_sequence_se3_mainline
183,high_speed,1,1,1,1,1,1,1,1,1,1,0.780000,0.280000,0.273333,1,,,,,generic_sequence_se3_mainline
184,sustained_grasp_high_speed,1,1,1,1,1,1,1,1,1,1,0.871318,0.330000,0.593333,1,,,,,generic_sequence_se3_mainline
185,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,0.715000,0.913333,1,,,,,generic_sequence_se3_mainline
186,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
187,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
188,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.200000,1,,,,,generic_sequence_se3_mainline
189,sustained_grasp,1,1,1,1,1,1,1,1,1,1,0.880000,1.050000,1.033333,1,,,,,generic_sequence_se3_mainline
190,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,0.866667,1,,,,,generic_sequence_se3_mainline
191,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
192,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.700000,1,,,,,generic_sequence_se3_mainline
193,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.820000,0.673333,1,,,,,generic_sequence_se3_mainline
194,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.673333,1,,,,,generic_sequence_se3_mainline
195,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.646667,1,,,,,generic_sequence_se3_mainline
196,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.856667,1,,,,,generic_sequence_se3_mainline
197,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,1.040000,1,,,,,generic_sequence_se3_mainline
198,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,0.960000,1,,,,,generic_sequence_se3_mainline
199,short_impact,1,1,1,1,1,1,1,1,1,1,0.720000,0.785000,0.960000,1,,,,,generic_sequence_se3_mainline
200,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.785000,1.143333,1,,,,,generic_sequence_se3_mainline
201,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.616667,1,,,,,generic_sequence_se3_mainline
202,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.450000,1.433333,1,,,,,generic_sequence_se3_mainline
203,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.250000,1,,,,,generic_sequence_se3_mainline
204,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,1.066667,1,,,,,generic_sequence_se3_mainline
205,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
206,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
207,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.433333,1,,,,,generic_sequence_se3_mainline
208,static_hold,1,1,1,1,1,1,1,1,1,1,0.800000,1.300000,1.250000,1,,,,,generic_sequence_se3_mainline
209,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,1.135000,1.040000,1,,,,,generic_sequence_se3_mainline
210,free_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.770000,0.856667,1,,,,,generic_sequence_se3_mainline
211,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,0.935000,1.040000,1,,,,,generic_sequence_se3_mainline
212,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.250000,1,,,,,generic_sequence_se3_mainline
213,low_speed,1,1,1,1,1,1,1,1,1,1,0.700000,1.150000,1.066667,1,,,,,generic_sequence_se3_mainline
214,uniform_motion,1,1,1,1,1,1,1,1,1,1,0.700000,0.985000,0.883333,1,,,,,generic_sequence_se3_mainline
