frame,time,tx,ty,tz,qw,qx,qy,qz,radius_m,coord_frame,u_obs,v_obs,radius_obs_px,u_proj,v_proj,radius_proj_px,bottom_proj_v,floor_v,residual_px,contact_frame,audio_contact_frame,human_contact_event,floor_contact_event,human_contact_state,floor_contact_state,contact_part,contact_side,contact_label,active_part,active_part_y,active_part_z,global_z_ref,contact_depth_gap
48,1.958333,-0.253625,0.429347,3.609526,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,536.808,534.688,49.885,536.808,534.688,48.824,583.512,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.249242,3.635264,3.531528,-0.025738
49,2.000000,-0.230723,0.589465,3.719310,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.897,592.756,48.185,548.897,592.756,47.383,640.139,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.291609,3.665288,3.532965,0.054022
50,2.041667,-0.221892,0.695107,3.853963,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,555.445,624.880,44.702,555.445,624.880,45.728,670.608,658.417,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.309879,3.677545,3.534401,0.176418
51,2.083333,-0.203624,0.576261,3.813842,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,561.590,581.902,46.237,561.590,581.902,46.209,628.111,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.308704,3.679149,3.539378,0.134693
52,2.125000,-0.192646,0.458698,3.738181,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,564.316,540.207,47.868,564.316,540.207,47.144,587.351,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.282445,3.660060,3.547344,0.078121
53,2.166667,-0.171314,0.365537,3.686456,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,571.752,505.622,44.883,571.752,505.622,47.805,553.427,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.229896,3.629781,3.555309,0.056676
54,2.208333,-0.148729,0.290949,3.595288,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,579.247,478.847,46.847,579.247,478.847,49.018,527.865,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.168322,3.595288,3.563275,0.000000
55,2.250000,-0.142590,0.246713,3.651718,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.655,459.220,46.945,582.655,459.220,48.260,507.480,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.108950,3.578041,3.571240,0.073678
56,2.291667,-0.125901,0.212850,3.698047,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,590.001,444.529,47.220,590.001,444.529,47.656,492.185,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.068091,3.565777,3.579206,0.132270
57,2.333333,-0.112460,0.197463,3.693350,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,595.282,438.518,46.387,595.282,438.518,47.716,486.234,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.041986,3.554059,3.587171,0.139292
58,2.375000,-0.093322,0.190910,3.608936,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,602.024,437.688,47.670,602.024,437.688,48.832,486.520,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.046884,3.539736,3.595137,0.069200
59,2.416667,-0.079786,0.208342,3.522427,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,606.735,446.864,47.035,606.735,446.864,50.032,496.896,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.082655,3.522427,3.603103,0.000000
60,2.458333,-0.063874,0.275628,3.637411,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.211,471.285,46.761,614.211,471.285,48.450,519.735,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.149066,3.515331,3.611068,0.122080
61,2.500000,-0.055942,0.398910,3.748515,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,618.083,516.286,46.388,618.083,516.286,47.014,563.300,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.233198,3.529446,3.619033,0.219069
62,2.541667,-0.053506,0.564378,3.824526,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,619.454,576.719,46.101,619.454,576.719,46.080,622.799,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.296408,3.565840,3.626999,0.258687
63,2.583333,-0.050128,0.689338,3.861441,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,620.935,622.173,46.303,620.935,622.173,45.639,667.812,658.417,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.319635,3.588305,3.634964,0.273136
64,2.625000,-0.069360,0.581873,3.799821,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,613.193,584.890,47.080,613.193,584.890,46.379,631.269,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.318141,3.595595,3.627037,0.204226
65,2.666667,-0.065447,0.451001,3.724559,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,614.194,537.831,46.239,614.194,537.831,47.316,585.147,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.288897,3.568808,3.622788,0.155752
66,2.708333,-0.071553,0.358129,3.606153,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,610.860,505.848,47.271,610.860,505.848,48.870,554.718,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.231314,3.524351,3.618540,0.081802
67,2.750000,-0.085976,0.285974,3.495199,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,603.875,480.160,47.448,603.875,480.160,50.421,530.581,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.166336,3.495199,3.614292,0.000000
68,2.791667,-0.099494,0.249806,3.625560,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,599.698,461.189,46.503,599.698,461.189,48.608,509.797,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.110082,3.479692,3.610044,0.145868
69,2.833333,-0.109687,0.227526,3.713802,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,596.625,449.974,46.322,596.625,449.974,47.453,497.427,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.072233,3.477928,3.605795,0.235873
70,2.875000,-0.120001,0.214175,3.699588,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,592.364,445.020,47.024,592.364,445.020,47.636,492.656,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.053759,3.486533,3.601547,0.213056
71,2.916667,-0.124441,0.211957,3.608266,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,589.351,446.269,47.364,589.351,446.269,48.841,495.110,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.067951,3.492919,3.597299,0.115347
72,2.958333,-0.137455,0.239864,3.500810,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,582.337,460.624,47.866,582.337,460.624,50.341,510.965,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.116445,3.500810,3.593051,0.000000
73,3.000000,-0.156689,0.321239,3.597783,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,576.040,491.129,47.130,576.040,491.129,48.984,540.113,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.194940,3.519375,3.588803,0.078408
74,3.041667,-0.181255,0.447726,3.692859,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,567.917,538.055,47.730,567.917,538.055,47.723,585.778,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.272274,3.555856,3.584554,0.137003
75,3.083333,-0.207270,0.624295,3.779312,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,559.457,602.595,45.833,559.457,602.595,46.631,649.226,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.318453,3.603198,3.580306,0.176114
76,3.125000,-0.238641,0.670465,3.820535,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,548.267,617.725,46.876,548.267,617.725,46.128,663.853,658.417,0.000000,0,1,0,1,0,1,floor,,floor,right_hand,0.327132,3.616008,3.576058,0.204528
77,3.166667,-0.270912,0.551894,3.804353,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,535.419,573.049,45.140,535.419,573.049,46.324,619.373,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.310595,3.619903,3.570934,0.184451
78,3.208333,-0.292193,0.437284,3.755057,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,525.723,531.022,47.813,525.723,531.022,46.932,577.954,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.275279,3.598507,3.566149,0.156550
79,3.250000,-0.307808,0.349616,3.747734,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,519.381,497.002,45.989,519.381,497.002,47.024,544.026,658.417,0.000000,0,0,0,0,0,0,hand,right,right_hand,right_hand,0.207503,3.581648,3.561363,0.166086
80,3.291667,-0.320902,0.284511,3.720435,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,513.327,472.308,46.626,513.327,472.308,47.369,519.677,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.151812,3.581093,3.556578,0.139342
81,3.333333,-0.336551,0.236021,3.663384,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,505.081,454.618,46.860,505.081,454.618,48.107,502.725,658.417,0.000000,0,0,0,0,1,0,hand,right,right_hand,right_hand,0.095124,3.589117,3.551793,0.074266
82,3.375000,-0.333277,0.213682,3.597507,1.000000,0.000000,0.000000,0.000000,0.120000,gvhmr_incam,503.947,447.231,47.602,503.947,447.231,48.987,496.218,658.417,0.000000,1,0,1,0,1,0,hand,right,right_hand,right_hand,0.072121,3.597507,3.547008,0.000000
