frame,time,object_x,object_y,object_z,surface_x,surface_y,surface_z,dist_cm,contact,contact_part,contact_region,vertex_index
84,3.458333,-0.380637,0.280557,3.969672,-0.277733,0.359779,3.923267,13.8,1,right_hand,right_palm,6459
85,3.500000,-0.398303,0.367131,3.965526,-0.307318,0.409196,3.949623,10.1,1,right_hand,right_pinky,6476
86,3.541667,-0.387223,0.503458,3.961379,-0.338825,0.517935,3.962272,5.1,1,right_hand,right_pinky,6504
87,3.583333,-0.395028,0.671031,3.957233,-0.360618,0.683867,3.987240,4.7,1,right_hand,right_pinky,8456
88,3.625000,-0.393286,0.709226,3.953087,-0.369478,0.728925,3.954271,3.1,1,right_hand,right_pinky,8647
89,3.666667,-0.392903,0.526563,3.948940,-0.341094,0.517162,3.959580,5.4,1,right_hand,right_pinky,6504
90,3.708333,-0.390275,0.420583,3.944794,-0.329809,0.447987,3.934001,6.7,1,right_hand,right_pinky,6486
91,3.750000,-0.384174,0.341091,3.940648,-0.300401,0.382671,3.930893,9.4,1,right_hand,right_pinky,6475
92,3.791667,-0.382003,0.281263,3.936501,-0.286935,0.358418,3.914424,12.4,1,right_hand,right_palm,6459
93,3.833333,-0.377745,0.247134,3.932355,-0.255811,0.241651,3.907941,12.4,1,right_hand,right_palm,6370
94,3.875000,-0.369158,0.225050,3.928209,-0.256146,0.241620,3.908573,11.6,1,right_hand,right_palm,6370
95,3.916667,-0.365266,0.225417,3.924062,-0.255492,0.241773,3.903664,11.3,1,right_hand,right_palm,6370
96,3.958333,-0.352363,0.249455,3.919916,-0.255855,0.242777,3.905500,9.8,1,right_hand,right_palm,6370
97,4.000000,-0.348603,0.339125,3.915770,-0.302509,0.383128,3.919425,6.4,1,right_hand,right_palm,6475
98,4.041667,-0.316517,0.494860,3.911623,-0.336672,0.498088,3.910706,2.0,1,right_hand,right_pinky,6848
99,4.083333,-0.277107,0.700602,3.907477,-0.328228,0.701221,3.967097,7.9,1,right_hand,right_pinky,8572
100,4.125000,-0.250890,0.688956,3.854599,-0.306647,0.619504,3.959490,13.8,1,right_hand,right_pinky,6753
101,4.166667,-0.232361,0.556805,3.873786,-0.247455,0.525889,3.929289,6.5,1,right_hand,right_pinky,6545
102,4.208333,-0.225963,0.462559,3.892972,-0.226111,0.467231,3.892549,0.5,1,right_hand,right_pinky,6542
103,4.250000,-0.210668,0.389443,3.912159,-0.203788,0.390950,3.929724,1.9,1,right_hand,right_palm,6451
104,4.291667,-0.202337,0.337378,3.931346,-0.204540,0.332526,3.933895,0.6,1,right_hand,right_palm,6393
105,4.333333,-0.190159,0.295432,3.950533,-0.191950,0.319591,3.960858,2.6,1,right_hand,right_palm,6429
106,4.375000,-0.180335,0.271466,3.969720,-0.197397,0.300263,3.980785,3.5,1,right_hand,right_palm,6560
107,4.416667,-0.173046,0.266065,3.988907,-0.186194,0.282322,4.005337,2.7,1,right_hand,right_palm,6381
108,4.458333,-0.159726,0.282746,4.008093,-0.164356,0.287941,3.994209,1.6,1,right_hand,right_palm,6380
109,4.500000,-0.145145,0.342413,4.027280,-0.160654,0.289389,3.990735,6.6,1,right_hand,right_palm,6380
110,4.541667,-0.129679,0.457315,4.046467,-0.217508,0.470449,3.987113,10.7,1,right_hand,right_palm,6482
111,4.583333,-0.112222,0.605932,4.065654,-0.231097,0.547706,3.999843,14.8,1,right_hand,right_pinky,6496
112,4.625000,-0.104669,0.738026,4.084841,-0.294215,0.695540,4.041069,19.9,0,right_hand,right_pinky,8447
113,4.666667,-0.117643,0.691000,3.867054,-0.246634,0.558810,3.973041,21.3,0,right_hand,right_pinky,6547
114,4.708333,-0.126131,0.511393,3.885865,-0.198040,0.467571,3.935558,9.8,1,right_hand,right_pinky,6543
115,4.750000,-0.138380,0.413315,3.904676,-0.166578,0.390619,3.897510,3.7,1,right_hand,right_palm,6448
116,4.791667,-0.147980,0.341981,3.923487,-0.139702,0.334978,3.925141,1.1,1,right_hand,right_palm,6896
117,4.833333,-0.159036,0.289334,3.942298,-0.143552,0.313945,3.959379,3.4,1,right_hand,right_palm,6416
118,4.875000,-0.166040,0.258485,3.961109,-0.149190,0.292260,3.991949,4.9,1,right_hand,right_palm,6383
119,4.916667,-0.169628,0.242527,3.979920,-0.204306,0.257196,4.015491,5.2,1,right_hand,right_palm,6376
120,4.958333,-0.167259,0.238142,3.998731,-0.183329,0.265137,4.024966,4.1,1,right_hand,right_palm,6378
121,5.000000,-0.164594,0.254464,4.017542,-0.159972,0.270799,4.012726,1.8,1,right_hand,right_palm,6379
122,5.041667,-0.162212,0.321672,4.036353,-0.159308,0.271313,4.005483,5.9,1,right_hand,right_palm,6379
123,5.083333,-0.163190,0.441179,4.055164,-0.223182,0.470991,3.974167,10.5,1,right_hand,right_palm,6482
124,5.125000,-0.169289,0.599885,4.073975,-0.259919,0.568076,4.007110,11.7,1,right_hand,right_pinky,6908
125,5.166667,-0.176012,0.739677,4.092786,-0.314181,0.750134,4.083373,13.9,1,right_hand,right_pinky,8644
126,5.208333,-0.197047,0.641304,3.956631,-0.254607,0.580880,3.976008,8.6,1,right_hand,right_pinky,6498
127,5.250000,-0.220793,0.520171,3.959887,-0.212844,0.512868,3.956018,1.1,1,right_hand,right_pinky,6478
128,5.291667,-0.254361,0.419546,3.963143,-0.258926,0.405495,3.958669,1.5,1,right_hand,right_palm,6572
129,5.333333,-0.273540,0.317287,3.966399,-0.251277,0.356836,3.912443,7.1,1,right_hand,right_palm,6457
130,5.375000,-0.289370,0.263843,3.969655,-0.228724,0.250920,3.926034,7.6,1,right_hand,right_palm,6373
131,5.416667,-0.303806,0.245426,3.972911,-0.225339,0.230655,3.952791,8.2,1,right_hand,right_palm,6372
132,5.458333,-0.317317,0.245246,3.976166,-0.228777,0.230834,3.948699,9.4,1,right_hand,right_palm,6372
133,5.500000,-0.329041,0.271902,3.979422,-0.231881,0.232030,3.939806,11.2,1,right_hand,right_palm,6372
134,5.541667,-0.334821,0.355672,3.982678,-0.289911,0.402521,3.934361,8.1,1,right_hand,right_pinky,6847
135,5.583333,-0.347187,0.491522,3.985934,-0.322706,0.504256,3.968273,3.3,1,right_hand,right_pinky,6851
136,5.625000,-0.354288,0.664979,3.989190,-0.362836,0.666735,3.994462,1.0,1,right_hand,right_pinky,8452
137,5.666667,-0.357151,0.717854,3.992446,-0.374308,0.710504,3.995796,1.9,1,right_hand,right_pinky,8628
138,5.708333,-0.348326,0.554942,3.995702,-0.335457,0.576711,3.985535,2.7,1,right_hand,right_pinky,6525
139,5.750000,-0.338002,0.442801,3.998958,-0.315279,0.464989,3.958796,5.1,1,right_hand,right_pinky,6852
140,5.791667,-0.331389,0.355237,4.002214,-0.292822,0.400788,3.933260,9.1,1,right_hand,right_palm,6847
141,5.833333,-0.318749,0.298435,4.005470,-0.230230,0.259925,3.936502,11.9,1,right_hand,right_palm,6374
142,5.875000,-0.307455,0.268848,4.008726,-0.220868,0.239995,3.975105,9.7,1,right_hand,right_palm,6375
143,5.916667,-0.285387,0.266068,4.011982,-0.217305,0.240037,3.977345,8.1,1,right_hand,right_palm,6375
144,5.958333,-0.262540,0.287360,4.015237,-0.202678,0.270298,3.971924,7.6,1,right_hand,right_palm,6377
145,6.000000,-0.236211,0.351279,4.018493,-0.239640,0.411887,3.967362,7.9,1,right_hand,right_palm,6574
146,6.041667,-0.200872,0.471410,4.021749,-0.223669,0.494914,3.989319,4.6,1,right_hand,right_pinky,6500
147,6.083333,-0.187456,0.627126,4.025005,-0.262994,0.600746,4.011651,8.1,1,right_hand,right_pinky,6514
148,6.125000,-0.162317,0.726197,4.028261,-0.290738,0.690687,4.025022,13.3,1,right_hand,right_pinky,8447
149,6.166667,-0.172214,0.649944,4.089431,-0.275052,0.625833,4.036453,11.8,1,right_hand,right_pinky,8444
150,6.208333,-0.164852,0.544763,4.080250,-0.238370,0.527691,4.009064,10.4,1,right_hand,right_pinky,6501
151,6.250000,-0.162465,0.453537,4.071069,-0.225692,0.454942,3.981922,10.9,1,right_hand,right_palm,6483
152,6.291667,-0.160396,0.357778,4.061888,-0.142915,0.269079,3.992594,11.4,1,right_hand,right_palm,6379
153,6.333333,-0.153079,0.292373,4.052707,-0.133141,0.250209,4.017641,5.8,1,left_hand,left_thumb,6835
154,6.375000,-0.144919,0.268902,4.043526,-0.134912,0.250279,4.021512,3.1,1,left_hand,left_thumb,6835
155,6.416667,-0.141909,0.264371,4.034345,-0.135652,0.250890,4.025098,1.8,1,left_hand,left_thumb,6835
156,6.458333,-0.136390,0.273317,4.025164,-0.134808,0.251757,4.029597,2.2,1,left_hand,left_thumb,6835
157,6.500000,-0.130019,0.328724,4.015983,-0.139548,0.292926,3.975921,5.5,1,right_hand,right_palm,6383
158,6.541667,-0.144489,0.447432,4.006802,-0.205581,0.442929,3.960324,7.7,1,right_hand,right_palm,6481
159,6.583333,-0.170698,0.601983,3.997621,-0.249066,0.578262,3.993075,8.2,1,right_hand,right_pinky,6495
160,6.625000,-0.191180,0.717845,3.988440,-0.292692,0.695479,4.014448,10.7,1,right_hand,right_pinky,8447
161,6.666667,-0.215875,0.690277,3.863378,-0.288646,0.620106,3.961825,14.1,1,right_hand,right_pinky,6753
162,6.708333,-0.253336,0.517306,3.870401,-0.263613,0.494685,3.869446,2.5,1,right_hand,right_pinky,6493
163,6.750000,-0.286379,0.428161,3.877425,-0.293601,0.434161,3.866452,1.4,1,right_hand,right_pinky,6489
164,6.791667,-0.309588,0.358490,3.884449,-0.285426,0.389827,3.879357,4.0,1,right_hand,right_palm,6474
