frame,time,source,detector,audio_score,audio_event_type,audio_conf,fused_event_type,interaction_mode,contact_quality,contact_constraint,allow_slide,fused_conf,contact_target,target_entity,manip_gamma,manip_weight,promote_anchor,obj_u,obj_v,obj_speed,obj_accel,vel_reversal,nearest_part,part_dist_px,part_speed,flow_mag,proximity_min,flow_spike,visual_cue,attack,decay_ms,centroid,bandwidth,flatness,hf_ratio,zcr,rms,hpr,mfcc1,mfcc2,mfcc3,mfcc4
72,2.95833,visual,visual,0.65696,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,581.14800,456.71500,23.52626,16.45608,1,right_hand,68.60855,14.56396,0.86428,1,0,vel_reversal,0.85923,2.00000,1531.23279,1482.22614,0.33804,0.27569,0.11640,0.30417,0.00000,100.95280,-35.27842,34.69167,10.51928
77,3.16000,audio,combined,1.00000,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,535.10000,568.90000,42.18925,8.85370,1,right_foot,48.86550,2.90553,1.37809,0,0,vel_reversal,0.85598,10.00000,1141.95647,1561.84170,0.28618,0.17342,0.08636,0.30519,0.00000,65.47277,-14.35096,23.85056,12.30593
83,3.41667,visual,visual,0.65419,rattle,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,498.16100,442.77200,9.97962,10.33623,1,right_hand,69.16179,1.78487,0.79597,1,0,vel_reversal,0.49022,11.00000,1646.40797,1516.97399,0.35439,0.34255,0.09136,0.10600,0.00000,102.41548,-27.45080,34.40612,6.94316
89,3.65600,audio,combined,1.00000,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,491.42200,553.19300,43.52695,3.28818,1,right_foot,63.85572,6.00745,1.16732,0,0,vel_reversal,0.89482,14.00000,1324.24445,1598.59367,0.33826,0.20107,0.09136,0.28168,0.00000,83.78912,-24.02216,12.45777,16.72157
96,3.95833,visual,visual,0.69222,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,499.94300,449.06800,23.24261,22.60196,1,right_hand,61.55630,14.50869,0.69601,1,0,vel_reversal,0.88058,16.00000,1528.66453,1490.31130,0.33053,0.31288,0.08010,0.27749,0.00000,98.44029,-16.49829,29.96322,8.77936
100,4.14400,audio,combined,0.78402,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,541.41700,607.48900,22.59390,3.05762,1,right_foot,27.67890,0.89841,0.91515,0,0,vel_reversal,0.86818,15.00000,1371.14767,1614.73634,0.30281,0.19536,0.10388,0.27594,0.00000,87.62010,-26.12285,5.90151,13.73473
108,4.45833,visual,visual,0.64524,rattle,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,579.14400,451.89200,14.64802,12.28051,1,right_hand,70.95100,10.27911,0.74472,1,0,vel_reversal,0.48351,14.00000,1756.67353,1507.57229,0.36662,0.35738,0.14894,0.10969,0.68317,91.19615,-18.14731,33.87814,9.42965
114,4.68800,audio,combined,0.84500,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,592.09800,547.19800,38.98388,-2.77168,1,right_foot,104.09427,1.56783,1.11087,0,0,vel_reversal,0.90454,9.00000,1211.54422,1507.08986,0.28689,0.18083,0.10388,0.30967,0.00000,92.88198,-28.74062,15.25693,13.51602
121,5.00000,visual,visual,0.66363,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,581.18200,447.21100,13.98266,14.64499,1,right_hand,67.27489,7.56235,0.62065,1,0,vel_reversal,0.57096,11.00000,1570.01854,1495.31880,0.35033,0.31428,0.09387,0.12420,0.00000,103.85452,-15.52861,27.84955,7.37156
126,5.22400,audio,combined,0.81851,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,566.25200,590.61000,39.05116,17.03983,1,right_foot,56.89235,0.52085,1.15858,1,0,vel_reversal,0.90972,10.00000,1369.23352,1554.34058,0.33590,0.20632,0.10138,0.26444,0.00000,116.43686,-35.09037,17.01192,12.62525
133,5.50000,visual,visual,0.67466,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,516.50000,461.00000,20.03609,14.29926,1,right_hand,65.06723,14.19740,1.13546,1,0,vel_reversal,0.87503,2.00000,1391.57240,1470.40984,0.29443,0.26725,0.09387,0.30641,0.89149,92.41306,-43.23326,30.09052,21.68219
138,5.70400,audio,combined,0.97129,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,508.66900,561.79700,45.55597,8.56932,1,right_foot,50.80813,5.79207,1.07181,0,0,vel_reversal,0.89521,11.00000,1203.68154,1463.45752,0.28032,0.17766,0.08135,0.33101,0.00000,94.55214,-28.16450,16.55684,5.86219
144,5.95833,visual,visual,0.67590,tap,0.50000,tap,impulsive,soft,point,0,0.70000,part,right_hand,1.00000,0.50000,0,546.12800,459.60200,16.14301,12.37359,1,right_hand,64.81991,14.88037,1.23250,1,0,vel_reversal,0.00797,149.00000,1586.73046,1473.57676,0.34858,0.30756,0.12641,0.08315,0.00000,97.12642,-27.99472,28.17905,14.76793
149,6.18400,audio,combined,0.90380,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,583.71800,583.88600,39.56588,16.53761,1,right_foot,76.59231,0.75758,0.95474,0,0,vel_reversal,0.88847,12.00000,1235.72894,1552.60690,0.28925,0.17417,0.09762,0.32960,0.00000,103.76712,-29.15224,13.33750,13.71184
157,6.50000,visual,visual,0.66767,bounce,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,587.85900,472.57200,29.28326,18.38613,0,right_hand,66.46549,17.86391,0.77303,1,0,proximity_min,0.83828,14.00000,1650.87346,1507.44045,0.35863,0.32182,0.12015,0.24849,0.00000,102.24620,-33.12198,41.08572,18.32697
162,6.68800,audio,combined,0.76536,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,543.28300,553.62300,44.60576,-2.68958,1,right_foot,66.87886,1.19748,1.37571,0,0,vel_reversal,0.83828,15.00000,1476.72818,1702.12453,0.36975,0.22645,0.08260,0.24849,0.00000,103.56723,-23.55713,13.08692,12.72430
169,7.00000,visual,visual,0.68196,rattle,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,498.00900,440.33000,11.43627,11.79951,1,right_hand,63.60744,4.40075,1.26072,1,0,vel_reversal,0.44590,38.00000,1684.50957,1522.92750,0.37050,0.34760,0.11389,0.10470,0.00000,92.96191,-20.50038,32.48199,4.96539
174,7.22800,audio,combined,0.98473,bounce,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,503.00000,603.00000,28.93582,7.80089,1,right_foot,17.09101,3.69332,0.80215,0,0,vel_reversal,0.92385,15.00000,1538.14842,1706.71122,0.36454,0.24305,0.09512,0.30807,0.00000,95.25460,-28.97480,13.82400,15.22141
180,7.45833,visual,visual,0.69048,rattle,0.80000,tap,impulsive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,536.55900,439.56800,9.44494,-1.35899,1,right_hand,61.90326,9.40653,1.14177,1,0,vel_reversal,0.13344,90.00000,1476.01687,1612.48200,0.35160,0.28836,0.10138,0.09005,0.00000,88.61709,-18.59566,40.02364,13.11862
188,7.78400,audio,combined,0.84629,rattle,0.80000,bounce,repetitive,hard,point,0,0.88000,support,support,1.00000,1.00000,0,576.92900,564.43200,43.05085,3.42425,1,right_foot,81.59452,0.10966,1.05711,0,0,vel_reversal,0.90376,10.00000,1359.74769,1571.95343,0.32244,0.18964,0.10388,0.24571,0.00000,84.46429,-25.51812,14.28389,5.92744
192,7.98400,audio,combined,0.03688,rattle,0.80000,rattle,repetitive,soft,point,0,0.88000,part,right_hand,1.00000,0.50000,0,546.73100,465.26900,14.80464,-4.50944,0,right_hand,70.85587,10.83031,1.13142,1,0,proximity_min,0.08769,60.00000,1631.48042,1570.24405,0.35942,0.31794,0.12824,0.12147,0.00000,81.79082,-34.76501,33.48550,4.99036
